Title:               Initial Claims in North Carolina
Series ID:           NCICLAIMS
Source:              U.S. Employment and Training Administration
Release:             Unemployment Insurance Weekly Claims Report
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Weekly, Ending Saturday
Units:               Number
Date Range:          1986-02-15 to 2018-12-29
Last Updated:        2019-01-10 8:11 AM CST
Notes:               

DATE        VALUE
1986-02-15  14710
1986-02-22  17598
1986-03-01  14688
1986-03-08  10099
1986-03-15  15763
1986-03-22  16077
1986-03-29  12168
1986-04-05  10546
1986-04-12  15064
1986-04-19  14585
1986-04-26   9818
1986-05-03  10415
1986-05-10  10305
1986-05-17  11216
1986-05-24   9679
1986-05-31  10206
1986-06-07  10641
1986-06-14  10818
1986-06-21  11733
1986-06-28   8863
1986-07-05   9513
1986-07-12  16751
1986-07-19  21698
1986-07-26  14741
1986-08-02  10395
1986-08-09  10620
1986-08-16  10878
1986-08-23  10688
1986-08-30  10995
1986-09-06   6871
1986-09-13  13038
1986-09-20  10332
1986-09-27   7289
1986-10-04   6830
1986-10-11  10473
1986-10-18   8566
1986-10-25   9126
1986-11-01   9336
1986-11-08   9707
1986-11-15   9453
1986-11-22  11762
1986-11-29   6721
1986-12-06  20652
1986-12-13  20972
1986-12-20  14951
1986-12-27   6547
1987-01-03  19882
1987-01-10  53829
1987-01-17  33564
1987-01-24  26913
1987-01-31  18461
1987-02-07  22786
1987-02-14  19101
1987-02-21  12081
1987-02-28  19215
1987-03-07  18853
1987-03-14  14301
1987-03-21  12890
1987-03-28  10862
1987-04-04   9011
1987-04-11  13410
1987-04-18   9056
1987-04-25   8458
1987-05-02  10319
1987-05-09      .
1987-05-16   7829
1987-05-23   7783
1987-05-30   6446
1987-06-06   7632
1987-06-13   6827
1987-06-20   7717
1987-06-27   6035
1987-07-04   9816
1987-07-11  11245
1987-07-18  16500
1987-07-25  10925
1987-08-01   8169
1987-08-08   7181
1987-08-15   7158
1987-08-22   6689
1987-08-29   6599
1987-09-05   6343
1987-09-12   5470
1987-09-19   6862
1987-09-26   6480
1987-10-03   6156
1987-10-10   6866
1987-10-17   6920
1987-10-24   6609
1987-10-31   6427
1987-11-07   7328
1987-11-14   6986
1987-11-21  11388
1987-11-28   5710
1987-12-05  16326
1987-12-12  15089
1987-12-19   9773
1987-12-26   6843
1988-01-02  24053
1988-01-09  24429
1988-01-16  52135
1988-01-23  30181
1988-01-30  27378
1988-02-06  19284
1988-02-13  16453
1988-02-20  11327
1988-02-27  13235
1988-03-05  12143
1988-03-12  11470
1988-03-19  10783
1988-03-26  10100
1988-04-02   6649
1988-04-09  11432
1988-04-16  12499
1988-04-23  10219
1988-04-30   8518
1988-05-07   9885
1988-05-14   8448
1988-05-21   8292
1988-05-28  10290
1988-06-04   7455
1988-06-11  10911
1988-06-18  14299
1988-06-25   7381
1988-07-02   7700
1988-07-09  13801
1988-07-16  20653
1988-07-23  27417
1988-07-30  11408
1988-08-06   8845
1988-08-13   9287
1988-08-20   9465
1988-08-27   9068
1988-09-03   8026
1988-09-10   9417
1988-09-17  10650
1988-09-24  12753
1988-10-01   6578
1988-10-08   8740
1988-10-15   8365
1988-10-22   8512
1988-10-29   8474
1988-11-05   9243
1988-11-12   7812
1988-11-19  12301
1988-11-26   6240
1988-12-03  23554
1988-12-10  16015
1988-12-17  15805
1988-12-24   9128
1988-12-31  16958
1989-01-07  49104
1989-01-14  35234
1989-01-21  23934
1989-01-28  17421
1989-02-04  12770
1989-02-11  11960
1989-02-18  12884
1989-02-25   9901
1989-03-04  22517
1989-03-11  20907
1989-03-18  15168
1989-03-25   9110
1989-04-01  15400
1989-04-08  15996
1989-04-15  11099
1989-04-22  10554
1989-04-29   7623
1989-05-06   9263
1989-05-13  12029
1989-05-20   9626
1989-05-27   7685
1989-06-03   7188
1989-06-10  10689
1989-06-17   8232
1989-06-24   8275
1989-07-01   9343
1989-07-08  10156
1989-07-15  22051
1989-07-22  18302
1989-07-29  10677
1989-08-05  10239
1989-08-12   8815
1989-08-19   9684
1989-08-26   8452
1989-09-02   7689
1989-09-09   7804
1989-09-16  11410
1989-09-23   7947
1989-09-30   8346
1989-10-07  12890
1989-10-14   9876
1989-10-21   9664
1989-10-28   9409
1989-11-04  13189
1989-11-11   7938
1989-11-18  12154
1989-11-25   6644
1989-12-02  24637
1989-12-09  19329
1989-12-16  13838
1989-12-23  19491
1989-12-30  16888
1990-01-06  45363
1990-01-13  53504
1990-01-20  26391
1990-01-27  17042
1990-02-03  16516
1990-02-10  17603
1990-02-17  14681
1990-02-24  14826
1990-03-03  16030
1990-03-10  15781
1990-03-17  16272
1990-03-24  13615
1990-03-31  12782
1990-04-07  15425
1990-04-14  11257
1990-04-21  15836
1990-04-28  15870
1990-05-05  11761
1990-05-12  15429
1990-05-19  11469
1990-05-26  12446
1990-06-02   9409
1990-06-09  19000
1990-06-16  13692
1990-06-23  10647
1990-06-30   9885
1990-07-07  20809
1990-07-14  27558
1990-07-21  27512
1990-07-28  17783
1990-08-04  10855
1990-08-11  15708
1990-08-18  14980
1990-08-25  11837
1990-09-01  12917
1990-09-08   1616
1990-09-15  19518
1990-09-22  14257
1990-09-29  12308
1990-10-06  16546
1990-10-13  15153
1990-10-20  24032
1990-10-27  17947
1990-11-03  23852
1990-11-10  26776
1990-11-17  19867
1990-11-24  11549
1990-12-01  50744
1990-12-08  32435
1990-12-15  25350
1990-12-22  22554
1990-12-29  30266
1991-01-05  57913
1991-01-12  86151
1991-01-19  49468
1991-01-26  27706
1991-02-02  28953
1991-02-09  31752
1991-02-16  27094
1991-02-23  25131
1991-03-02  29213
1991-03-09  25313
1991-03-16  27985
1991-03-23  25654
1991-03-30  16049
1991-04-06  30140
1991-04-13  27980
1991-04-20  18451
1991-04-27  16954
1991-05-04  15956
1991-05-11  20469
1991-05-18  16537
1991-05-25  13807
1991-06-01  16266
1991-06-08  19099
1991-06-15  15580
1991-06-22  13798
1991-06-29  11173
1991-07-06  12345
1991-07-13  30915
1991-07-20  27093
1991-07-27  15214
1991-08-03  12407
1991-08-10  15805
1991-08-17  14599
1991-08-24  13810
1991-08-31  12762
1991-09-07  11602
1991-09-14  13620
1991-09-21  10917
1991-09-28   9916
1991-10-05  11356
1991-10-12  12185
1991-10-19  10993
1991-10-26  11659
1991-11-02  12353
1991-11-09  13683
1991-11-16  12503
1991-11-23  15024
1991-11-30  10397
1991-12-07  30329
1991-12-14  25699
1991-12-21  16082
1991-12-28  12224
1992-01-04  51156
1992-01-11  79284
1992-01-18  38674
1992-01-25  22081
1992-02-01  19713
1992-02-08  18764
1992-02-15  17611
1992-02-22  16993
1992-02-29  17516
1992-03-07  17736
1992-03-14  16243
1992-03-21  15408
1992-03-28  14226
1992-04-04  15667
1992-04-11  14828
1992-04-18  10911
1992-04-25  12348
1992-05-02  17926
1992-05-09  13112
1992-05-16  14476
1992-05-23  11774
1992-05-30   9007
1992-06-06  12453
1992-06-13  10573
1992-06-20  13597
1992-06-27  10297
1992-07-04   9933
1992-07-11  23722
1992-07-18  26048
1992-07-25  14661
1992-08-01  10528
1992-08-08  12154
1992-08-15   9460
1992-08-22  10399
1992-08-29  12017
1992-09-05  11087
1992-09-12  11382
1992-09-19  12571
1992-09-26   9612
1992-10-03   9122
1992-10-10   6614
1992-10-17   6438
1992-10-24   6895
1992-10-31   6608
1992-11-07   7376
1992-11-14   7754
1992-11-21   7870
1992-11-28   5060
1992-12-05  12570
1992-12-12  12240
1992-12-19   8278
1992-12-26   5200
1993-01-02   9684
1993-01-09  23821
1993-01-16  18822
1993-01-23  11456
1993-01-30  10683
1993-02-06   9620
1993-02-13   8747
1993-02-20   9062
1993-02-27   8171
1993-03-06   7765
1993-03-13   8933
1993-03-20   7395
1993-03-27  10238
1993-04-03   9538
1993-04-10   6670
1993-04-17   8514
1993-04-24   9224
1993-05-01   6706
1993-05-08   6581
1993-05-15   6439
1993-05-22   6316
1993-05-29   5699
1993-06-05   5686
1993-06-12   6949
1993-06-19   6519
1993-06-26   6015
1993-07-03   5744
1993-07-10   8866
1993-07-17  12215
1993-07-24   9755
1993-07-31   7527
1993-08-07   6681
1993-08-14   6394
1993-08-21   5677
1993-08-28   5507
1993-09-04   5348
1993-09-11   5689
1993-09-18   6153
1993-09-25   5449
1993-10-02   5576
1993-10-09   7136
1993-10-16   7334
1993-10-23   8012
1993-10-30   8593
1993-11-06   9412
1993-11-13   8205
1993-11-20   9334
1993-11-27   5263
1993-12-04  17416
1993-12-11  10644
1993-12-18   9073
1993-12-25   7411
1994-01-01  15000
1994-01-08  38924
1994-01-15  31596
1994-01-22  17028
1994-01-29  21121
1994-02-05  16274
1994-02-12  12011
1994-02-19  12903
1994-02-26  11064
1994-03-05  10648
1994-03-12  13728
1994-03-19  10047
1994-03-26   8231
1994-04-02   7920
1994-04-09  12275
1994-04-16  10130
1994-04-23   9333
1994-04-30   6988
1994-05-07   9452
1994-05-14  11849
1994-05-21  11378
1994-05-28   9067
1994-06-04   8072
1994-06-11  11605
1994-06-18   9926
1994-06-25  10110
1994-07-02   7745
1994-07-09  15195
1994-07-16  23582
1994-07-23  17711
1994-07-30   8660
1994-08-06   8921
1994-08-13   9550
1994-08-20   7963
1994-08-27   9924
1994-09-03   9529
1994-09-10   7714
1994-09-17   8882
1994-09-24   7174
1994-10-01   6517
1994-10-08   8270
1994-10-15   7063
1994-10-22   8176
1994-10-29   8609
1994-11-05  10145
1994-11-12   8119
1994-11-19  11813
1994-11-26   6408
1994-12-03  20069
1994-12-10  17101
1994-12-17  10508
1994-12-24   8703
1994-12-31  17381
1995-01-07  38174
1995-01-14  36058
1995-01-21  17767
1995-01-28  14269
1995-02-04  13145
1995-02-11  13103
1995-02-18  17953
1995-02-25  16659
1995-03-04  14236
1995-03-11  16325
1995-03-18  15192
1995-03-25  11278
1995-04-01  12211
1995-04-08   9303
1995-04-15   9303
1995-04-22  10958
1995-04-29  14248
1995-05-06  11754
1995-05-13  11223
1995-05-20  14008
1995-05-27  14324
1995-06-03  13131
1995-06-10  14323
1995-06-17  14862
1995-06-24  11511
1995-07-01  12332
1995-07-08  15552
1995-07-15  32812
1995-07-22  25489
1995-07-29  16251
1995-08-05  12741
1995-08-12  12548
1995-08-19  11639
1995-08-26   9948
1995-09-02   9204
1995-09-09  11008
1995-09-16  17168
1995-09-23  10462
1995-09-30  10189
1995-10-07  11673
1995-10-14  14102
1995-10-21  11677
1995-10-28  12158
1995-11-04  11969
1995-11-11  15094
1995-11-18  17771
1995-11-25   9697
1995-12-02  28665
1995-12-09  19852
1995-12-16  15488
1995-12-23  15379
1995-12-30  19247
1996-01-06  46393
1996-01-13  39424
1996-01-20  46243
1996-01-27  33782
1996-02-03  17069
1996-02-10  20418
1996-02-17  33968
1996-02-24  15935
1996-03-02  16675
1996-03-09  16370
1996-03-16  17047
1996-03-23  15772
1996-03-30  15017
1996-04-06  15302
1996-04-13  17037
1996-04-20  17703
1996-04-27  11975
1996-05-04  11911
1996-05-11  12735
1996-05-18  13213
1996-05-25  10689
1996-06-01  10431
1996-06-08  17022
1996-06-15  12223
1996-06-22  11394
1996-06-29  10095
1996-07-06  11541
1996-07-13  28323
1996-07-20  20723
1996-07-27  12445
1996-08-03   9627
1996-08-10  10144
1996-08-17  10182
1996-08-24  10351
1996-08-31   8382
1996-09-07   7336
1996-09-14  18007
1996-09-21  16017
1996-09-28  11426
1996-10-05  11199
1996-10-12  11322
1996-10-19  11095
1996-10-26  10297
1996-11-02   9528
1996-11-09  12075
1996-11-16  11097
1996-11-23  13524
1996-11-30   7840
1996-12-07  21675
1996-12-14  19822
1996-12-21  12819
1996-12-28  10632
1997-01-04  38511
1997-01-11  49780
1997-01-18  30397
1997-01-25  19187
1997-02-01  14720
1997-02-08  16752
1997-02-15  12949
1997-02-22  15294
1997-03-01  14614
1997-03-08  11646
1997-03-15  12803
1997-03-22  12126
1997-03-29   9543
1997-04-05  13013
1997-04-12  15759
1997-04-19  10520
1997-04-26   9361
1997-05-03  12546
1997-05-10  11800
1997-05-17   9032
1997-05-24  10069
1997-05-31  10064
1997-06-07  12932
1997-06-14  11811
1997-06-21   9374
1997-06-28   9945
1997-07-05  12445
1997-07-12  24179
1997-07-19  19041
1997-07-26  10678
1997-08-02   9826
1997-08-09  11051
1997-08-16  10787
1997-08-23   8381
1997-08-30   7736
1997-09-06   7203
1997-09-13  10942
1997-09-20   8022
1997-09-27   8027
1997-10-04   9053
1997-10-11   9094
1997-10-18   8263
1997-10-25   8730
1997-11-01  10654
1997-11-08  11448
1997-11-15   8888
1997-11-22  10364
1997-11-29   6492
1997-12-06  21277
1997-12-13  15362
1997-12-20  11761
1997-12-27   7631
1998-01-03  29444
1998-01-10  63716
1998-01-17  34609
1998-01-24  18927
1998-01-31  20935
1998-02-07  19699
1998-02-14  18441
1998-02-21  14627
1998-02-28  15739
1998-03-07  13141
1998-03-14  11319
1998-03-21  12539
1998-03-28  13608
1998-04-04  13907
1998-04-11   9408
1998-04-18  10685
1998-04-25  15601
1998-05-02   8911
1998-05-09  11137
1998-05-16   9905
1998-05-23   9753
1998-05-30  10042
1998-06-06  12485
1998-06-13   9128
1998-06-20   8782
1998-06-27   9040
1998-07-04  11477
1998-07-11  20869
1998-07-18  18505
1998-07-25  12911
1998-08-01   9707
1998-08-08   9256
1998-08-15  11895
1998-08-22  10164
1998-08-29   7825
1998-09-05  10644
1998-09-12   9793
1998-09-19  11730
1998-09-26  10056
1998-10-03   8772
1998-10-10  11163
1998-10-17  10324
1998-10-24   8892
1998-10-31  10110
1998-11-07  11498
1998-11-14  11611
1998-11-21  11395
1998-11-28   9522
1998-12-05  26390
1998-12-12  15976
1998-12-19  11964
1998-12-26  11674
1999-01-02  27217
1999-01-09  60857
1999-01-16  39031
1999-01-23  16573
1999-01-30  14893
1999-02-06  13876
1999-02-13  15517
1999-02-20  10985
1999-02-27  11228
1999-03-06  14894
1999-03-13  13954
1999-03-20  11748
1999-03-27  10501
1999-04-03   8917
1999-04-10  13334
1999-04-17  11218
1999-04-24   8514
1999-05-01   8693
1999-05-08  12975
1999-05-15  10243
1999-05-22   9969
1999-05-29   8759
1999-06-05   9687
1999-06-12  10238
1999-06-19   8657
1999-06-26   9436
1999-07-03  10445
1999-07-10  14191
1999-07-17  20933
1999-07-24  17501
1999-07-31  10046
1999-08-07   9464
1999-08-14   9352
1999-08-21   8121
1999-08-28   8458
1999-09-04   7783
1999-09-11   8685
1999-09-18   9069
1999-09-25  19421
1999-10-02  22779
1999-10-09  21724
1999-10-16  14349
1999-10-23  11984
1999-10-30  10544
1999-11-06  10981
1999-11-13   9587
1999-11-20   9612
1999-11-27   6280
1999-12-04  21208
1999-12-11  11408
1999-12-18  11062
1999-12-25   8633
2000-01-01  20061
2000-01-08  40313
2000-01-15  28247
2000-01-22  11912
2000-01-29  11061
2000-02-05  31045
2000-02-12  29777
2000-02-19  14821
2000-02-26  12399
2000-03-04  10826
2000-03-11  10546
2000-03-18  10138
2000-03-25  10884
2000-04-01  10815
2000-04-08   9287
2000-04-15   8729
2000-04-22   6721
2000-04-29  11093
2000-05-06  11440
2000-05-13   8496
2000-05-20   8207
2000-05-27   8093
2000-06-03   9993
2000-06-10  11114
2000-06-17  10240
2000-06-24   9138
2000-07-01   9018
2000-07-08  10906
2000-07-15  27952
2000-07-22  15531
2000-07-29  14139
2000-08-05  13807
2000-08-12  11315
2000-08-19  18742
2000-08-26  10409
2000-09-02  11927
2000-09-09  11932
2000-09-16  20868
2000-09-23  12306
2000-09-30   9234
2000-10-07  18077
2000-10-14  15227
2000-10-21  16170
2000-10-28  11685
2000-11-04  16022
2000-11-11  10443
2000-11-18  13521
2000-11-25   9696
2000-12-02  38327
2000-12-09  22086
2000-12-16  15945
2000-12-23  15847
2000-12-30  32688
2001-01-06  44909
2001-01-13  41798
2001-01-20  18977
2001-01-27  20001
2001-02-03  19703
2001-02-10  18101
2001-02-17  19098
2001-02-24  22186
2001-03-03  19961
2001-03-10  20857
2001-03-17  21990
2001-03-24  20282
2001-03-31  20572
2001-04-07  25639
2001-04-14  15305
2001-04-21  20847
2001-04-28  29867
2001-05-05  17602
2001-05-12  18092
2001-05-19  20037
2001-05-26  21735
2001-06-02  19922
2001-06-09  29472
2001-06-16  17045
2001-06-23  16533
2001-06-30  18156
2001-07-07  26413
2001-07-14  46294
2001-07-21  28396
2001-07-28  15135
2001-08-04  18003
2001-08-11  17237
2001-08-18  17503
2001-08-25  16910
2001-09-01  15034
2001-09-08  16892
2001-09-15  24253
2001-09-22  14322
2001-09-29  18994
2001-10-06  22267
2001-10-13  19141
2001-10-20  17226
2001-10-27  20483
2001-11-03  23042
2001-11-10  26239
2001-11-17  18090
2001-11-24  15308
2001-12-01  51748
2001-12-08  20856
2001-12-15  17920
2001-12-22  23068
2001-12-29  26588
2002-01-05  43050
2002-01-12  82001
2002-01-19  30819
2002-01-26  19271
2002-02-02  25886
2002-02-09  20458
2002-02-16  18841
2002-02-23  15577
2002-03-02  15140
2002-03-09  17197
2002-03-16  15875
2002-03-23  17969
2002-03-30  16279
2002-04-06  20204
2002-04-13  17983
2002-04-20  14162
2002-04-27  13051
2002-05-04  13288
2002-05-11  13751
2002-05-18  13175
2002-05-25  12697
2002-06-01  12768
2002-06-08  16654
2002-06-15  13128
2002-06-22  12568
2002-06-29  12736
2002-07-06  13721
2002-07-13  33199
2002-07-20  20846
2002-07-27  12787
2002-08-03  13374
2002-08-10  14569
2002-08-17  13237
2002-08-24  12359
2002-08-31  13413
2002-09-07  18234
2002-09-14  20608
2002-09-21  13023
2002-09-28  13658
2002-10-05  14033
2002-10-12  17824
2002-10-19  15348
2002-10-26  18099
2002-11-02  18311
2002-11-09  23399
2002-11-16  17487
2002-11-23  19365
2002-11-30  13240
2002-12-07  26705
2002-12-14  40784
2002-12-21  21653
2002-12-28  12834
2003-01-04  51586
2003-01-11  47740
2003-01-18  28072
2003-01-25  14805
2003-02-01  24864
2003-02-08  19028
2003-02-15  17311
2003-02-22  14587
2003-03-01  20943
2003-03-08  18613
2003-03-15  18049
2003-03-22  15552
2003-03-29  19277
2003-04-05  18999
2003-04-12  18401
2003-04-19  25450
2003-04-26  23148
2003-05-03  18439
2003-05-10  17543
2003-05-17  18491
2003-05-24  16858
2003-05-31  22677
2003-06-07  22293
2003-06-14  18557
2003-06-21  14257
2003-06-28  17407
2003-07-05  17670
2003-07-12  33144
2003-07-19  25453
2003-07-26  12704
2003-08-02  14687
2003-08-09  16340
2003-08-16  16329
2003-08-23  14005
2003-08-30  13086
2003-09-06  15859
2003-09-13  17202
2003-09-20  10693
2003-09-27  15624
2003-10-04  14820
2003-10-11  16408
2003-10-18  13030
2003-10-25  14285
2003-11-01  12500
2003-11-08  15625
2003-11-15  11327
2003-11-22  11799
2003-11-29   9444
2003-12-06  24234
2003-12-13  13274
2003-12-20  12639
2003-12-27  11427
2004-01-03  32299
2004-01-10  38367
2004-01-17  21718
2004-01-24  12457
2004-01-31  11610
2004-02-07  31797
2004-02-14  15658
2004-02-21  13292
2004-02-28  13387
2004-03-06  15273
2004-03-13  11885
2004-03-20  10812
2004-03-27  12091
2004-04-03  10610
2004-04-10  10113
2004-04-17  12462
2004-04-24  14468
2004-05-01   9570
2004-05-08  11335
2004-05-15  11258
2004-05-22  11029
2004-05-29  11101
2004-06-05  11210
2004-06-12  11601
2004-06-19   9531
2004-06-26   9896
2004-07-03  10839
2004-07-10  16206
2004-07-17  19735
2004-07-24  11807
2004-07-31   9742
2004-08-07  11671
2004-08-14  10577
2004-08-21   9461
2004-08-28   9779
2004-09-04   9559
2004-09-11  11605
2004-09-18  15799
2004-09-25  10575
2004-10-02  10470
2004-10-09  11137
2004-10-16   9370
2004-10-23  11481
2004-10-30  10581
2004-11-06  13072
2004-11-13  11464
2004-11-20  11385
2004-11-27   8438
2004-12-04  28704
2004-12-11  12780
2004-12-18  13636
2004-12-25  11906
2005-01-01  23407
2005-01-08  34677
2005-01-15  17621
2005-01-22  12179
2005-01-29  16301
2005-02-05  13000
2005-02-12  13659
2005-02-19  10925
2005-02-26  11046
2005-03-05  13800
2005-03-12  13803
2005-03-19  10717
2005-03-26  13784
2005-04-02  11310
2005-04-09  15442
2005-04-16  10393
2005-04-23  11049
2005-04-30   9890
2005-05-07  11236
2005-05-14  11900
2005-05-21  10743
2005-05-28  10485
2005-06-04  11386
2005-06-11  18380
2005-06-18  11380
2005-06-25   9606
2005-07-02   9714
2005-07-09  15260
2005-07-16  20096
2005-07-23  15523
2005-07-30   9260
2005-08-06   9841
2005-08-13   9776
2005-08-20  10787
2005-08-27   8850
2005-09-03   9778
