Title:               State Government Tax Collections, Individual Income Taxes in North Carolina
Series ID:           NCINCTAX
Source:              U.S. Bureau of the Census
Release:             State Government Tax Collections (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Dollars
Date Range:          1942-01-01 to 2017-01-01
Last Updated:        2019-01-07 1:31 PM CST
Notes:               For more information, see
                     http://www.census.gov/govs/www/statetax.html.

DATE           VALUE
1942-01-01      6177
1943-01-01         .
1944-01-01     11425
1945-01-01         .
1946-01-01     16058
1947-01-01         .
1948-01-01     24304
1949-01-01         .
1950-01-01     24397
1951-01-01     30148
1952-01-01     36468
1953-01-01     37385
1954-01-01     38832
1955-01-01     40053
1956-01-01     47810
1957-01-01     52873
1958-01-01     55108
1959-01-01     60724
1960-01-01     91814
1961-01-01     93776
1962-01-01     95454
1963-01-01    103925
1964-01-01    115920
1965-01-01    136351
1966-01-01    165070
1967-01-01    188563
1968-01-01    216549
1969-01-01    239644
1970-01-01    270945
1971-01-01    301756
1972-01-01    361816
1973-01-01    431222
1974-01-01    504319
1975-01-01    549927
1976-01-01    604793
1977-01-01    782092
1978-01-01    848247
1979-01-01    996227
1980-01-01   1180507
1981-01-01   1303517
1982-01-01   1449370
1983-01-01   1550107
1984-01-01   1784987
1985-01-01   2023463
1986-01-01   2206749
1987-01-01   2600244
1988-01-01   2784385
1989-01-01   3030765
1990-01-01   3390390
1991-01-01   3534474
1992-01-01   3583018
1993-01-01   3992016
1994-01-01   4288148
1995-01-01   4699115
1996-01-01   4929008
1997-01-01   5458963
1998-01-01   6124709
1999-01-01   6586153
2000-01-01   7209670
2001-01-01   7526282
2002-01-01   7265242
2003-01-01   7089142
2004-01-01   7510978
2005-01-01   8427553
2006-01-01   9467278
2007-01-01  10588951
2008-01-01  10993927
2009-01-01   9560353
2010-01-01   9133689
2011-01-01   9869492
2012-01-01  10383796
2013-01-01  11068166
2014-01-01  10390520
2015-01-01  11197650
2016-01-01  12042957
2017-01-01  12086332
