Title:               Civilian Labor Force in Iredell County, NC
Series ID:           NCIRED5LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  51382
1990-02-01  51350
1990-03-01  51580
1990-04-01  51396
1990-05-01  52922
1990-06-01  53094
1990-07-01  52944
1990-08-01  52794
1990-09-01  52450
1990-10-01  52709
1990-11-01  53140
1990-12-01  53014
1991-01-01  53265
1991-02-01  53107
1991-03-01  53703
1991-04-01  53962
1991-05-01  54348
1991-06-01  55548
1991-07-01  53608
1991-08-01  53516
1991-09-01  52961
1991-10-01  53869
1991-11-01  53819
1991-12-01  53741
1992-01-01  54113
1992-02-01  54123
1992-03-01  54055
1992-04-01  53680
1992-05-01  54445
1992-06-01  55474
1992-07-01  56203
1992-08-01  55982
1992-09-01  55062
1992-10-01  54580
1992-11-01  54556
1992-12-01  54201
1993-01-01  54331
1993-02-01  54628
1993-03-01  54264
1993-04-01  54044
1993-05-01  55009
1993-06-01  55333
1993-07-01  56038
1993-08-01  55659
1993-09-01  54970
1993-10-01  54937
1993-11-01  54811
1993-12-01  54437
1994-01-01  54528
1994-02-01  54783
1994-03-01  54532
1994-04-01  54612
1994-05-01  55312
1994-06-01  55924
1994-07-01  56834
1994-08-01  56872
1994-09-01  56835
1994-10-01  57161
1994-11-01  57281
1994-12-01  56988
1995-01-01  56838
1995-02-01  56603
1995-03-01  56890
1995-04-01  57404
1995-05-01  57775
1995-06-01  58538
1995-07-01  60001
1995-08-01  58714
1995-09-01  58317
1995-10-01  58090
1995-11-01  57983
1995-12-01  57932
1996-01-01  57555
1996-02-01  58393
1996-03-01  58577
1996-04-01  59443
1996-05-01  59298
1996-06-01  60073
1996-07-01  61569
1996-08-01  60528
1996-09-01  60656
1996-10-01  61087
1996-11-01  60954
1996-12-01  60702
1997-01-01  61031
1997-02-01  61391
1997-03-01  61470
1997-04-01  61526
1997-05-01  62040
1997-06-01  62626
1997-07-01  63084
1997-08-01  61755
1997-09-01  61057
1997-10-01  61613
1997-11-01  61658
1997-12-01  61590
1998-01-01  60919
1998-02-01  61325
1998-03-01  61907
1998-04-01  62168
1998-05-01  62261
1998-06-01  62959
1998-07-01  63453
1998-08-01  62970
1998-09-01  62845
1998-10-01  63180
1998-11-01  63796
1998-12-01  63417
1999-01-01  64099
1999-02-01  64297
1999-03-01  64166
1999-04-01  64476
1999-05-01  64790
1999-06-01  65879
1999-07-01  66085
1999-08-01  65271
1999-09-01  65340
1999-10-01  66113
1999-11-01  66134
1999-12-01  66103
2000-01-01  64783
2000-02-01  65254
2000-03-01  65624
2000-04-01  65939
2000-05-01  65737
2000-06-01  66584
2000-07-01  66955
2000-08-01  67544
2000-09-01  65682
2000-10-01  66885
2000-11-01  66438
2000-12-01  66280
2001-01-01  66270
2001-02-01  66642
2001-03-01  67469
2001-04-01  66176
2001-05-01  67001
2001-06-01  65842
2001-07-01  66964
2001-08-01  66307
2001-09-01  65939
2001-10-01  66482
2001-11-01  66369
2001-12-01  66033
2002-01-01  66895
2002-02-01  66887
2002-03-01  66748
2002-04-01  66648
2002-05-01  66873
2002-06-01  67321
2002-07-01  67161
2002-08-01  67171
2002-09-01  66681
2002-10-01  66723
2002-11-01  66551
2002-12-01  66269
2003-01-01  67761
2003-02-01  68639
2003-03-01  69016
2003-04-01  69504
2003-05-01  69538
2003-06-01  69583
2003-07-01  69648
2003-08-01  69491
2003-09-01  69088
2003-10-01  69720
2003-11-01  70142
2003-12-01  69661
2004-01-01  70581
2004-02-01  70792
2004-03-01  71037
2004-04-01  70834
2004-05-01  71069
2004-06-01  70977
2004-07-01  71862
2004-08-01  71104
