Title:               Quantity Indexes for Real Gross Domestic Product by Industry: Private Industries: Information for North Carolina
Series ID:           NCINFOQQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Index 2012=100
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01   87.577
2005-04-01   83.913
2005-07-01   84.169
2005-10-01   87.271
2006-01-01   83.413
2006-04-01   87.217
2006-07-01   90.667
2006-10-01   88.066
2007-01-01   88.172
2007-04-01   90.599
2007-07-01   95.037
2007-10-01   99.292
2008-01-01   96.682
2008-04-01  100.683
2008-07-01  102.012
2008-10-01  101.347
2009-01-01   91.065
2009-04-01   92.405
2009-07-01   93.681
2009-10-01   99.323
2010-01-01   97.189
2010-04-01   97.407
2010-07-01  100.074
2010-10-01  101.447
2011-01-01   98.300
2011-04-01   97.857
2011-07-01   98.902
2011-10-01  100.040
2012-01-01  102.007
2012-04-01  100.347
2012-07-01   99.106
2012-10-01   98.540
2013-01-01  109.925
2013-04-01  108.658
2013-07-01  108.871
2013-10-01  111.192
2014-01-01  119.010
2014-04-01  118.067
2014-07-01  122.644
2014-10-01  123.431
2015-01-01  131.750
2015-04-01  134.205
2015-07-01  138.544
2015-10-01  141.104
2016-01-01  146.321
2016-04-01  148.871
2016-07-01  152.234
2016-10-01  155.396
2017-01-01  150.092
2017-04-01  153.820
2017-07-01  157.235
2017-10-01  161.454
2018-01-01  160.317
2018-04-01  167.341
