Title:               Civilian Labor Force in Rockingham County, NC
Series ID:           NCROCK0LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  45611
1990-02-01  45558
1990-03-01  45675
1990-04-01  45083
1990-05-01  45956
1990-06-01  46454
1990-07-01  47903
1990-08-01  48239
1990-09-01  46926
1990-10-01  48211
1990-11-01  47367
1990-12-01  47480
1991-01-01  46389
1991-02-01  46323
1991-03-01  46265
1991-04-01  46505
1991-05-01  47237
1991-06-01  47612
1991-07-01  47672
1991-08-01  47095
1991-09-01  47008
1991-10-01  47092
1991-11-01  46699
1991-12-01  46898
1992-01-01  47389
1992-02-01  47365
1992-03-01  47208
1992-04-01  46395
1992-05-01  47301
1992-06-01  47989
1992-07-01  48755
1992-08-01  48674
1992-09-01  47286
1992-10-01  46813
1992-11-01  47010
1992-12-01  46769
1993-01-01  46735
1993-02-01  46749
1993-03-01  46629
1993-04-01  46722
1993-05-01  47094
1993-06-01  47959
1993-07-01  48345
1993-08-01  47706
1993-09-01  46010
1993-10-01  46865
1993-11-01  46694
1993-12-01  47055
1994-01-01  47133
1994-02-01  47346
1994-03-01  47205
1994-04-01  47955
1994-05-01  48189
1994-06-01  48713
1994-07-01  47734
1994-08-01  47597
1994-09-01  48229
1994-10-01  48344
1994-11-01  48108
1994-12-01  48255
1995-01-01  47459
1995-02-01  47410
1995-03-01  47326
1995-04-01  47490
1995-05-01  47509
1995-06-01  47806
1995-07-01  48719
1995-08-01  47164
1995-09-01  47361
1995-10-01  47821
1995-11-01  47642
1995-12-01  47790
1996-01-01  48765
1996-02-01  48325
1996-03-01  48271
1996-04-01  48772
1996-05-01  48823
1996-06-01  48994
1996-07-01  48979
1996-08-01  48699
1996-09-01  48809
1996-10-01  49258
1996-11-01  48921
1996-12-01  48050
1997-01-01  48925
1997-02-01  49320
1997-03-01  49406
1997-04-01  48157
1997-05-01  48834
1997-06-01  49133
1997-07-01  49137
1997-08-01  47981
1997-09-01  47815
1997-10-01  47930
1997-11-01  47717
1997-12-01  47297
1998-01-01  47074
1998-02-01  48189
1998-03-01  47264
1998-04-01  47795
1998-05-01  47331
1998-06-01  47433
1998-07-01  46212
1998-08-01  45794
1998-09-01  45865
1998-10-01  45597
1998-11-01  45578
1998-12-01  45478
1999-01-01  46629
1999-02-01  46534
1999-03-01  46727
1999-04-01  45957
1999-05-01  46425
1999-06-01  47009
1999-07-01  46742
1999-08-01  45796
1999-09-01  46422
1999-10-01  46315
1999-11-01  45939
1999-12-01  45679
2000-01-01  45814
2000-02-01  46352
2000-03-01  46192
2000-04-01  46073
2000-05-01  46054
2000-06-01  46699
