Title:               Civilian Labor Force in Rutherford County, NC
Series ID:           NCRUTH5LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  29663
1990-02-01  29916
1990-03-01  29107
1990-04-01  29898
1990-05-01  29834
1990-06-01  30391
1990-07-01  30998
1990-08-01  30355
1990-09-01  29964
1990-10-01  31943
1990-11-01  30759
1990-12-01  31027
1991-01-01  30906
1991-02-01  30590
1991-03-01  30472
1991-04-01  30601
1991-05-01  30780
1991-06-01  31253
1991-07-01  32645
1991-08-01  31870
1991-09-01  30391
1991-10-01  30419
1991-11-01  30289
1991-12-01  29795
1992-01-01  30073
1992-02-01  30071
1992-03-01  30158
1992-04-01  30385
1992-05-01  30541
1992-06-01  31187
1992-07-01  32221
1992-08-01  31592
1992-09-01  30847
1992-10-01  30573
1992-11-01  30525
1992-12-01  30396
1993-01-01  30679
1993-02-01  30546
1993-03-01  30356
1993-04-01  30554
1993-05-01  30728
1993-06-01  31437
1993-07-01  31503
1993-08-01  31165
1993-09-01  30474
1993-10-01  30604
1993-11-01  30437
1993-12-01  30378
1994-01-01  30345
1994-02-01  30464
1994-03-01  30099
1994-04-01  30274
1994-05-01  30534
1994-06-01  31108
1994-07-01  31877
1994-08-01  31326
1994-09-01  31053
1994-10-01  30924
1994-11-01  30790
1994-12-01  30439
1995-01-01  30461
1995-02-01  30883
1995-03-01  30490
1995-04-01  30581
1995-05-01  31019
1995-06-01  31128
1995-07-01  32772
1995-08-01  31378
1995-09-01  30930
1995-10-01  30740
1995-11-01  30678
1995-12-01  30771
1996-01-01  30959
1996-02-01  30571
1996-03-01  31045
1996-04-01  31958
1996-05-01  31818
1996-06-01  32438
1996-07-01  31882
1996-08-01  31912
1996-09-01  31282
1996-10-01  31492
1996-11-01  31309
1996-12-01  30969
1997-01-01  31192
1997-02-01  32818
1997-03-01  32829
1997-04-01  30911
1997-05-01  31168
1997-06-01  31483
1997-07-01  32337
1997-08-01  31523
1997-09-01  30668
1997-10-01  30626
1997-11-01  30719
1997-12-01  30658
1998-01-01  30449
1998-02-01  30697
1998-03-01  30240
1998-04-01  31146
1998-05-01  30365
1998-06-01  30544
1998-07-01  30996
1998-08-01  30400
1998-09-01  29954
1998-10-01  30053
1998-11-01  29713
1998-12-01  29601
1999-01-01  30020
1999-02-01  29850
1999-03-01  29407
1999-04-01  29360
1999-05-01  29911
1999-06-01  30397
1999-07-01  30992
1999-08-01  30290
1999-09-01  29503
1999-10-01  29303
1999-11-01  29714
1999-12-01  29297
2000-01-01  31078
2000-02-01  31318
2000-03-01  31327
2000-04-01  31142
2000-05-01  31073
2000-06-01  31272
2000-07-01  31646
2000-08-01  31476
2000-09-01  30791
2000-10-01  30678
2000-11-01  30644
2000-12-01  30538
2001-01-01  30743
2001-02-01  30819
2001-03-01  30981
2001-04-01  30703
2001-05-01  30647
2001-06-01  31096
2001-07-01  30960
2001-08-01  30506
2001-09-01  30475
2001-10-01  30667
2001-11-01  30302
2001-12-01  30390
2002-01-01  30590
2002-02-01  31220
2002-03-01  30608
2002-04-01  30629
2002-05-01  30502
2002-06-01  30706
2002-07-01  30680
2002-08-01  30892
2002-09-01  30663
2002-10-01  30251
2002-11-01  30135
2002-12-01  30113
2003-01-01  31301
2003-02-01  31540
2003-03-01  31893
2003-04-01  31518
2003-05-01  31608
2003-06-01  31728
2003-07-01  32054
2003-08-01  31479
2003-09-01  31303
2003-10-01  31730
2003-11-01  31077
2003-12-01  30608
2004-01-01  30135
2004-02-01  30268
2004-03-01  30127
2004-04-01  29888
2004-05-01  29874
2004-06-01  30342
2004-07-01  30924
2004-08-01  30124
2004-09-01  29706
2004-10-01  29698
2004-11-01  29699
2004-12-01  29545
2005-01-01  29556
2005-02-01  29615
2005-03-01  29360
2005-04-01  29684
2005-05-01  29942
2005-06-01  29814
2005-07-01  29822
2005-08-01  29339
2005-09-01  29387
2005-10-01  29047
2005-11-01  29111
2005-12-01  28994
2006-01-01  28933
2006-02-01  29039
2006-03-01  29305
2006-04-01  29430
2006-05-01  29734
2006-06-01  30003
2006-07-01  30184
2006-08-01  29858
2006-09-01  30014
2006-10-01  29947
2006-11-01  30333
2006-12-01  30171
2007-01-01  30339
2007-02-01  30088
2007-03-01  29998
2007-04-01  30051
2007-05-01  30362
2007-06-01  30610
2007-07-01  30660
2007-08-01  29947
2007-09-01  30113
2007-10-01  30447
2007-11-01  30585
2007-12-01  30339
2008-01-01  29660
2008-02-01  29343
2008-03-01  29578
2008-04-01  28105
2008-05-01  28379
2008-06-01  28569
2008-07-01  30295
2008-08-01  30083
2008-09-01  30119
2008-10-01  30130
2008-11-01  30706
2008-12-01  30992
2009-01-01  28681
2009-02-01  28646
2009-03-01  28498
2009-04-01  29019
2009-05-01  28746
2009-06-01  28450
2009-07-01  28174
2009-08-01  28085
2009-09-01  27941
2009-10-01  28027
2009-11-01  27868
2009-12-01  27764
2010-01-01  27266
2010-02-01  27365
2010-03-01  27477
2010-04-01  27633
2010-05-01  27733
2010-06-01  27213
2010-07-01  26839
2010-08-01  26408
2010-09-01  26528
2010-10-01  26442
2010-11-01  26521
2010-12-01  26319
2011-01-01  26368
2011-02-01  26375
2011-03-01  26508
2011-04-01  26494
2011-05-01  26672
2011-06-01  26726
2011-07-01  26581
2011-08-01  26304
2011-09-01  26526
2011-10-01  26600
2011-11-01  26480
2011-12-01  26150
2012-01-01  26999
2012-02-01  26991
2012-03-01  27031
2012-04-01  26724
2012-05-01  27096
2012-06-01  27212
2012-07-01  26772
2012-08-01  26425
2012-09-01  26659
2012-10-01  26817
2012-11-01  26358
2012-12-01  26274
2013-01-01  26381
2013-02-01  26268
2013-03-01  26091
2013-04-01  26008
2013-05-01  26250
2013-06-01  26065
2013-07-01  25639
2013-08-01  25743
2013-09-01  25985
2013-10-01  25756
2013-11-01  25691
2013-12-01  25339
2014-01-01  25310
2014-02-01  25414
2014-03-01  25863
2014-04-01  25434
2014-05-01  25830
2014-06-01  25534
2014-07-01  25371
2014-08-01  25517
2014-09-01  25649
2014-10-01  25300
2014-11-01  25325
2014-12-01  24971
2015-01-01  25088
2015-02-01  25145
2015-03-01  25371
2015-04-01  25094
2015-05-01  25663
2015-06-01  25190
2015-07-01  24710
2015-08-01  24668
2015-09-01  24923
2015-10-01  25028
2015-11-01  24983
2015-12-01  24744
2016-01-01  24728
2016-02-01  24897
2016-03-01  25079
2016-04-01  24954
2016-05-01  24911
2016-06-01  24908
2016-07-01  24541
2016-08-01  24480
2016-09-01  24901
2016-10-01  24922
2016-11-01  24631
2016-12-01  24461
2017-01-01  24580
2017-02-01  24697
2017-03-01  24854
2017-04-01  24568
2017-05-01  24537
2017-06-01  24715
2017-07-01  24339
2017-08-01  24356
2017-09-01  24795
2017-10-01  24735
2017-11-01  24723
2017-12-01  24425
2018-01-01  24441
2018-02-01  24284
2018-03-01  24426
2018-04-01  24189
2018-05-01  24690
2018-06-01  24640
2018-07-01  24159
2018-08-01  24221
2018-09-01  24475
2018-10-01  24616
2018-11-01  24554
