Title:               Resident Population in Rowan County, NC
Series ID:           NCROWA5POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE          VALUE
1970-01-01   90.035
1971-01-01   91.700
1972-01-01   92.100
1973-01-01   93.500
1974-01-01   93.300
1975-01-01   93.800
1976-01-01   94.000
1977-01-01   95.300
1978-01-01   96.600
1979-01-01   97.900
1980-01-01   99.186
1981-01-01  100.319
1982-01-01  101.319
1983-01-01  101.934
1984-01-01  102.161
1985-01-01  104.406
1986-01-01  105.538
1987-01-01  106.017
1988-01-01  108.002
1989-01-01  109.448
1990-01-01  110.999
1991-01-01  112.566
1992-01-01  114.217
1993-01-01  115.947
1994-01-01  118.552
1995-01-01  120.783
1996-01-01  123.519
1997-01-01  125.871
1998-01-01  127.599
1999-01-01  129.436
2000-01-01  130.712
2001-01-01  132.210
2002-01-01  133.377
2003-01-01  133.400
2004-01-01  133.229
2005-01-01  133.755
2006-01-01  135.500
2007-01-01  137.403
2008-01-01  139.821
2009-01-01  140.966
2010-01-01  138.354
2011-01-01  137.851
2012-01-01  137.580
2013-01-01  137.782
2014-01-01  138.168
2015-01-01  138.576
2016-01-01  139.529
2017-01-01  140.644
