Title:               Resident Population in Richmond County, NC
Series ID:           NCRICH3POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  39.889
1971-01-01  40.500
1972-01-01  41.300
1973-01-01  41.100
1974-01-01  41.400
1975-01-01  42.000
1976-01-01  42.700
1977-01-01  43.400
1978-01-01  44.300
1979-01-01  44.800
1980-01-01  45.161
1981-01-01  45.005
1982-01-01  44.468
1983-01-01  44.490
1984-01-01  44.642
1985-01-01  45.103
1986-01-01  44.970
1987-01-01  44.538
1988-01-01  44.625
1989-01-01  44.602
1990-01-01  44.608
1991-01-01  45.037
1992-01-01  45.057
1993-01-01  45.507
1994-01-01  45.459
1995-01-01  45.731
1996-01-01  46.226
1997-01-01  46.365
1998-01-01  46.558
1999-01-01  46.449
2000-01-01  46.580
2001-01-01  46.373
2002-01-01  46.483
2003-01-01  46.051
2004-01-01  45.902
2005-01-01  45.913
2006-01-01  45.791
2007-01-01  45.870
2008-01-01  45.966
2009-01-01  45.923
2010-01-01  46.625
2011-01-01  46.653
2012-01-01  46.367
2013-01-01  46.154
2014-01-01  45.792
2015-01-01  45.436
2016-01-01  45.054
2017-01-01  44.798
