Title:               Quantity Indexes for Real Gross Domestic Product by Industry: Private Industries: Retail Trade for North Carolina
Series ID:           NCRETAILQQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Index 2012=100
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01  105.355
2005-04-01  108.346
2005-07-01  111.084
2005-10-01  108.416
2006-01-01  109.229
2006-04-01  110.425
2006-07-01  108.401
2006-10-01  110.496
2007-01-01  109.871
2007-04-01  107.814
2007-07-01  108.074
2007-10-01  108.654
2008-01-01  109.373
2008-04-01  107.643
2008-07-01  106.206
2008-10-01  103.350
2009-01-01   98.769
2009-04-01   99.457
2009-07-01   98.886
2009-10-01  101.797
2010-01-01  102.043
2010-04-01  102.751
2010-07-01  102.747
2010-10-01  101.612
2011-01-01   99.626
2011-04-01   98.994
2011-07-01   97.573
2011-10-01   98.938
2012-01-01  100.607
2012-04-01   98.761
2012-07-01  100.593
2012-10-01  100.039
2013-01-01  104.179
2013-04-01  103.390
2013-07-01  103.318
2013-10-01  105.212
2014-01-01  105.290
2014-04-01  107.320
2014-07-01  107.720
2014-10-01  108.055
2015-01-01  109.013
2015-04-01  109.759
2015-07-01  112.189
2015-10-01  111.598
2016-01-01  115.214
2016-04-01  116.097
2016-07-01  116.747
2016-10-01  118.130
2017-01-01  119.347
2017-04-01  119.157
2017-07-01  121.560
2017-10-01  121.454
2018-01-01  124.520
2018-04-01  124.401
