Title:               Civilian Labor Force in Robeson County, NC
Series ID:           NCROBE7LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1998-12-01  55591
1999-01-01  55689
1999-02-01  55915
1999-03-01  55970
1999-04-01  55800
1999-05-01  55510
1999-06-01  55876
1999-07-01  55607
1999-08-01  56012
1999-09-01  55797
1999-10-01  54833
1999-11-01  54857
1999-12-01  53552
2000-01-01  53259
2000-02-01  53303
2000-03-01  53691
2000-04-01  53864
2000-05-01  53965
2000-06-01  54287
2000-07-01  53593
2000-08-01  54277
2000-09-01  53449
2000-10-01  54001
2000-11-01  53635
2000-12-01  53797
2001-01-01  52809
2001-02-01  52745
2001-03-01  52989
2001-04-01  52375
2001-05-01  51941
2001-06-01  52170
2001-07-01  51633
2001-08-01  52302
2001-09-01  52369
2001-10-01  52726
2001-11-01  52009
2001-12-01  51762
2002-01-01  51977
2002-02-01  52800
2002-03-01  52655
2002-04-01  52261
2002-05-01  52324
2002-06-01  51596
2002-07-01  51945
2002-08-01  52183
2002-09-01  52263
2002-10-01  51721
2002-11-01  51430
2002-12-01  51276
2003-01-01  51568
2003-02-01  52008
2003-03-01  52249
2003-04-01  52412
2003-05-01  52727
2003-06-01  52723
2003-07-01  52174
2003-08-01  52497
2003-09-01  51896
2003-10-01  53033
2003-11-01  52893
2003-12-01  52508
2004-01-01  52388
2004-02-01  51940
2004-03-01  51858
2004-04-01  52225
2004-05-01  51946
2004-06-01  51578
2004-07-01  51923
2004-08-01  51629
2004-09-01  51121
2004-10-01  51441
2004-11-01  51740
2004-12-01  51759
2005-01-01  51429
2005-02-01  51742
2005-03-01  51852
2005-04-01  52310
2005-05-01  52293
2005-06-01  52148
2005-07-01  52286
2005-08-01  52538
2005-09-01  52395
2005-10-01  53102
2005-11-01  53213
2005-12-01  52775
2006-01-01  53017
2006-02-01  53397
2006-03-01  53607
2006-04-01  53602
2006-05-01  53758
2006-06-01  54500
2006-07-01  54172
2006-08-01  53717
2006-09-01  53894
2006-10-01  53974
2006-11-01  54450
2006-12-01  54509
2007-01-01  55618
2007-02-01  55598
2007-03-01  55828
2007-04-01  56652
2007-05-01  57086
2007-06-01  57418
2007-07-01  57101
2007-08-01  57071
2007-09-01  57129
2007-10-01  57150
2007-11-01  57852
2007-12-01  57485
2008-01-01  55833
2008-02-01  55611
2008-03-01  55733
2008-04-01  55799
2008-05-01  55966
2008-06-01  56530
2008-07-01  55377
2008-08-01  55989
2008-09-01  55866
2008-10-01  55457
2008-11-01  56537
2008-12-01  56364
2009-01-01  56317
2009-02-01  56489
2009-03-01  56064
2009-04-01  56002
2009-05-01  56162
2009-06-01  56524
2009-07-01  55835
2009-08-01  55280
2009-09-01  55196
2009-10-01  55641
2009-11-01  55591
2009-12-01  55350
2010-01-01  53499
2010-02-01  53591
2010-03-01  53940
2010-04-01  54173
2010-05-01  54095
2010-06-01  53977
2010-07-01  53759
2010-08-01  53620
2010-09-01  54080
2010-10-01  53604
2010-11-01  54040
2010-12-01  53858
2011-01-01  53549
2011-02-01  53785
2011-03-01  53838
2011-04-01  53343
2011-05-01  53542
2011-06-01  53635
2011-07-01  52901
2011-08-01  53051
2011-09-01  53347
2011-10-01  53671
2011-11-01  53546
2011-12-01  53466
2012-01-01  52720
2012-02-01  52926
2012-03-01  52767
2012-04-01  52299
2012-05-01  52809
2012-06-01  53378
2012-07-01  52567
2012-08-01  52453
2012-09-01  52694
2012-10-01  53339
2012-11-01  52960
2012-12-01  52913
2013-01-01  52897
2013-02-01  52421
2013-03-01  52241
2013-04-01  51752
2013-05-01  52344
2013-06-01  52811
2013-07-01  52022
2013-08-01  51530
2013-09-01  51966
2013-10-01  51945
2013-11-01  51963
2013-12-01  51532
2014-01-01  51424
2014-02-01  51387
2014-03-01  51446
2014-04-01  50717
2014-05-01  51442
2014-06-01  51385
2014-07-01  51179
2014-08-01  50290
2014-09-01  50664
2014-10-01  51596
2014-11-01  51393
2014-12-01  50684
2015-01-01  50751
2015-02-01  50814
2015-03-01  51101
2015-04-01  50966
2015-05-01  51484
2015-06-01  51605
2015-07-01  51138
2015-08-01  50572
2015-09-01  51018
2015-10-01  51110
2015-11-01  51208
2015-12-01  50789
2016-01-01  50322
2016-02-01  50506
2016-03-01  50708
2016-04-01  50088
2016-05-01  50182
2016-06-01  50268
2016-07-01  50334
2016-08-01  49689
2016-09-01  50574
2016-10-01  52681
2016-11-01  50420
2016-12-01  50195
2017-01-01  50790
2017-02-01  50981
2017-03-01  51026
2017-04-01  50468
2017-05-01  50039
2017-06-01  50228
2017-07-01  50118
2017-08-01  49427
2017-09-01  50265
2017-10-01  49922
2017-11-01  50204
2017-12-01  50081
2018-01-01  50219
2018-02-01  50155
2018-03-01  50013
2018-04-01  49757
2018-05-01  49998
2018-06-01  50202
2018-07-01  49554
2018-08-01  49026
2018-09-01  49553
2018-10-01  49873
2018-11-01  49831
