Title:               Gross Domestic Product by Industry: Private Industries: Finance, Insurance, Real Estate, Rental, and Leasing: Real Estate and Rental and Leasing for North Carolina
Series ID:           NCRERENTLEANQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:09 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01  33450.1
2005-04-01  34053.0
2005-07-01  34653.1
2005-10-01  35028.3
2006-01-01  34909.8
2006-04-01  35881.2
2006-07-01  37174.2
2006-10-01  38836.6
2007-01-01  39082.6
2007-04-01  39716.3
2007-07-01  41019.4
2007-10-01  42086.4
2008-01-01  42337.7
2008-04-01  43215.9
2008-07-01  43428.5
2008-10-01  43845.8
2009-01-01  44198.2
2009-04-01  43512.4
2009-07-01  43681.0
2009-10-01  43634.5
2010-01-01  44236.2
2010-04-01  45034.3
2010-07-01  45462.2
2010-10-01  46467.8
2011-01-01  46366.0
2011-04-01  47695.4
2011-07-01  48323.6
2011-10-01  49435.8
2012-01-01  49130.3
2012-04-01  49472.3
2012-07-01  49820.1
2012-10-01  49487.3
2013-01-01  50660.7
2013-04-01  50601.2
2013-07-01  51438.3
2013-10-01  51506.0
2014-01-01  51195.4
2014-04-01  51775.7
2014-07-01  52562.9
2014-10-01  53512.8
2015-01-01  54183.2
2015-04-01  55008.7
2015-07-01  55833.4
2015-10-01  56447.3
2016-01-01  56783.4
2016-04-01  57623.0
2016-07-01  58007.7
2016-10-01  58389.6
2017-01-01  58999.9
2017-04-01  59813.3
2017-07-01  60413.7
2017-10-01  61078.7
2018-01-01  61930.0
2018-04-01  62843.6
