Title:               Gross Domestic Product by Industry: Private Industries: Retail Trade for North Carolina
Series ID:           NCRETAILNQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01  20424.1
2005-04-01  20719.2
2005-07-01  21060.8
2005-10-01  21397.6
2006-01-01  21505.6
2006-04-01  21609.4
2006-07-01  21823.3
2006-10-01  21954.2
2007-01-01  22110.1
2007-04-01  22295.8
2007-07-01  22209.6
2007-10-01  22282.6
2008-01-01  22145.7
2008-04-01  22100.1
2008-07-01  22249.7
2008-10-01  21977.8
2009-01-01  20765.6
2009-04-01  20941.6
2009-07-01  20952.3
2009-10-01  21575.3
2010-01-01  21659.9
2010-04-01  21911.1
2010-07-01  21820.6
2010-10-01  21639.2
2011-01-01  21334.2
2011-04-01  21394.3
2011-07-01  21436.9
2011-10-01  21739.5
2012-01-01  22342.9
2012-04-01  22457.5
2012-07-01  22520.1
2012-10-01  22627.1
2013-01-01  23472.9
2013-04-01  23456.1
2013-07-01  23749.4
2013-10-01  24164.0
2014-01-01  23901.9
2014-04-01  24553.9
2014-07-01  24813.9
2014-10-01  25367.3
2015-01-01  25421.5
2015-04-01  25584.3
2015-07-01  26240.5
2015-10-01  26206.9
2016-01-01  26748.4
2016-04-01  27011.0
2016-07-01  27061.4
2016-10-01  27274.4
2017-01-01  27695.5
2017-04-01  27483.8
2017-07-01  27803.6
2017-10-01  27959.5
2018-01-01  28422.9
2018-04-01  28919.7
