Title:               Quantity Indexes for Real Gross Domestic Product by Industry: Private Industries: Finance, Insurance, Real Estate, Rental, and Leasing: Real Estate and Rental and Leasing for North Carolina
Series ID:           NCRERENTLEAQQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Index 2012=100
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01   74.858
2005-04-01   75.819
2005-07-01   76.646
2005-10-01   78.033
2006-01-01   76.951
2006-04-01   77.988
2006-07-01   79.792
2006-10-01   83.127
2007-01-01   83.473
2007-04-01   84.699
2007-07-01   86.844
2007-10-01   88.634
2008-01-01   88.893
2008-04-01   90.614
2008-07-01   90.641
2008-10-01   90.905
2009-01-01   90.911
2009-04-01   89.033
2009-07-01   89.350
2009-10-01   89.704
2010-01-01   91.424
2010-04-01   93.249
2010-07-01   94.259
2010-10-01   96.246
2011-01-01   95.760
2011-04-01   98.459
2011-07-01   98.886
2011-10-01  100.813
2012-01-01   99.931
2012-04-01  100.186
2012-07-01  100.566
2012-10-01   99.317
2013-01-01  101.090
2013-04-01  100.832
2013-07-01  101.852
2013-10-01  101.397
2014-01-01  100.578
2014-04-01  100.578
2014-07-01  101.286
2014-10-01  102.468
2015-01-01  102.817
2015-04-01  103.490
2015-07-01  104.288
2015-10-01  104.699
2016-01-01  104.490
2016-04-01  105.597
2016-07-01  105.676
2016-10-01  105.481
2017-01-01  105.967
2017-04-01  106.691
2017-07-01  106.869
2017-10-01  107.347
2018-01-01  108.090
2018-04-01  109.465
