Title:               Civilian Labor Force in Richmond County, NC
Series ID:           NCRICH3LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
2015-01-01  17009
2015-02-01  16983
2015-03-01  17131
2015-04-01  16941
2015-05-01  17115
2015-06-01  17068
2015-07-01  17001
2015-08-01  16708
2015-09-01  16782
2015-10-01  16815
2015-11-01  16826
2015-12-01  16734
2016-01-01  16718
2016-02-01  16765
2016-03-01  16911
2016-04-01  16795
2016-05-01  16827
2016-06-01  16793
2016-07-01  16894
2016-08-01  16544
2016-09-01  16813
2016-10-01  16806
2016-11-01  16748
2016-12-01  16652
2017-01-01  16920
2017-02-01  16977
2017-03-01  17036
2017-04-01  16943
2017-05-01  16681
2017-06-01  16649
2017-07-01  16623
2017-08-01  16360
2017-09-01  16803
2017-10-01  16599
2017-11-01  16605
2017-12-01  16512
2018-01-01  16639
2018-02-01  16779
2018-03-01  16775
2018-04-01  16669
2018-05-01  16767
2018-06-01  16765
2018-07-01  16680
2018-08-01  16058
2018-09-01  16222
2018-10-01  16296
2018-11-01  16258
