Title:               Civilian Labor Force in Randolph County, NC
Series ID:           NCRAND1LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
2001-12-01  73049
2002-01-01  72682
2002-02-01  73618
2002-03-01  73365
2002-04-01  73668
2002-05-01  73587
2002-06-01  74416
2002-07-01  74500
2002-08-01  73198
2002-09-01  72975
2002-10-01  73425
2002-11-01  73515
2002-12-01  73191
2003-01-01  74319
2003-02-01  75255
2003-03-01  75217
2003-04-01  75390
2003-05-01  74652
2003-06-01  75192
2003-07-01  74882
2003-08-01  73292
2003-09-01  72765
2003-10-01  73412
2003-11-01  73516
2003-12-01  72813
2004-01-01  73142
2004-02-01  73438
2004-03-01  73377
2004-04-01  73818
2004-05-01  73688
2004-06-01  74213
2004-07-01  74053
2004-08-01  73228
2004-09-01  72906
2004-10-01  74026
2004-11-01  73801
2004-12-01  73430
2005-01-01  73436
2005-02-01  74120
2005-03-01  74293
2005-04-01  74589
2005-05-01  74744
2005-06-01  75144
2005-07-01  75655
2005-08-01  74898
2005-09-01  74460
2005-10-01  75186
2005-11-01  75106
2005-12-01  74604
2006-01-01  74583
2006-02-01  75107
2006-03-01  75357
2006-04-01  75737
2006-05-01  76646
2006-06-01  76622
2006-07-01  77621
2006-08-01  77042
2006-09-01  76583
2006-10-01  77323
2006-11-01  77680
2006-12-01  77328
2007-01-01  74231
2007-02-01  73951
2007-03-01  74252
2007-04-01  74216
2007-05-01  74182
2007-06-01  74361
2007-07-01  74855
2007-08-01  73980
2007-09-01  73904
2007-10-01  74430
2007-11-01  74358
2007-12-01  74132
2008-01-01  74643
2008-02-01  74462
2008-03-01  74646
2008-04-01  74817
2008-05-01  74701
2008-06-01  74745
2008-07-01  75906
2008-08-01  74839
2008-09-01  74733
2008-10-01  75335
2008-11-01  76333
2008-12-01  75543
2009-01-01  75120
2009-02-01  75109
2009-03-01  74683
2009-04-01  74685
2009-05-01  74201
2009-06-01  74445
2009-07-01  74732
2009-08-01  73891
2009-09-01  73638
2009-10-01  73810
2009-11-01  73856
2009-12-01  73008
2010-01-01  69247
2010-02-01  69446
2010-03-01  69629
2010-04-01  69968
2010-05-01  69760
2010-06-01  69495
2010-07-01  70051
2010-08-01  69312
2010-09-01  69072
2010-10-01  69239
2010-11-01  69080
2010-12-01  68486
2011-01-01  68431
2011-02-01  68345
2011-03-01  68644
2011-04-01  68667
2011-05-01  68839
2011-06-01  68686
2011-07-01  69035
2011-08-01  68620
2011-09-01  68945
2011-10-01  69167
2011-11-01  68814
2011-12-01  68304
2012-01-01  67929
2012-02-01  68427
2012-03-01  68457
2012-04-01  68170
2012-05-01  68785
2012-06-01  68330
2012-07-01  68195
2012-08-01  68068
2012-09-01  68538
2012-10-01  69218
2012-11-01  68927
2012-12-01  68648
2013-01-01  68540
2013-02-01  68494
2013-03-01  68134
2013-04-01  67983
2013-05-01  68288
2013-06-01  68043
2013-07-01  68099
2013-08-01  67665
2013-09-01  67913
2013-10-01  67771
2013-11-01  67573
2013-12-01  66930
2014-01-01  66339
2014-02-01  66687
2014-03-01  66952
2014-04-01  66464
2014-05-01  66894
2014-06-01  66406
2014-07-01  66812
2014-08-01  66322
2014-09-01  66584
2014-10-01  67185
2014-11-01  66929
2014-12-01  66201
2015-01-01  66227
2015-02-01  66495
2015-03-01  66549
2015-04-01  66780
2015-05-01  67222
2015-06-01  66700
2015-07-01  66773
2015-08-01  66397
2015-09-01  66489
2015-10-01  66899
2015-11-01  66770
2015-12-01  66384
2016-01-01  66229
2016-02-01  66781
2016-03-01  67092
2016-04-01  66712
2016-05-01  66638
2016-06-01  66357
2016-07-01  66893
2016-08-01  66435
2016-09-01  66980
2016-10-01  67459
2016-11-01  67504
2016-12-01  66728
2017-01-01  66675
2017-02-01  67248
2017-03-01  67434
2017-04-01  67361
2017-05-01  67295
2017-06-01  67099
2017-07-01  67473
2017-08-01  66958
2017-09-01  67715
2017-10-01  67429
2017-11-01  67408
2017-12-01  66886
2018-01-01  66884
2018-02-01  67791
2018-03-01  67802
2018-04-01  67753
2018-05-01  67957
2018-06-01  68016
2018-07-01  68119
2018-08-01  66908
2018-09-01  67074
2018-10-01  68038
2018-11-01  67937
