Title:               Civilian Labor Force in Jacksonville, NC (MSA)
Series ID:           JACK337LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:15 AM CST
Notes:               

DATE        VALUE
1990-01-01  40725
1990-02-01  40720
1990-03-01  41103
1990-04-01  41468
1990-05-01  42437
1990-06-01  42295
1990-07-01  43076
1990-08-01  42798
1990-09-01  41310
1990-10-01  41350
1990-11-01  41219
1990-12-01  40624
1991-01-01  40616
1991-02-01  40557
1991-03-01  40645
1991-04-01  41306
1991-05-01  42326
1991-06-01  42974
1991-07-01  43590
1991-08-01  43191
1991-09-01  42235
1991-10-01  42415
1991-11-01  42253
1991-12-01  41672
1992-01-01  41115
1992-02-01  41029
1992-03-01  40964
1992-04-01  41150
1992-05-01  41941
1992-06-01  42404
1992-07-01  43110
1992-08-01  42765
1992-09-01  41887
1992-10-01  41797
1992-11-01  41606
1992-12-01  41376
1993-01-01  41812
1993-02-01  42017
1993-03-01  42134
1993-04-01  41936
1993-05-01  42384
1993-06-01  42910
1993-07-01  43769
1993-08-01  43284
1993-09-01  42120
1993-10-01  42617
1993-11-01  42875
1993-12-01  42371
1994-01-01  42457
1994-02-01  42616
1994-03-01  42484
1994-04-01  42411
1994-05-01  43086
1994-06-01  43244
1994-07-01  43985
1994-08-01  43806
1994-09-01  42949
1994-10-01  43141
1994-11-01  43363
1994-12-01  42985
1995-01-01  42862
1995-02-01  43191
1995-03-01  43085
1995-04-01  43239
1995-05-01  43534
1995-06-01  43685
1995-07-01  45008
1995-08-01  44412
1995-09-01  43543
1995-10-01  43525
1995-11-01  43801
1995-12-01  43847
1996-01-01  43973
1996-02-01  44474
1996-03-01  44664
1996-04-01  44534
1996-05-01  45395
1996-06-01  45758
1996-07-01  47777
1996-08-01  46853
1996-09-01  46083
1996-10-01  46682
1996-11-01  46301
1996-12-01  45679
1997-01-01  47002
1997-02-01  47220
1997-03-01  47742
1997-04-01  47594
1997-05-01  48273
1997-06-01  48319
1997-07-01  48357
1997-08-01  49124
1997-09-01  48250
1997-10-01  47891
1997-11-01  48164
1997-12-01  48201
1998-01-01  48282
1998-02-01  48516
1998-03-01  48703
1998-04-01  47901
1998-05-01  48331
1998-06-01  47486
1998-07-01  47832
1998-08-01  48418
1998-09-01  49085
1998-10-01  48516
1998-11-01  48764
1998-12-01  48523
1999-01-01  49350
1999-02-01  49513
1999-03-01  49979
1999-04-01  50019
1999-05-01  50313
1999-06-01  49630
1999-07-01  51861
1999-08-01  51146
1999-09-01  50437
