Title:               Resident Population in Pasquotank County, NC
Series ID:           NCPASQ9POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  26.824
1971-01-01  27.300
1972-01-01  27.300
1973-01-01  27.200
1974-01-01  27.600
1975-01-01  27.500
1976-01-01  28.000
1977-01-01  28.200
1978-01-01  28.000
1979-01-01  28.200
1980-01-01  28.462
1981-01-01  28.535
1982-01-01  28.781
1983-01-01  28.767
1984-01-01  29.116
1985-01-01  29.493
1986-01-01  30.071
1987-01-01  30.371
1988-01-01  30.649
1989-01-01  31.011
1990-01-01  31.403
1991-01-01  31.636
1992-01-01  32.317
1993-01-01  32.966
1994-01-01  33.147
1995-01-01  33.315
1996-01-01  33.947
1997-01-01  34.757
1998-01-01  35.059
1999-01-01  34.913
2000-01-01  34.907
2001-01-01  34.913
2002-01-01  35.501
2003-01-01  35.980
2004-01-01  36.916
2005-01-01  38.210
2006-01-01  39.516
2007-01-01  40.731
2008-01-01  41.349
2009-01-01  41.441
2010-01-01  40.630
2011-01-01  40.277
2012-01-01  40.391
2013-01-01  39.555
2014-01-01  39.434
2015-01-01  39.385
2016-01-01  39.615
2017-01-01  39.743
