Title:               Quantity Indexes for Real Gross Domestic Product by Industry: Private Industries: Professional and Business Services: Professional, Scientific, and Technical Services for North Carolina
Series ID:           NCPROBUSQQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Index 2012=100
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01   73.915
2005-04-01   74.250
2005-07-01   74.767
2005-10-01   74.996
2006-01-01   79.117
2006-04-01   77.725
2006-07-01   79.495
2006-10-01   81.368
2007-01-01   82.637
2007-04-01   84.213
2007-07-01   86.526
2007-10-01   88.381
2008-01-01   87.625
2008-04-01   89.285
2008-07-01   90.627
2008-10-01   91.273
2009-01-01   87.022
2009-04-01   84.666
2009-07-01   85.943
2009-10-01   85.499
2010-01-01   88.007
2010-04-01   90.259
2010-07-01   91.134
2010-10-01   92.403
2011-01-01   93.787
2011-04-01   94.590
2011-07-01   95.510
2011-10-01   97.342
2012-01-01   98.878
2012-04-01  101.011
2012-07-01  102.139
2012-10-01   97.972
2013-01-01   99.252
2013-04-01   98.606
2013-07-01   99.571
2013-10-01  101.456
2014-01-01  101.793
2014-04-01  104.276
2014-07-01  107.962
2014-10-01  108.675
2015-01-01  110.137
2015-04-01  111.962
2015-07-01  114.274
2015-10-01  115.760
2016-01-01  117.107
2016-04-01  117.910
2016-07-01  119.634
2016-10-01  122.691
2017-01-01  123.890
2017-04-01  127.287
2017-07-01  127.223
2017-10-01  128.225
2018-01-01  131.589
2018-04-01  134.691
