Title:               Civilian Labor Force in Pender County, NC
Series ID:           NCPEND1LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
2015-01-01  25345
2015-02-01  25499
2015-03-01  25680
2015-04-01  25883
2015-05-01  26432
2015-06-01  26317
2015-07-01  26576
2015-08-01  26282
2015-09-01  26175
2015-10-01  26078
2015-11-01  26150
2015-12-01  25777
2016-01-01  26063
2016-02-01  26439
2016-03-01  26699
2016-04-01  26816
2016-05-01  26993
2016-06-01  26941
2016-07-01  27392
2016-08-01  27153
2016-09-01  27171
2016-10-01  26893
2016-11-01  26867
2016-12-01  26440
2017-01-01  26621
2017-02-01  27001
2017-03-01  27249
2017-04-01  27350
2017-05-01  27487
2017-06-01  27492
2017-07-01  27926
2017-08-01  27639
2017-09-01  27693
2017-10-01  27383
2017-11-01  27430
2017-12-01  27076
2018-01-01  26890
2018-02-01  27362
2018-03-01  27470
2018-04-01  27523
2018-05-01  27712
2018-06-01  27882
2018-07-01  28174
2018-08-01  27441
2018-09-01  26526
2018-10-01  27235
2018-11-01  27298
