Title:               Civilian Labor Force in Pasquotank County, NC
Series ID:           NCPASQ9LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  13411
1990-02-01  13471
1990-03-01  13575
1990-04-01  13409
1990-05-01  13723
1990-06-01  13839
1990-07-01  13622
1990-08-01  13538
1990-09-01  13438
1990-10-01  13618
1990-11-01  13765
1990-12-01  13807
1991-01-01  13074
1991-02-01  13124
1991-03-01  13179
1991-04-01  13263
1991-05-01  13504
1991-06-01  13586
1991-07-01  13227
1991-08-01  13030
1991-09-01  13103
1991-10-01  13084
1991-11-01  13125
1991-12-01  13076
1992-01-01  13237
1992-02-01  13444
1992-03-01  13457
1992-04-01  13414
1992-05-01  13605
1992-06-01  13760
1992-07-01  13545
1992-08-01  13522
1992-09-01  13588
1992-10-01  13737
1992-11-01  13805
1992-12-01  13740
1993-01-01  13667
1993-02-01  13914
1993-03-01  13833
1993-04-01  13683
1993-05-01  14070
1993-06-01  14277
1993-07-01  14070
1993-08-01  13887
1993-09-01  13699
1993-10-01  13799
1993-11-01  13678
1993-12-01  13671
1994-01-01  13516
1994-02-01  13716
1994-03-01  13714
1994-04-01  13631
1994-05-01  13897
1994-06-01  13762
1994-07-01  14148
1994-08-01  14238
1994-09-01  14160
1994-10-01  14161
1994-11-01  14308
1994-12-01  14097
1995-01-01  14097
1995-02-01  14180
1995-03-01  14361
1995-04-01  14478
1995-05-01  14543
1995-06-01  14632
1995-07-01  14648
1995-08-01  14456
1995-09-01  14463
1995-10-01  14773
1995-11-01  14936
1995-12-01  14723
1996-01-01  14547
1996-02-01  14729
1996-03-01  14998
1996-04-01  14823
1996-05-01  15200
1996-06-01  15193
1996-07-01  15257
1996-08-01  15235
1996-09-01  15044
1996-10-01  15303
1996-11-01  15371
1996-12-01  15130
1997-01-01  15146
1997-02-01  15181
1997-03-01  15478
1997-04-01  15232
1997-05-01  15507
1997-06-01  15641
1997-07-01  15539
1997-08-01  15310
1997-09-01  15226
1997-10-01  15299
1997-11-01  15413
1997-12-01  15221
1998-01-01  15363
1998-02-01  15308
1998-03-01  15447
1998-04-01  15276
1998-05-01  15350
1998-06-01  15606
1998-07-01  15393
1998-08-01  15024
1998-09-01  15109
1998-10-01  15509
1998-11-01  15569
1998-12-01  15526
1999-01-01  15412
1999-02-01  15549
1999-03-01  15548
1999-04-01  15391
1999-05-01  15436
1999-06-01  15672
1999-07-01  15461
1999-08-01  15436
1999-09-01  15623
1999-10-01  16007
1999-11-01  16297
1999-12-01  15746
2000-01-01  15030
2000-02-01  15218
2000-03-01  15545
2000-04-01  15454
2000-05-01  15541
2000-06-01  15888
2000-07-01  15658
2000-08-01  15582
2000-09-01  15486
2000-10-01  15438
2000-11-01  15455
2000-12-01  15401
2001-01-01  15128
2001-02-01  15242
2001-03-01  15411
2001-04-01  15312
2001-05-01  15417
2001-06-01  15618
2001-07-01  15727
2001-08-01  15574
2001-09-01  15589
2001-10-01  15556
2001-11-01  15619
2001-12-01  15479
2002-01-01  15286
2002-02-01  15412
2002-03-01  15513
2002-04-01  15644
2002-05-01  15775
2002-06-01  15893
2002-07-01  15957
2002-08-01  15711
2002-09-01  15767
2002-10-01  15770
2002-11-01  15753
2002-12-01  15707
2003-01-01  15814
2003-02-01  15872
2003-03-01  16063
2003-04-01  16186
2003-05-01  16354
2003-06-01  16581
2003-07-01  16920
2003-08-01  16747
2003-09-01  16515
2003-10-01  16727
2003-11-01  16792
2003-12-01  16643
2004-01-01  16620
2004-02-01  16591
2004-03-01  16751
2004-04-01  16910
2004-05-01  16983
2004-06-01  17159
2004-07-01  17321
2004-08-01  17110
2004-09-01  16940
2004-10-01  17063
2004-11-01  17229
2004-12-01  17198
2005-01-01  16667
2005-02-01  16779
2005-03-01  16898
2005-04-01  17294
2005-05-01  17279
2005-06-01  17553
2005-07-01  17675
2005-08-01  17457
2005-09-01  17396
2005-10-01  17278
2005-11-01  17378
2005-12-01  17213
2006-01-01  17102
2006-02-01  17356
2006-03-01  17459
2006-04-01  17662
2006-05-01  17671
2006-06-01  17978
2006-07-01  18088
2006-08-01  17858
2006-09-01  17912
2006-10-01  18342
2006-11-01  18312
2006-12-01  18268
2007-01-01  18130
2007-02-01  18099
2007-03-01  18252
2007-04-01  18258
2007-05-01  18336
2007-06-01  18513
2007-07-01  18565
2007-08-01  18211
2007-09-01  18239
2007-10-01  18234
2007-11-01  18363
2007-12-01  18261
2008-01-01  17647
2008-02-01  17591
2008-03-01  17836
2008-04-01  17897
2008-05-01  18065
2008-06-01  18277
2008-07-01  18317
2008-08-01  18117
2008-09-01  17966
2008-10-01  17823
2008-11-01  18000
2008-12-01  17898
2009-01-01  17864
2009-02-01  17878
2009-03-01  17784
2009-04-01  17883
2009-05-01  18095
2009-06-01  18202
2009-07-01  18146
2009-08-01  17526
2009-09-01  17546
2009-10-01  17575
2009-11-01  17593
2009-12-01  17465
2010-01-01  18364
2010-02-01  18561
2010-03-01  18552
2010-04-01  18718
2010-05-01  18700
2010-06-01  18519
2010-07-01  18543
2010-08-01  18441
2010-09-01  18510
2010-10-01  18341
2010-11-01  18390
2010-12-01  18338
2011-01-01  18219
2011-02-01  18178
2011-03-01  18273
2011-04-01  18363
2011-05-01  18378
2011-06-01  18406
2011-07-01  18317
2011-08-01  18183
2011-09-01  18213
2011-10-01  18224
2011-11-01  18294
2011-12-01  18180
2012-01-01  17897
2012-02-01  18120
2012-03-01  18110
2012-04-01  18070
2012-05-01  18154
2012-06-01  18181
2012-07-01  18255
2012-08-01  17906
2012-09-01  18081
2012-10-01  18308
2012-11-01  18215
2012-12-01  18186
2013-01-01  17829
2013-02-01  17800
2013-03-01  17756
2013-04-01  17736
2013-05-01  17856
2013-06-01  17816
2013-07-01  17894
2013-08-01  17429
2013-09-01  17562
2013-10-01  17552
2013-11-01  17485
2013-12-01  17401
2014-01-01  17289
2014-02-01  17341
2014-03-01  17379
2014-04-01  17289
2014-05-01  17413
2014-06-01  17487
2014-07-01  17479
2014-08-01  17045
2014-09-01  16965
2014-10-01  17300
2014-11-01  17285
2014-12-01  17101
2015-01-01  17374
2015-02-01  17327
2015-03-01  17352
2015-04-01  17396
2015-05-01  17524
2015-06-01  17570
2015-07-01  17592
2015-08-01  17199
2015-09-01  17337
2015-10-01  17607
2015-11-01  17610
2015-12-01  17519
2016-01-01  17363
2016-02-01  17417
2016-03-01  17560
2016-04-01  17516
2016-05-01  17414
2016-06-01  17440
2016-07-01  17468
2016-08-01  17100
2016-09-01  17320
2016-10-01  17382
2016-11-01  17361
2016-12-01  17202
2017-01-01  17237
2017-02-01  17481
2017-03-01  17569
2017-04-01  17618
2017-05-01  17616
2017-06-01  17498
2017-07-01  17617
2017-08-01  17328
2017-09-01  17573
2017-10-01  17509
2017-11-01  17466
2017-12-01  17398
2018-01-01  17404
2018-02-01  17591
2018-03-01  17581
2018-04-01  17599
2018-05-01  17402
