Title:               Resident Population in Pamlico County, NC
Series ID:           NCPAML7POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01   9.467
1971-01-01   9.500
1972-01-01   9.500
1973-01-01   9.500
1974-01-01   9.400
1975-01-01   9.500
1976-01-01   9.700
1977-01-01   9.900
1978-01-01  10.100
1979-01-01  10.100
1980-01-01  10.398
1981-01-01  10.441
1982-01-01  10.636
1983-01-01  10.720
1984-01-01  10.920
1985-01-01  11.037
1986-01-01  11.113
1987-01-01  11.090
1988-01-01  11.185
1989-01-01  11.283
1990-01-01  11.395
1991-01-01  11.475
1992-01-01  11.603
1993-01-01  11.758
1994-01-01  11.926
1995-01-01  12.045
1996-01-01  12.165
1997-01-01  12.163
1998-01-01  12.326
1999-01-01  12.898
2000-01-01  12.885
2001-01-01  12.736
2002-01-01  12.721
2003-01-01  12.629
2004-01-01  12.478
2005-01-01  12.541
2006-01-01  12.444
2007-01-01  12.389
2008-01-01  12.388
2009-01-01  12.351
2010-01-01  13.111
2011-01-01  13.253
2012-01-01  13.030
2013-01-01  12.892
2014-01-01  12.884
2015-01-01  12.753
2016-01-01  12.799
2017-01-01  12.689
