Title:               All Employees: Professional and Business Services in North Carolina
Series ID:           NCPBSV
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:32 PM CST
Notes:               

DATE        VALUE
1990-01-01  246.5
1990-02-01  237.3
1990-03-01  238.6
1990-04-01  241.4
1990-05-01  241.7
1990-06-01  241.7
1990-07-01  241.0
1990-08-01  240.4
1990-09-01  238.9
1990-10-01  239.1
1990-11-01  239.8
1990-12-01  238.7
1991-01-01  239.9
1991-02-01  237.3
1991-03-01  236.4
1991-04-01  236.3
1991-05-01  235.1
1991-06-01  235.2
1991-07-01  236.3
1991-08-01  236.9
1991-09-01  239.1
1991-10-01  243.8
1991-11-01  244.7
1991-12-01  244.8
1992-01-01  253.6
1992-02-01  253.5
1992-03-01  253.8
1992-04-01  254.4
1992-05-01  255.9
1992-06-01  258.5
1992-07-01  260.3
1992-08-01  262.0
1992-09-01  261.9
1992-10-01  266.5
1992-11-01  266.7
1992-12-01  267.7
1993-01-01  272.3
1993-02-01  275.9
1993-03-01  274.4
1993-04-01  277.7
1993-05-01  279.6
1993-06-01  279.2
1993-07-01  279.3
1993-08-01  280.7
1993-09-01  281.6
1993-10-01  281.9
1993-11-01  283.9
1993-12-01  285.2
1994-01-01  286.2
1994-02-01  286.6
1994-03-01  288.1
1994-04-01  293.4
1994-05-01  292.1
1994-06-01  294.1
1994-07-01  296.1
1994-08-01  297.6
1994-09-01  298.8
1994-10-01  299.3
1994-11-01  301.2
1994-12-01  302.8
1995-01-01  304.6
1995-02-01  305.8
1995-03-01  305.6
1995-04-01  304.8
1995-05-01  305.3
1995-06-01  306.4
1995-07-01  306.2
1995-08-01  307.8
1995-09-01  311.0
1995-10-01  314.3
1995-11-01  315.7
1995-12-01  317.4
1996-01-01  316.4
1996-02-01  322.2
1996-03-01  325.1
1996-04-01  326.9
1996-05-01  329.1
1996-06-01  330.6
1996-07-01  332.8
1996-08-01  335.6
1996-09-01  336.3
1996-10-01  338.3
1996-11-01  339.9
1996-12-01  342.0
1997-01-01  345.3
1997-02-01  348.0
1997-03-01  349.7
1997-04-01  354.1
1997-05-01  355.0
1997-06-01  355.4
1997-07-01  360.3
1997-08-01  361.8
1997-09-01  366.7
1997-10-01  364.4
1997-11-01  366.0
1997-12-01  367.8
1998-01-01  368.2
1998-02-01  368.8
1998-03-01  368.1
1998-04-01  374.0
1998-05-01  379.0
1998-06-01  381.5
1998-07-01  384.2
1998-08-01  386.8
1998-09-01  387.9
1998-10-01  389.7
1998-11-01  392.1
1998-12-01  394.0
1999-01-01  396.5
1999-02-01  400.5
1999-03-01  400.2
1999-04-01  403.4
1999-05-01  404.1
1999-06-01  405.5
1999-07-01  404.4
1999-08-01  405.9
1999-09-01  407.0
1999-10-01  414.6
1999-11-01  414.6
1999-12-01  417.6
2000-01-01  417.3
2000-02-01  417.6
2000-03-01  419.4
2000-04-01  419.2
2000-05-01  418.0
2000-06-01  419.5
2000-07-01  422.7
2000-08-01  422.7
2000-09-01  423.7
2000-10-01  422.3
2000-11-01  422.7
2000-12-01  420.0
2001-01-01  420.7
2001-02-01  423.2
2001-03-01  421.7
2001-04-01  422.1
2001-05-01  422.6
2001-06-01  421.3
2001-07-01  417.5
2001-08-01  416.4
2001-09-01  414.4
2001-10-01  414.7
2001-11-01  411.8
2001-12-01  414.2
2002-01-01  415.7
2002-02-01  417.3
2002-03-01  418.3
2002-04-01  420.0
2002-05-01  421.1
2002-06-01  422.1
2002-07-01  422.8
2002-08-01  425.1
2002-09-01  426.6
2002-10-01  423.5
2002-11-01  422.2
2002-12-01  423.4
2003-01-01  422.2
2003-02-01  421.1
2003-03-01  421.8
2003-04-01  423.1
2003-05-01  423.6
2003-06-01  423.0
2003-07-01  418.1
2003-08-01  418.6
2003-09-01  419.6
2003-10-01  422.5
2003-11-01  424.5
2003-12-01  424.5
2004-01-01  425.9
2004-02-01  428.1
2004-03-01  429.0
2004-04-01  427.7
2004-05-01  431.0
2004-06-01  431.7
2004-07-01  434.3
2004-08-01  436.3
2004-09-01  435.7
2004-10-01  437.9
2004-11-01  438.4
2004-12-01  440.8
2005-01-01  442.8
2005-02-01  443.5
2005-03-01  443.4
2005-04-01  444.8
2005-05-01  442.4
2005-06-01  441.7
2005-07-01  448.5
2005-08-01  448.7
2005-09-01  452.0
2005-10-01  452.2
2005-11-01  454.0
2005-12-01  455.4
2006-01-01  462.3
2006-02-01  464.0
2006-03-01  466.3
2006-04-01  470.4
2006-05-01  473.1
2006-06-01  476.2
2006-07-01  481.3
2006-08-01  482.3
2006-09-01  483.7
2006-10-01  485.5
2006-11-01  488.0
2006-12-01  488.6
2007-01-01  486.0
2007-02-01  490.6
2007-03-01  493.5
2007-04-01  495.9
2007-05-01  499.0
2007-06-01  503.4
2007-07-01  500.9
2007-08-01  500.1
2007-09-01  501.4
2007-10-01  502.6
2007-11-01  503.3
2007-12-01  505.0
2008-01-01  507.2
2008-02-01  508.3
2008-03-01  507.8
2008-04-01  506.5
2008-05-01  506.3
2008-06-01  505.9
2008-07-01  502.3
2008-08-01  501.4
2008-09-01  497.7
2008-10-01  492.9
2008-11-01  486.5
2008-12-01  481.6
2009-01-01  476.9
2009-02-01  473.0
2009-03-01  467.2
2009-04-01  460.6
2009-05-01  460.3
2009-06-01  458.0
2009-07-01  458.0
2009-08-01  459.2
2009-09-01  460.0
2009-10-01  463.1
2009-11-01  468.2
2009-12-01  468.5
2010-01-01  469.1
2010-02-01  470.0
2010-03-01  473.6
2010-04-01  476.6
2010-05-01  478.0
2010-06-01  480.5
2010-07-01  485.8
2010-08-01  487.4
2010-09-01  488.5
2010-10-01  496.6
2010-11-01  497.7
2010-12-01  500.7
2011-01-01  504.1
2011-02-01  505.7
2011-03-01  507.5
2011-04-01  507.9
2011-05-01  508.3
2011-06-01  509.7
2011-07-01  513.5
2011-08-01  514.7
2011-09-01  516.8
2011-10-01  517.9
2011-11-01  520.8
2011-12-01  524.4
2012-01-01  527.2
2012-02-01  528.6
2012-03-01  530.3
2012-04-01  530.8
2012-05-01  531.7
2012-06-01  532.3
2012-07-01  531.2
2012-08-01  532.7
2012-09-01  533.4
2012-10-01  534.2
2012-11-01  536.0
2012-12-01  538.4
2013-01-01  539.0
2013-02-01  541.6
2013-03-01  543.3
2013-04-01  543.8
2013-05-01  544.6
2013-06-01  546.0
2013-07-01  545.7
2013-08-01  549.0
2013-09-01  551.3
2013-10-01  553.3
2013-11-01  554.8
2013-12-01  554.0
2014-01-01  555.9
2014-02-01  553.5
2014-03-01  560.7
2014-04-01  567.4
2014-05-01  568.5
2014-06-01  570.5
2014-07-01  573.3
2014-08-01  571.9
2014-09-01  572.9
2014-10-01  575.5
2014-11-01  575.6
2014-12-01  578.8
2015-01-01  579.4
2015-02-01  581.6
2015-03-01  579.9
2015-04-01  582.1
2015-05-01  586.4
2015-06-01  587.3
2015-07-01  588.7
2015-08-01  593.1
2015-09-01  594.4
2015-10-01  597.0
2015-11-01  599.6
2015-12-01  599.7
2016-01-01  598.5
2016-02-01  599.7
2016-03-01  602.1
2016-04-01  604.0
2016-05-01  604.2
2016-06-01  604.0
2016-07-01  607.0
2016-08-01  606.3
2016-09-01  608.6
2016-10-01  607.7
2016-11-01  609.9
2016-12-01  609.9
2017-01-01  613.6
2017-02-01  614.9
2017-03-01  615.0
2017-04-01  613.3
2017-05-01  614.3
2017-06-01  617.6
2017-07-01  617.2
2017-08-01  616.5
2017-09-01  614.7
2017-10-01  624.7
2017-11-01  627.2
2017-12-01  631.7
2018-01-01  634.6
2018-02-01  632.3
2018-03-01  630.5
2018-04-01  633.2
2018-05-01  640.8
2018-06-01  638.4
2018-07-01  642.2
2018-08-01  646.7
2018-09-01  647.1
2018-10-01  652.2
2018-11-01  650.5
