Title:               Resident Population in Perquimans County, NC
Series ID:           NCPERQ3POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01   8.351
1971-01-01   8.500
1972-01-01   8.500
1973-01-01   8.600
1974-01-01   8.500
1975-01-01   9.100
1976-01-01   8.800
1977-01-01   8.900
1978-01-01   9.100
1979-01-01   9.500
1980-01-01   9.486
1981-01-01   9.498
1982-01-01   9.420
1983-01-01   9.472
1984-01-01   9.643
1985-01-01   9.944
1986-01-01  10.039
1987-01-01  10.178
1988-01-01  10.391
1989-01-01  10.449
1990-01-01  10.477
1991-01-01  10.484
1992-01-01  10.501
1993-01-01  10.599
1994-01-01  10.633
1995-01-01  10.661
1996-01-01  10.900
1997-01-01  11.000
1998-01-01  11.125
1999-01-01  11.234
2000-01-01  11.391
2001-01-01  11.454
2002-01-01  11.463
2003-01-01  11.501
2004-01-01  11.559
2005-01-01  11.776
2006-01-01  12.093
2007-01-01  12.429
2008-01-01  12.748
2009-01-01  12.669
2010-01-01  13.481
2011-01-01  13.499
2012-01-01  13.587
2013-01-01  13.631
2014-01-01  13.535
2015-01-01  13.464
2016-01-01  13.427
2017-01-01  13.474
