Title:               Civilian Labor Force in Perquimans County, NC
Series ID:           NCPERQ3LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE       VALUE
2015-01-01  5171
2015-02-01  5124
2015-03-01  5188
2015-04-01  5133
2015-05-01  5157
2015-06-01  5204
2015-07-01  5238
2015-08-01  5044
2015-09-01  5089
2015-10-01  5192
2015-11-01  5215
2015-12-01  5116
2016-01-01  5045
2016-02-01  5059
2016-03-01  5171
2016-04-01  5164
2016-05-01  5124
2016-06-01  5104
2016-07-01  5209
2016-08-01  5024
2016-09-01  5089
2016-10-01  5079
2016-11-01  5070
2016-12-01  5011
2017-01-01  5036
2017-02-01  5141
2017-03-01  5191
2017-04-01  5183
2017-05-01  5138
2017-06-01  5074
2017-07-01  5195
2017-08-01  5062
2017-09-01  5120
2017-10-01  5114
2017-11-01  5073
2017-12-01  5077
2018-01-01  5041
2018-02-01  5165
2018-03-01  5133
2018-04-01  5149
2018-05-01  5081
2018-06-01  5079
2018-07-01  5165
2018-08-01  4951
2018-09-01  4962
2018-10-01  4991
2018-11-01  4964
