Title:               State Government Tax Collections, Property Taxes in North Carolina
Series ID:           NCPROPTAX
Source:              U.S. Bureau of the Census
Release:             State Government Tax Collections (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Dollars
Date Range:          1942-01-01 to 2013-01-01
Last Updated:        2019-01-07 1:31 PM CST
Notes:               For more information, see
                     http://www.census.gov/govs/www/statetax.html.

DATE         VALUE
1942-01-01    2786
1943-01-01       .
1944-01-01    3297
1945-01-01       .
1946-01-01    4020
1947-01-01       .
1948-01-01    4078
1949-01-01       .
1950-01-01    4553
1951-01-01    5133
1952-01-01    5356
1953-01-01    5879
1954-01-01    5852
1955-01-01    6847
1956-01-01    8071
1957-01-01    8309
1958-01-01    8086
1959-01-01    9844
1960-01-01   11155
1961-01-01   11307
1962-01-01   13482
1963-01-01   13131
1964-01-01   14550
1965-01-01   16269
1966-01-01   18189
1967-01-01   17903
1968-01-01   21117
1969-01-01   24317
1970-01-01   23680
1971-01-01   25169
1972-01-01   28551
1973-01-01   32721
1974-01-01   30622
1975-01-01   29222
1976-01-01   32695
1977-01-01   38041
1978-01-01   39304
1979-01-01   42768
1980-01-01   45908
1981-01-01   51047
1982-01-01   56871
1983-01-01   62003
1984-01-01   72530
1985-01-01   79489
1986-01-01   69007
1987-01-01   78316
1988-01-01   80370
1989-01-01   86892
1990-01-01   99342
1991-01-01   92478
1992-01-01  112183
1993-01-01  120592
1994-01-01  127087
1995-01-01  128616
1996-01-01   11448
1997-01-01       0
1998-01-01     217
1999-01-01      31
2000-01-01      19
2001-01-01       4
2002-01-01       0
2003-01-01       0
2004-01-01       0
2005-01-01       0
2006-01-01       0
2007-01-01       0
2008-01-01       0
2009-01-01       0
2010-01-01       0
2011-01-01       0
2012-01-01       0
2013-01-01       0
