Title:               Civilian Labor Force in Polk County, NC
Series ID:           NCPOLK9LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE       VALUE
2002-07-01  8660
2002-08-01  8698
2002-09-01  8642
2002-10-01  8586
2002-11-01  8507
2002-12-01  8457
2003-01-01  8667
2003-02-01  8750
2003-03-01  8841
2003-04-01  8980
2003-05-01  8925
2003-06-01  8900
2003-07-01  9037
2003-08-01  9091
2003-09-01  8914
2003-10-01  8965
2003-11-01  9023
2003-12-01  8906
2004-01-01  8836
2004-02-01  8815
2004-03-01  8838
2004-04-01  8855
2004-05-01  8895
2004-06-01  9029
2004-07-01  9159
2004-08-01  9124
2004-09-01  9012
2004-10-01  9084
2004-11-01  9146
2004-12-01  9059
2005-01-01  8969
2005-02-01  9055
2005-03-01  9048
2005-04-01  9069
2005-05-01  9124
2005-06-01  9190
2005-07-01  9205
2005-08-01  9044
2005-09-01  9144
2005-10-01  9172
2005-11-01  9136
2005-12-01  9088
2006-01-01  9201
2006-02-01  9289
2006-03-01  9317
2006-04-01  9290
2006-05-01  9436
2006-06-01  9503
2006-07-01  9492
2006-08-01  9380
2006-09-01  9306
2006-10-01  9465
2006-11-01  9511
2006-12-01  9492
2007-01-01  9563
2007-02-01  9621
2007-03-01  9675
2007-04-01  9641
2007-05-01  9730
2007-06-01  9840
2007-07-01  9891
2007-08-01  9662
2007-09-01  9629
2007-10-01  9772
2007-11-01  9761
2007-12-01  9619
2008-01-01  9448
2008-02-01  9396
2008-03-01  9419
2008-04-01  9405
2008-05-01  9500
2008-06-01  9551
2008-07-01  9730
2008-08-01  9594
2008-09-01  9551
2008-10-01  9540
2008-11-01  9654
2008-12-01  9665
2009-01-01  9506
2009-02-01  9490
2009-03-01  9422
2009-04-01  9523
2009-05-01  9546
2009-06-01  9463
2009-07-01  9579
2009-08-01  9417
2009-09-01  9383
2009-10-01  9382
2009-11-01  9404
2009-12-01  9250
2010-01-01  8495
2010-02-01  8543
2010-03-01  8541
2010-04-01  8635
2010-05-01  8687
