Title:               Net Income for Commercial Banks with Assets under $5B in Raleigh, NC (MSA)
Series ID:           NIRCY
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1989-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:03 AM CST
Notes:               This series represents Net Income (Loss) call item RIAD4340.
                     
                     The asset class is determined by using Total Assets call item RCFD2170
                     less than or equal to $5B. Geographic location is determined by
                     Abbreviated State Name call item RSSD9200 and County Code call item
                     RSSD9150, which is mapped to the proper Core Based Statistical Area
                     (CBSA) defined by the Office of Management and Budget (OMB).
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE          VALUE
1989-01-01     7080
1989-04-01    15045
1989-07-01    23128
1989-10-01    30545
1990-01-01     8281
1990-04-01    17411
1990-07-01    26721
1990-10-01    33229
1991-01-01     5900
1991-04-01    14042
1991-07-01     3179
1991-10-01     4180
1992-01-01     1237
1992-04-01     2694
1992-07-01     5124
1992-10-01     6622
1993-01-01      908
1993-04-01     3120
1993-07-01     5245
1993-10-01     6500
1994-01-01     2161
1994-04-01     4745
1994-07-01     8014
1994-10-01    10735
1995-01-01     3022
1995-04-01     6976
1995-07-01    11377
1995-10-01    16229
1996-01-01     4739
1996-04-01     9936
1996-07-01    14814
1996-10-01    20832
1997-01-01     5663
1997-04-01    12905
1997-07-01    19247
1997-10-01    25476
1998-01-01     6726
1998-04-01    13273
1998-07-01    21256
1998-10-01    29460
1999-01-01     7886
1999-04-01    15950
1999-07-01    24419
1999-10-01    32840
2000-01-01     3717
2000-04-01     6925
2000-07-01    11153
2000-10-01    14885
2001-01-01     3850
2001-04-01     7215
2001-07-01    11231
2001-10-01    15959
2002-01-01     4725
2002-04-01    10066
2002-07-01    15166
2002-10-01    22341
2003-01-01     5876
2003-04-01    10843
2003-07-01    13377
2003-10-01    19839
2004-01-01     6183
2004-04-01    12326
2004-07-01    20079
2004-10-01    28373
2005-01-01     8231
2005-04-01    17602
2005-07-01    28327
2005-10-01    38532
2006-01-01    12163
2006-04-01    25836
2006-07-01    39670
2006-10-01    53608
2007-01-01    12174
2007-04-01    25524
2007-07-01    37560
2007-10-01    45332
2008-01-01     7511
2008-04-01    17897
2008-07-01    24134
2008-10-01   -42288
2009-01-01     2119
2009-04-01     6938
2009-07-01     6574
2009-10-01   -37139
2010-01-01    -3881
2010-04-01   -27997
2010-07-01   -47765
2010-10-01  -109046
2011-01-01   -23580
2011-04-01   -30840
2011-07-01   -41529
2011-10-01     1764
2012-01-01     6378
2012-04-01    13969
2012-07-01    16878
2012-10-01    20420
2013-01-01     8744
2013-04-01    17946
2013-07-01    26902
2013-10-01    37277
2014-01-01     9988
2014-04-01    23441
2014-07-01    15221
2014-10-01    24663
2015-01-01     9199
2015-04-01    33719
2015-07-01    44136
2015-10-01    47341
2016-01-01     9005
2016-04-01    19718
2016-07-01    32070
2016-10-01    46723
2017-01-01    11637
2017-04-01    25171
2017-07-01    39478
2017-10-01    42540
2018-01-01     8831
2018-04-01    19798
2018-07-01    31077
