Title:               Net Interest Margin for Commercial Banks with Assets under $5B in Charlotte-Concord-Gastonia, NC-SC (MSA)
Series ID:           NIMCGR
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly, End of Quarter
Units:               Percent
Date Range:          1989-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:03 AM CST
Notes:               This series is a ratio of Net interest income call item RIAD4074 to
                     Quarterly Average of Total Assets call item RCFD3368.
                     
                     The asset class is determined by using Total Assets call item RCFD2170
                     less than or equal to $5B. Geographic location is determined by
                     Abbreviated State Name call item RSSD9200 and County Code call item
                     RSSD9150, which is mapped to the proper Core Based Statistical Area
                     (CBSA) defined by the Office of Management and Budget (OMB).
                     
                     Data are annualized.
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE                VALUE
1989-01-01   4.4980619655
1989-04-01   4.3782744172
1989-07-01   4.3331394442
1989-10-01   4.2058747274
1990-01-01   4.3192025860
1990-04-01   4.4726172797
1990-07-01   4.4599088040
1990-10-01   4.4700583878
1991-01-01   4.5227999954
1991-04-01   4.4608708338
1991-07-01   4.7430841995
1991-10-01   4.6885817080
1992-01-01   4.3543481525
1992-04-01   4.2468616785
1992-07-01   4.2429230095
1992-10-01   4.0806896907
1993-01-01   4.2413967658
1993-04-01   4.2038096688
1993-07-01   3.9223161419
1993-10-01   3.8574932013
1994-01-01   3.8826530848
1994-04-01   3.9679886825
1994-07-01   3.6719711140
1994-10-01   3.5565631316
1995-01-01   4.4160335174
1995-04-01   4.5300532330
1995-07-01   4.5221231669
1995-10-01   4.4857951389
1996-01-01   4.9531911399
1996-04-01   4.8821266922
1996-07-01   4.7336425914
1996-10-01   4.6474198082
1997-01-01   5.0396712334
1997-04-01   5.5677378834
1997-07-01   7.5958032254
1997-10-01   7.5827413372
1998-01-01   7.9994259044
1998-04-01   9.9056986705
1998-07-01  10.2171755139
1998-10-01  10.2218034902
1999-01-01  10.8727028811
1999-04-01   9.4122199792
1999-07-01  11.6542675845
1999-10-01   9.7925903949
2000-01-01  10.0444350310
2000-04-01  10.2541343357
2000-07-01   9.9896629387
2000-10-01   9.8253550308
2001-01-01   9.5935683565
2001-04-01   9.2029814034
2001-07-01   5.3324689363
2001-10-01   3.1788716449
2002-01-01   3.4692122528
2002-04-01   3.4175035094
2002-07-01   3.4305483746
2002-10-01   3.3442873418
2003-01-01   3.1531648015
2003-04-01   3.0134456528
2003-07-01   2.9577548016
2003-10-01   2.9281381751
2004-01-01   3.1308085474
2004-04-01   3.0650526879
2004-07-01   3.0541528839
2004-10-01   3.0361812640
2005-01-01   3.1707848975
2005-04-01   3.1637721690
2005-07-01   3.1145611843
2005-10-01   3.2778638593
2006-01-01   3.5059390021
2006-04-01   3.2368761624
2006-07-01   3.3859803341
2006-10-01   3.3434659017
2007-01-01   3.4335168759
2007-04-01   3.4171909331
2007-07-01   3.3996717319
2007-10-01   3.2821012308
2008-01-01   3.0819940576
2008-04-01   3.2302377760
2008-07-01   3.1255012116
2008-10-01   2.9261644204
2009-01-01   2.6624368325
2009-04-01   2.7810112879
2009-07-01   2.8643479211
2009-10-01   2.8873744235
2010-01-01   3.2086676092
2010-04-01   3.1457349036
2010-07-01   3.0642176631
2010-10-01   2.9809071594
2011-01-01   2.9691550756
2011-04-01   3.0559972784
2011-07-01   3.1288858529
2011-10-01   3.1245551295
2012-01-01   3.3391000331
2012-04-01   3.3155325338
2012-07-01   3.3432793308
2012-10-01   2.9634621248
2013-01-01   3.3094221948
2013-04-01   3.3923852209
2013-07-01   3.4578883211
2013-10-01   3.4890457069
2014-01-01   3.4966087343
2014-04-01   3.4859759099
2014-07-01   3.0857176221
2014-10-01   3.1774401705
2015-01-01   3.5839190139
2015-04-01   3.5622423653
2015-07-01   3.5167797175
2015-10-01   3.4998648837
2016-01-01   3.4370663998
2016-04-01   3.3915566541
2016-07-01   3.3588417147
2016-10-01   3.2945683413
2017-01-01   3.3832610047
2017-04-01   3.4105777593
2017-07-01   3.4329016420
2017-10-01   3.3690053749
2018-01-01   3.5269107276
2018-04-01   3.5015823695
2018-07-01   3.5290850642
