Title:               Net Income for Commercial Banks with Assets under $5B in Greensboro-High Point, NC (MSA)
Series ID:           NIGNS
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1989-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:02 AM CST
Notes:               This series represents Net Income (Loss) call item RIAD4340.
                     
                     The asset class is determined by using Total Assets call item RCFD2170
                     less than or equal to $5B. Geographic location is determined by
                     Abbreviated State Name call item RSSD9200 and County Code call item
                     RSSD9150, which is mapped to the proper Core Based Statistical Area
                     (CBSA) defined by the Office of Management and Budget (OMB).
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE          VALUE
1989-01-01     2642
1989-04-01     4680
1989-07-01     6703
1989-10-01     5550
1990-01-01     2167
1990-04-01     4659
1990-07-01     6863
1990-10-01     6916
1991-01-01     2062
1991-04-01     4533
1991-07-01     6731
1991-10-01     7727
1992-01-01     2544
1992-04-01     3742
1992-07-01     6489
1992-10-01    10560
1993-01-01     4014
1993-04-01     7248
1993-07-01    10712
1993-10-01    15596
1994-01-01     3803
1994-04-01     8048
1994-07-01    11658
1994-10-01    15742
1995-01-01     3853
1995-04-01     6442
1995-07-01    10064
1995-10-01    13971
1996-01-01     3264
1996-04-01     6829
1996-07-01     9546
1996-10-01    11880
1997-01-01     3217
1997-04-01     6554
1997-07-01    10064
1997-10-01    13282
1998-01-01     3667
1998-04-01     7766
1998-07-01    12092
1998-10-01    16214
1999-01-01     4076
1999-04-01     8411
1999-07-01    12997
1999-10-01    17603
2000-01-01     4982
2000-04-01     7424
2000-07-01     9905
2000-10-01    11322
2001-01-01     3918
2001-04-01     6547
2001-07-01    10454
2001-10-01    13359
2002-01-01     4066
2002-04-01     9913
2002-07-01    15596
2002-10-01    20980
2003-01-01     6361
2003-04-01    12253
2003-07-01    18397
2003-10-01    24863
2004-01-01     6508
2004-04-01    11942
2004-07-01    18611
2004-10-01    25945
2005-01-01     7537
2005-04-01    15077
2005-07-01    23000
2005-10-01    23782
2006-01-01     8828
2006-04-01    17935
2006-07-01    28120
2006-10-01    38413
2007-01-01     8420
2007-04-01    20846
2007-07-01    23750
2007-10-01    27487
2008-01-01     5869
2008-04-01     7284
2008-07-01     7584
2008-10-01   -50414
2009-01-01    -3571
2009-04-01    -6461
2009-07-01   -73547
2009-10-01  -101424
2010-01-01    -1168
2010-04-01   -26867
2010-07-01   -83690
2010-10-01  -132223
2011-01-01   -42371
2011-04-01   -90156
2011-07-01  -104840
2011-10-01  -136163
2012-01-01    -8313
2012-04-01   -22631
2012-07-01   -56850
2012-10-01   -56492
2013-01-01     3717
2013-04-01    16031
2013-07-01    22752
2013-10-01    32475
2014-01-01     7386
2014-04-01    15031
2014-07-01    25858
2014-10-01   175320
2015-01-01    10442
2015-04-01    23141
2015-07-01    35651
2015-10-01    41220
2016-01-01     7976
2016-04-01    16101
2016-07-01    22254
2016-10-01     8986
2017-01-01      735
2017-04-01     1612
2017-07-01     2520
2017-10-01     3316
2018-01-01     1085
2018-04-01     2132
2018-07-01     3252
