Title:               Civilian Labor Force in Asheville, NC (MSA)
Series ID:           ASHE737LF
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Smoothed Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 1:41 PM CST
Notes:               

DATE          VALUE
1990-01-01   154446
1990-02-01   154489
1990-03-01   154625
1990-04-01   155036
1990-05-01   155392
1990-06-01   155340
1990-07-01   155166
1990-08-01   155107
1990-09-01   155006
1990-10-01   155071
1990-11-01   155661
1990-12-01   156497
1991-01-01   157260
1991-02-01   158082
1991-03-01   158805
1991-04-01   159066
1991-05-01   159177
1991-06-01   159418
1991-07-01   159575
1991-08-01   159940
1991-09-01   160707
1991-10-01   161304
1991-11-01   161424
1991-12-01   161422
1992-01-01   161510
1992-02-01   161539
1992-03-01   161464
1992-04-01   161479
1992-05-01   162032
1992-06-01   162923
1992-07-01   163495
1992-08-01   163695
1992-09-01   163459
1992-10-01   163239
1992-11-01   163598
1992-12-01   163824
1993-01-01   163850
1993-02-01   163923
1993-03-01   163863
1993-04-01   163971
1993-05-01   164147
1993-06-01   164360
1993-07-01   164521
1993-08-01   164113
1993-09-01   163569
1993-10-01   163526
1993-11-01   163696
1993-12-01   163996
1994-01-01   164475
1994-02-01   164899
1994-03-01   165365
1994-04-01   165873
1994-05-01   166134
1994-06-01   166118
1994-07-01   166433
1994-08-01   167195
1994-09-01   167757
1994-10-01   168190
1994-11-01   168444
1994-12-01   168433
1995-01-01   168308
1995-02-01   168049
1995-03-01   167627
1995-04-01   166947
1995-05-01   166437
1995-06-01   166732
1995-07-01   167434
1995-08-01   167661
1995-09-01   167962
1995-10-01   168527
1995-11-01   168751
1995-12-01   168936
1996-01-01   171050
1996-02-01   171405
1996-03-01   171953
1996-04-01   172803
1996-05-01   173439
1996-06-01   173619
1996-07-01   173798
1996-08-01   174278
1996-09-01   175188
1996-10-01   176093
1996-11-01   176712
1996-12-01   177401
1997-01-01   177867
1997-02-01   177927
1997-03-01   178313
1997-04-01   178981
1997-05-01   179401
1997-06-01   179312
1997-07-01   178880
1997-08-01   178774
1997-09-01   178652
1997-10-01   178178
1997-11-01   177980
1997-12-01   177761
1998-01-01   177242
1998-02-01   177074
1998-03-01   177081
1998-04-01   176893
1998-05-01   177022
1998-06-01   177394
1998-07-01   177528
1998-08-01   177736
1998-09-01   178142
1998-10-01   178270
1998-11-01   178057
1998-12-01   177904
1999-01-01   178028
1999-02-01   178220
1999-03-01   178221
1999-04-01   178084
1999-05-01   177838
1999-06-01   177737
1999-07-01   178096
1999-08-01   178428
1999-09-01   178503
1999-10-01   178579
1999-11-01   178701
1999-12-01   178900
2000-01-01   185896
2000-02-01   186520
2000-03-01   186821
2000-04-01   186523
2000-05-01   186118
2000-06-01   185352
2000-07-01   184520
2000-08-01   184708
2000-09-01   185166
2000-10-01   185286
2000-11-01   185683
2000-12-01   187055
2001-01-01   188651
2001-02-01   189175
2001-03-01   189028
2001-04-01   188739
2001-05-01   188468
2001-06-01   188297
2001-07-01   188211
2001-08-01   188349
2001-09-01   189009
2001-10-01   189825
2001-11-01   190484
2001-12-01   191218
2002-01-01   191516
2002-02-01   191257
2002-03-01   190985
2002-04-01   191175
2002-05-01   191419
2002-06-01   190791
2002-07-01   190159
2002-08-01   190420
2002-09-01   190805
2002-10-01   190736
2002-11-01   190730
2002-12-01   191600
2003-01-01   193126
2003-02-01   194228
2003-03-01   195109
2003-04-01   195969
2003-05-01   196107
2003-06-01   195948
2003-07-01   195922
2003-08-01   196125
2003-09-01   196297
2003-10-01   196397
2003-11-01   196542
2003-12-01   196038
2004-01-01   195112
2004-02-01   194625
2004-03-01   194700
2004-04-01   194848
2004-05-01   194946
2004-06-01   195469
2004-07-01   196141
2004-08-01   196052
2004-09-01   195391
2004-10-01   195507
2004-11-01   196514
2004-12-01   197212
2005-01-01   197514
2005-02-01   198020
2005-03-01   198105
2005-04-01   197432
2005-05-01   196901
2005-06-01   197171
2005-07-01   198329
2005-08-01   199354
2005-09-01   199455
2005-10-01   199153
2005-11-01   198939
2005-12-01   198949
2006-01-01   199237
2006-02-01   200017
2006-03-01   201119
2006-04-01   202014
2006-05-01   202861
2006-06-01   203967
2006-07-01   204996
2006-08-01   205724
2006-09-01   206541
2006-10-01   207539
2006-11-01   208140
2006-12-01   207348
2007-01-01   205504
2007-02-01   204724
2007-03-01   204891
2007-04-01   204984
2007-05-01   205745
2007-06-01   206680
2007-07-01   206533
2007-08-01   206324
2007-09-01   206844
2007-10-01   206817
2007-11-01   206276
2007-12-01   206567
2008-01-01   207625
2008-02-01   208234
2008-03-01   208626
2008-04-01   209543
2008-05-01   210372
2008-06-01   210782
2008-07-01   210750
2008-08-01   210231
2008-09-01   209622
2008-10-01   208788
2008-11-01   210174
2008-12-01   210216
2009-01-01   210084
2009-02-01   209895
2009-03-01   209730
2009-04-01   210025
2009-05-01   210006
2009-06-01   209917
2009-07-01   210002
2009-08-01   209219
2009-09-01   208516
2009-10-01   208766
2009-11-01   208936
2009-12-01   208517
2010-01-01   207640
2010-02-01   207719
2010-03-01   208662
2010-04-01   209780
2010-05-01   209730
2010-06-01   209050
2010-07-01   208995
2010-08-01   209276
2010-09-01   209003
2010-10-01   208921
2010-11-01   209314
2010-12-01   209318
2011-01-01   209117
2011-02-01   209234
2011-03-01   209434
2011-04-01   209430
2011-05-01   209570
2011-06-01   209863
2011-07-01   209921
2011-08-01   210023
2011-09-01   210459
2011-10-01   210859
2011-11-01   211010
2011-12-01   210707
2012-01-01   210059
2012-02-01   209782
2012-03-01   209814
2012-04-01   210207
2012-05-01   211170
2012-06-01   212043
2012-07-01   212535
2012-08-01   213011
2012-09-01   213664
2012-10-01   214005
2012-11-01   214005
2012-12-01   214257
2013-01-01   214239
2013-02-01   213414
2013-03-01   212794
2013-04-01   213100
2013-05-01   213843
2013-06-01   214319
2013-07-01   214285
2013-08-01   214220
2013-09-01   214020
2013-10-01   213621
2013-11-01   213565
2013-12-01   213490
2014-01-01   213032
2014-02-01   212921
2014-03-01   213125
2014-04-01   213030
2014-05-01   213022
2014-06-01   213296
2014-07-01   213782
2014-08-01   214084
2014-09-01   214256
2014-10-01   214740
2014-11-01   215212
2014-12-01   215813
2015-01-01   216519
2015-02-01   216682
2015-03-01   216835
2015-04-01   217731
2015-05-01   218466
2015-06-01   218385
2015-07-01   218214
2015-08-01   218131
2015-09-01   218144
2015-10-01   218612
2015-11-01   219487
2015-12-01   221005
2016-01-01   222841
2016-02-01   224092
2016-03-01   224326
2016-04-01   223677
2016-05-01   223258
2016-06-01   223680
2016-07-01   224311
2016-08-01   224762
2016-09-01   225253
2016-10-01   225815
2016-11-01   226204
2016-12-01   226730
2017-01-01   227808
2017-02-01   228769
2017-03-01   228614
2017-04-01   227690
2017-05-01   227161
2017-06-01   227637
2017-07-01   228501
2017-08-01   229421
2017-09-01   230347
2017-10-01   230815
2017-11-01   231263
2017-12-01   231693
2018-01-01   232317
2018-02-01   233297
2018-03-01   232938
2018-04-01   232996
2018-05-01   232357
2018-06-01   232969
2018-07-01   232277
2018-08-01   229920
2018-09-01   228996
2018-10-01   229793
2018-11-01   229326
