Title:               Civilian Labor Force in Asheville, NC (MSA)
Series ID:           ASHE737LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:17 AM CST
Notes:               

DATE         VALUE
1990-01-01  151048
1990-02-01  151820
1990-03-01  151394
1990-04-01  152671
1990-05-01  156068
1990-06-01  159009
1990-07-01  160581
1990-08-01  159405
1990-09-01  155250
1990-10-01  154810
1990-11-01  154922
1990-12-01  154852
1991-01-01  153642
1991-02-01  155333
1991-03-01  155951
1991-04-01  156777
1991-05-01  159083
1991-06-01  163113
1991-07-01  165066
1991-08-01  165559
1991-09-01  161287
1991-10-01  161724
1991-11-01  161353
1991-12-01  159909
1992-01-01  157997
1992-02-01  158625
1992-03-01  158348
1992-04-01  158599
1992-05-01  161668
1992-06-01  166285
1992-07-01  169028
1992-08-01  167775
1992-09-01  163926
1992-10-01  162902
1992-11-01  164150
1992-12-01  163148
1993-01-01  160259
1993-02-01  161792
1993-03-01  160417
1993-04-01  161747
1993-05-01  163824
1993-06-01  166970
1993-07-01  169786
1993-08-01  167681
1993-09-01  162882
1993-10-01  164029
1993-11-01  164023
1993-12-01  163663
1994-01-01  161495
1994-02-01  162579
1994-03-01  162745
1994-04-01  163790
1994-05-01  165977
1994-06-01  168251
1994-07-01  170185
1994-08-01  170268
1994-09-01  167024
1994-10-01  169022
1994-11-01  169370
1994-12-01  168582
1995-01-01  165869
1995-02-01  165778
1995-03-01  166221
1995-04-01  165908
1995-05-01  166215
1995-06-01  167705
1995-07-01  172053
1995-08-01  168902
1995-09-01  167274
1995-10-01  169476
1995-11-01  169432
1995-12-01  169050
1996-01-01  168043
1996-02-01  169698
1996-03-01  170100
1996-04-01  171403
1996-05-01  173944
1996-06-01  175138
1996-07-01  177506
1996-08-01  174865
1996-09-01  174870
1996-10-01  176735
1996-11-01  177488
1996-12-01  177656
1997-01-01  175666
1997-02-01  175535
1997-03-01  176936
1997-04-01  177736
1997-05-01  180029
1997-06-01  181151
1997-07-01  181950
1997-08-01  179279
1997-09-01  178950
1997-10-01  178020
1997-11-01  179034
1997-12-01  178445
1998-01-01  174588
1998-02-01  175041
1998-03-01  176163
1998-04-01  175206
1998-05-01  177296
1998-06-01  178719
1998-07-01  180362
1998-08-01  177858
1998-09-01  178158
1998-10-01  178525
1998-11-01  178915
1998-12-01  178415
1999-01-01  176046
1999-02-01  176791
1999-03-01  177538
1999-04-01  176705
1999-05-01  179868
1999-06-01  178204
1999-07-01  180965
1999-08-01  178772
1999-09-01  178099
1999-10-01  178709
1999-11-01  179283
1999-12-01  179638
2000-01-01  184627
2000-02-01  185569
2000-03-01  186422
2000-04-01  185928
2000-05-01  185941
2000-06-01  186723
2000-07-01  186062
2000-08-01  184919
2000-09-01  184865
2000-10-01  185998
2000-11-01  185979
2000-12-01  185879
2001-01-01  188415
2001-02-01  187792
2001-03-01  188715
2001-04-01  187927
2001-05-01  188574
2001-06-01  188892
2001-07-01  190925
2001-08-01  187844
2001-09-01  188682
2001-10-01  190781
2001-11-01  190804
2001-12-01  190753
2002-01-01  187610
2002-02-01  190063
2002-03-01  190277
2002-04-01  190343
2002-05-01  192010
2002-06-01  191562
2002-07-01  192339
2002-08-01  190292
2002-09-01  190675
2002-10-01  191515
2002-11-01  190983
2002-12-01  190647
2003-01-01  192025
2003-02-01  193344
2003-03-01  193673
2003-04-01  196394
2003-05-01  195490
2003-06-01  197364
2003-07-01  198250
2003-08-01  196175
2003-09-01  196105
2003-10-01  196986
2003-11-01  197529
2003-12-01  195468
2004-01-01  193465
2004-02-01  193303
2004-03-01  193677
2004-04-01  194555
2004-05-01  194479
2004-06-01  196572
2004-07-01  199103
2004-08-01  196366
2004-09-01  194751
2004-10-01  196044
2004-11-01  197328
2004-12-01  196707
2005-01-01  195734
2005-02-01  196861
2005-03-01  197606
2005-04-01  196476
2005-05-01  196855
2005-06-01  197725
2005-07-01  201364
2005-08-01  199702
2005-09-01  199334
2005-10-01  200132
2005-11-01  199402
2005-12-01  198190
2006-01-01  197460
2006-02-01  198512
2006-03-01  200252
2006-04-01  201273
2006-05-01  202712
2006-06-01  205037
2006-07-01  208262
2006-08-01  205608
2006-09-01  206447
2006-10-01  208703
2006-11-01  209018
2006-12-01  207280
2007-01-01  203175
2007-02-01  202905
2007-03-01  204361
2007-04-01  203522
2007-05-01  205826
2007-06-01  208054
2007-07-01  210000
2007-08-01  205351
2007-09-01  207732
2007-10-01  207685
2007-11-01  206826
2007-12-01  205030
2008-01-01  206625
2008-02-01  206752
2008-03-01  207280
2008-04-01  208733
2008-05-01  210611
2008-06-01  211716
2008-07-01  214289
2008-08-01  210019
2008-09-01  209803
2008-10-01  209982
2008-11-01  210815
2008-12-01  209173
2009-01-01  208488
2009-02-01  208884
2009-03-01  208205
2009-04-01  209399
2009-05-01  210263
2009-06-01  210111
2009-07-01  214069
2009-08-01  208666
2009-09-01  208378
2009-10-01  209445
2009-11-01  209915
2009-12-01  207233
2010-01-01  205488
2010-02-01  206563
2010-03-01  207867
2010-04-01  210910
2010-05-01  211230
2010-06-01  210586
2010-07-01  210249
2010-08-01  209266
2010-09-01  209058
2010-10-01  209511
2010-11-01  209399
2010-12-01  207501
2011-01-01  206849
2011-02-01  208036
2011-03-01  209192
2011-04-01  209414
2011-05-01  211123
2011-06-01  211538
2011-07-01  211860
2011-08-01  209152
2011-09-01  211132
2011-10-01  211740
2011-11-01  210891
2011-12-01  209158
2012-01-01  207514
2012-02-01  208510
2012-03-01  209371
2012-04-01  209709
2012-05-01  213157
2012-06-01  213522
2012-07-01  214759
2012-08-01  212137
2012-09-01  214552
2012-10-01  215064
2012-11-01  213690
2012-12-01  212358
2013-01-01  212407
2013-02-01  211830
2013-03-01  211892
2013-04-01  212957
2013-05-01  215591
2013-06-01  216162
2013-07-01  216348
2013-08-01  213586
2013-09-01  215173
2013-10-01  214091
2013-11-01  213765
2013-12-01  211533
2014-01-01  210669
2014-02-01  210737
2014-03-01  213337
2014-04-01  212231
2014-05-01  215236
2014-06-01  214324
2014-07-01  216359
