Title:               All Employees: Total Nonfarm in Asheville, NC (MSA)
Series ID:           ASHE737NA
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:34 PM CST
Notes:               

DATE        VALUE
1990-01-01  132.4
1990-02-01  132.0
1990-03-01  131.5
1990-04-01  131.2
1990-05-01  131.0
1990-06-01  131.4
1990-07-01  131.2
1990-08-01  131.2
1990-09-01  130.9
1990-10-01  131.0
1990-11-01  130.6
1990-12-01  130.7
1991-01-01  130.4
1991-02-01  130.7
1991-03-01  130.4
1991-04-01  132.1
1991-05-01  132.1
1991-06-01  132.0
1991-07-01  132.1
1991-08-01  132.4
1991-09-01  132.4
1991-10-01  132.4
1991-11-01  132.8
1991-12-01  132.0
1992-01-01  132.7
1992-02-01  132.9
1992-03-01  132.9
1992-04-01  133.4
1992-05-01  133.8
1992-06-01  134.4
1992-07-01  134.8
1992-08-01  135.2
1992-09-01  135.6
1992-10-01  136.0
1992-11-01  136.1
1992-12-01  136.6
1993-01-01  137.6
1993-02-01  138.7
1993-03-01  136.9
1993-04-01  137.7
1993-05-01  138.2
1993-06-01  138.5
1993-07-01  140.2
1993-08-01  139.8
1993-09-01  140.1
1993-10-01  140.7
1993-11-01  141.0
1993-12-01  141.3
1994-01-01  140.7
1994-02-01  141.6
1994-03-01  142.2
1994-04-01  142.9
1994-05-01  143.4
1994-06-01  143.8
1994-07-01  143.8
1994-08-01  144.3
1994-09-01  144.6
1994-10-01  144.6
1994-11-01  145.3
1994-12-01  145.6
1995-01-01  146.4
1995-02-01  145.6
1995-03-01  146.0
1995-04-01  145.6
1995-05-01  145.6
1995-06-01  145.4
1995-07-01  146.6
1995-08-01  146.7
1995-09-01  147.0
1995-10-01  147.7
1995-11-01  148.0
1995-12-01  148.0
1996-01-01  147.3
1996-02-01  148.4
1996-03-01  148.3
1996-04-01  148.6
1996-05-01  148.7
1996-06-01  148.8
1996-07-01  149.1
1996-08-01  148.7
1996-09-01  149.8
1996-10-01  150.8
1996-11-01  151.6
1996-12-01  152.1
1997-01-01  152.8
1997-02-01  154.0
1997-03-01  154.4
1997-04-01  155.0
1997-05-01  155.7
1997-06-01  155.9
1997-07-01  156.0
1997-08-01  156.2
1997-09-01  157.1
1997-10-01  156.0
1997-11-01  156.2
1997-12-01  156.4
1998-01-01  156.4
1998-02-01  155.9
1998-03-01  156.2
1998-04-01  156.9
1998-05-01  157.1
1998-06-01  157.8
1998-07-01  158.1
1998-08-01  158.6
1998-09-01  159.1
1998-10-01  159.5
1998-11-01  159.6
1998-12-01  159.7
1999-01-01  159.3
1999-02-01  160.0
1999-03-01  160.4
1999-04-01  160.6
1999-05-01  160.1
1999-06-01  159.0
1999-07-01  159.5
1999-08-01  159.7
1999-09-01  160.4
1999-10-01  160.6
1999-11-01  160.9
1999-12-01  161.1
2000-01-01  161.7
2000-02-01  161.1
2000-03-01  161.3
2000-04-01  160.8
2000-05-01  160.7
2000-06-01  160.7
2000-07-01  159.7
2000-08-01  160.3
2000-09-01  160.4
2000-10-01  160.2
2000-11-01  160.1
2000-12-01  159.4
2001-01-01  161.9
2001-02-01  160.8
2001-03-01  160.7
2001-04-01  160.6
2001-05-01  160.5
2001-06-01  160.2
2001-07-01  160.5
2001-08-01  160.6
2001-09-01  159.5
2001-10-01  160.5
2001-11-01  160.3
2001-12-01  160.5
2002-01-01  160.3
2002-02-01  161.1
2002-03-01  161.1
2002-04-01  160.5
2002-05-01  161.9
2002-06-01  161.1
2002-07-01  161.0
2002-08-01  160.9
2002-09-01  160.8
2002-10-01  161.7
2002-11-01  162.1
2002-12-01  162.2
2003-01-01  162.1
2003-02-01  162.1
2003-03-01  161.7
2003-04-01  161.8
2003-05-01  162.0
2003-06-01  161.9
2003-07-01  161.8
2003-08-01  162.2
2003-09-01  162.7
2003-10-01  162.7
2003-11-01  162.5
2003-12-01  162.2
2004-01-01  161.5
2004-02-01  161.5
2004-03-01  162.0
2004-04-01  162.7
2004-05-01  163.0
2004-06-01  163.2
2004-07-01  164.1
2004-08-01  164.5
2004-09-01  163.8
2004-10-01  163.7
2004-11-01  164.5
2004-12-01  165.6
2005-01-01  166.3
2005-02-01  166.9
2005-03-01  167.3
2005-04-01  164.1
2005-05-01  164.2
2005-06-01  163.6
2005-07-01  165.0
2005-08-01  166.6
2005-09-01  166.5
2005-10-01  166.2
2005-11-01  166.4
2005-12-01  166.7
2006-01-01  167.9
2006-02-01  167.9
2006-03-01  168.8
2006-04-01  169.3
2006-05-01  169.4
2006-06-01  170.1
2006-07-01  170.8
2006-08-01  171.0
2006-09-01  171.6
2006-10-01  172.6
2006-11-01  173.3
2006-12-01  173.5
2007-01-01  174.2
2007-02-01  174.4
2007-03-01  175.0
2007-04-01  174.3
2007-05-01  175.4
2007-06-01  176.2
2007-07-01  175.8
2007-08-01  175.7
2007-09-01  176.3
2007-10-01  176.0
2007-11-01  175.8
2007-12-01  176.4
2008-01-01  176.9
2008-02-01  177.8
2008-03-01  176.8
2008-04-01  176.1
2008-05-01  175.8
2008-06-01  175.7
2008-07-01  175.4
2008-08-01  174.7
2008-09-01  174.1
2008-10-01  173.1
2008-11-01  172.4
2008-12-01  171.7
2009-01-01  169.6
2009-02-01  169.1
2009-03-01  167.4
2009-04-01  166.5
2009-05-01  166.2
2009-06-01  165.2
2009-07-01  166.1
2009-08-01  164.8
2009-09-01  164.5
2009-10-01  164.9
2009-11-01  165.2
2009-12-01  164.9
2010-01-01  164.9
2010-02-01  164.5
2010-03-01  165.2
2010-04-01  165.7
2010-05-01  166.0
2010-06-01  166.2
2010-07-01  165.4
2010-08-01  166.9
2010-09-01  166.3
2010-10-01  167.1
2010-11-01  167.0
2010-12-01  167.2
2011-01-01  166.4
2011-02-01  167.6
2011-03-01  167.8
2011-04-01  167.5
2011-05-01  167.7
2011-06-01  168.5
2011-07-01  168.1
2011-08-01  167.3
2011-09-01  168.1
2011-10-01  168.1
2011-11-01  168.1
2011-12-01  168.2
2012-01-01  168.3
2012-02-01  168.3
2012-03-01  168.9
2012-04-01  169.2
2012-05-01  169.4
2012-06-01  169.3
2012-07-01  169.9
2012-08-01  170.7
2012-09-01  171.0
2012-10-01  170.8
2012-11-01  171.2
2012-12-01  171.3
2013-01-01  172.2
2013-02-01  172.3
2013-03-01  172.5
2013-04-01  173.3
2013-05-01  173.4
2013-06-01  173.6
2013-07-01  173.1
2013-08-01  174.1
2013-09-01  174.5
2013-10-01  175.2
2013-11-01  175.0
2013-12-01  175.2
2014-01-01  174.6
2014-02-01  174.1
2014-03-01  175.3
2014-04-01  175.4
2014-05-01  176.0
2014-06-01  176.0
2014-07-01  176.0
2014-08-01  176.6
2014-09-01  177.0
2014-10-01  177.5
2014-11-01  178.1
2014-12-01  178.5
2015-01-01  178.5
