Title:               Net Interest Income for Commercial Banks with Assets under $5B in Raleigh, NC (MSA)
Series ID:           INTINCOMERCY
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1989-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:02 AM CST
Notes:               This series represents Net Interest Income call item RIAD4074.
                     
                     The asset class is determined by using Total Assets call item RCFD2170
                     less than or equal to $5B. Geographic location is determined by
                     Abbreviated State Name call item RSSD9200 and County Code call item
                     RSSD9150, which is mapped to the proper Core Based Statistical Area
                     (CBSA) defined by the Office of Management and Budget (OMB).
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE         VALUE
1989-01-01   37188
1989-04-01   75835
1989-07-01  113555
1989-10-01  153116
1990-01-01   41287
1990-04-01   83470
1990-07-01  126253
1990-10-01  168808
1991-01-01   44984
1991-04-01   90899
1991-07-01   14213
1991-10-01   19836
1992-01-01    6099
1992-04-01   12596
1992-07-01   21152
1992-10-01   28490
1993-01-01    7781
1993-04-01   15665
1993-07-01   23719
1993-10-01   31701
1994-01-01    9277
1994-04-01   19316
1994-07-01   30065
1994-10-01   41347
1995-01-01   12024
1995-04-01   30170
1995-07-01   45513
1995-10-01   64344
1996-01-01   17097
1996-04-01   33423
1996-07-01   51682
1996-10-01   72492
1997-01-01   19231
1997-04-01   39691
1997-07-01   61675
1997-10-01   84972
1998-01-01   22846
1998-04-01   48633
1998-07-01   83223
1998-10-01  112273
1999-01-01   28891
1999-04-01   60185
1999-07-01   94274
1999-10-01  128999
2000-01-01   16754
2000-04-01   34957
2000-07-01   53859
2000-10-01   73535
2001-01-01   19429
2001-04-01   38752
2001-07-01   57667
2001-10-01   78007
2002-01-01   22169
2002-04-01   45813
2002-07-01   69847
2002-10-01   94793
2003-01-01   24739
2003-04-01   50253
2003-07-01   76399
2003-10-01  104166
2004-01-01   28473
2004-04-01   57693
2004-07-01   88897
2004-10-01  121657
2005-01-01   34015
2005-04-01   70539
2005-07-01  109444
2005-10-01  150845
2006-01-01   46600
2006-04-01   95949
2006-07-01  148182
2006-10-01  200731
2007-01-01   51823
2007-04-01  109601
2007-07-01  168401
2007-10-01  227784
2008-01-01   56961
2008-04-01  113296
2008-07-01  171861
2008-10-01  228868
2009-01-01   56799
2009-04-01  119538
2009-07-01  190568
2009-10-01  258655
2010-01-01   66466
2010-04-01  131477
2010-07-01  196325
2010-10-01  258477
2011-01-01   56393
2011-04-01   92275
2011-07-01  137910
2011-10-01  158633
2012-01-01   46196
2012-04-01   91420
2012-07-01  137527
2012-10-01  191740
2013-01-01   48769
2013-04-01  109140
2013-07-01  170507
2013-10-01  232591
2014-01-01   61035
2014-04-01  115576
2014-07-01  115111
2014-10-01  154224
2015-01-01   40253
2015-04-01   81275
2015-07-01  122910
2015-10-01  150462
2016-01-01   39022
2016-04-01   79549
2016-07-01  121035
2016-10-01  163894
2017-01-01   43746
2017-04-01   89137
2017-07-01  136462
2017-10-01  158462
2018-01-01   27682
2018-04-01   57048
2018-07-01   87357
