Title:               Net Interest Income for Commercial Banks with Assets under $5B in Greensboro-High Point, NC (MSA)
Series ID:           INTINCOMEGNS
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1989-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:02 AM CST
Notes:               This series represents Net Interest Income call item RIAD4074.
                     
                     The asset class is determined by using Total Assets call item RCFD2170
                     less than or equal to $5B. Geographic location is determined by
                     Abbreviated State Name call item RSSD9200 and County Code call item
                     RSSD9150, which is mapped to the proper Core Based Statistical Area
                     (CBSA) defined by the Office of Management and Budget (OMB).
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE         VALUE
1989-01-01    9959
1989-04-01   19227
1989-07-01   28421
1989-10-01   35623
1990-01-01    9057
1990-04-01   18940
1990-07-01   28922
1990-10-01   38850
1991-01-01    9815
1991-04-01   20336
1991-07-01   31175
1991-10-01   42147
1992-01-01   11245
1992-04-01   24109
1992-07-01   38005
1992-10-01   60015
1993-01-01   15930
1993-04-01   32110
1993-07-01   48304
1993-10-01   61467
1994-01-01   15722
1994-04-01   32261
1994-07-01   45985
1994-10-01   62184
1995-01-01   16426
1995-04-01   26323
1995-07-01   39149
1995-10-01   52998
1996-01-01   11498
1996-04-01   23240
1996-07-01   35027
1996-10-01   47013
1997-01-01   12110
1997-04-01   24974
1997-07-01   37505
1997-10-01   51019
1998-01-01   13603
1998-04-01   28156
1998-07-01   42724
1998-10-01   57328
1999-01-01   14490
1999-04-01   29518
1999-07-01   45249
1999-10-01   61382
2000-01-01   16392
2000-04-01   35705
2000-07-01   53984
2000-10-01   73766
2001-01-01   18773
2001-04-01   37666
2001-07-01   57248
2001-10-01   77082
2002-01-01   20779
2002-04-01   43113
2002-07-01   65770
2002-10-01   88827
2003-01-01   22544
2003-04-01   45480
2003-07-01   67680
2003-10-01   91548
2004-01-01   24354
2004-04-01   49004
2004-07-01   75041
2004-10-01  107908
2005-01-01   29351
2005-04-01   60135
2005-07-01   92629
2005-10-01  126385
2006-01-01   35077
2006-04-01   70234
2006-07-01  111500
2006-10-01  151488
2007-01-01   38647
2007-04-01   77420
2007-07-01   98851
2007-10-01  123636
2008-01-01   30271
2008-04-01   60247
2008-07-01   91714
2008-10-01  121760
2009-01-01   29979
2009-04-01   62374
2009-07-01   97139
2009-10-01  132843
2010-01-01   34530
2010-04-01   67967
2010-07-01   99138
2010-10-01  130095
2011-01-01   28590
2011-04-01   57022
2011-07-01   84166
2011-10-01  111424
2012-01-01   43166
2012-04-01   87277
2012-07-01  131518
2012-10-01  175326
2013-01-01   42952
2013-04-01   98747
2013-07-01  150638
2013-10-01  193638
2014-01-01   48870
2014-04-01  101934
2014-07-01  155765
2014-10-01  211239
2015-01-01   54344
2015-04-01  109969
2015-07-01  166275
2015-10-01  222869
2016-01-01   33373
2016-04-01   67522
2016-07-01  101194
2016-10-01   37772
2017-01-01    3508
2017-04-01    7251
2017-07-01   11178
2017-10-01   15147
2018-01-01    3966
2018-04-01    8071
2018-07-01   12168
