Title:               All Employees: Private Service Providing in Charlotte-Concord-Gastonia, NC-SC (MSA)
Series ID:           SMU37167400800000001SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
1990-01-01  395.5
1990-02-01  399.7
1990-03-01  400.3
1990-04-01  399.0
1990-05-01  399.0
1990-06-01  399.4
1990-07-01  396.1
1990-08-01  396.4
1990-09-01  398.3
1990-10-01  394.6
1990-11-01  395.1
1990-12-01  395.0
1991-01-01  395.6
1991-02-01  394.6
1991-03-01  394.9
1991-04-01  395.2
1991-05-01  396.8
1991-06-01  395.7
1991-07-01  398.4
1991-08-01  400.8
1991-09-01  401.2
1991-10-01  400.9
1991-11-01  400.9
1991-12-01  400.8
1992-01-01  403.2
1992-02-01  404.0
1992-03-01  405.4
1992-04-01  406.3
1992-05-01  406.9
1992-06-01  407.4
1992-07-01  411.1
1992-08-01  410.7
1992-09-01  412.6
1992-10-01  416.2
1992-11-01  417.4
1992-12-01  418.8
1993-01-01  419.6
1993-02-01  420.9
1993-03-01  422.0
1993-04-01  425.8
1993-05-01  427.1
1993-06-01  429.4
1993-07-01  431.3
1993-08-01  433.3
1993-09-01  434.7
1993-10-01  441.2
1993-11-01  443.2
1993-12-01  446.4
1994-01-01  446.4
1994-02-01  448.6
1994-03-01  450.6
1994-04-01  452.6
1994-05-01  451.4
1994-06-01  454.4
1994-07-01  457.3
1994-08-01  459.9
1994-09-01  462.2
1994-10-01  460.7
1994-11-01  462.0
1994-12-01  464.0
1995-01-01  467.2
1995-02-01  468.9
1995-03-01  469.5
1995-04-01  471.0
1995-05-01  474.9
1995-06-01  476.9
1995-07-01  473.6
1995-08-01  475.9
1995-09-01  477.3
1995-10-01  479.0
1995-11-01  481.8
1995-12-01  483.2
1996-01-01  484.6
1996-02-01  487.9
1996-03-01  490.2
1996-04-01  490.1
1996-05-01  492.0
1996-06-01  494.9
1996-07-01  496.9
1996-08-01  498.9
1996-09-01  500.3
1996-10-01  504.1
1996-11-01  508.6
1996-12-01  511.4
1997-01-01  511.0
1997-02-01  513.1
1997-03-01  515.9
1997-04-01  516.7
1997-05-01  519.3
1997-06-01  519.8
1997-07-01  518.3
1997-08-01  520.9
1997-09-01  524.5
1997-10-01  522.1
1997-11-01  526.9
1997-12-01  529.4
1998-01-01  534.1
1998-02-01  536.7
1998-03-01  537.3
1998-04-01  545.2
1998-05-01  548.7
1998-06-01  552.4
1998-07-01  558.6
1998-08-01  560.4
1998-09-01  562.0
1998-10-01  556.8
1998-11-01  560.2
1998-12-01  561.4
1999-01-01  567.7
1999-02-01  573.5
1999-03-01  573.2
1999-04-01  573.5
1999-05-01  574.6
1999-06-01  575.2
1999-07-01  580.5
1999-08-01  582.4
1999-09-01  585.8
1999-10-01  589.5
1999-11-01  592.1
1999-12-01  595.2
2000-01-01  597.1
2000-02-01  597.7
2000-03-01  599.5
2000-04-01  602.1
2000-05-01  603.6
2000-06-01  606.4
2000-07-01  605.5
2000-08-01  605.7
2000-09-01  606.2
2000-10-01  609.6
2000-11-01  610.2
2000-12-01  609.8
2001-01-01  610.9
2001-02-01  611.3
2001-03-01  610.2
2001-04-01  609.3
2001-05-01  607.4
2001-06-01  607.0
2001-07-01  604.8
2001-08-01  605.4
2001-09-01  604.1
2001-10-01  603.7
2001-11-01  602.6
2001-12-01  600.7
2002-01-01  600.4
2002-02-01  602.2
2002-03-01  602.8
2002-04-01  602.9
2002-05-01  603.1
2002-06-01  604.5
2002-07-01  605.3
2002-08-01  606.9
2002-09-01  608.9
2002-10-01  605.5
2002-11-01  606.3
2002-12-01  607.1
2003-01-01  607.2
2003-02-01  606.8
2003-03-01  607.4
2003-04-01  609.0
2003-05-01  612.2
2003-06-01  611.2
2003-07-01  608.1
2003-08-01  610.1
2003-09-01  613.0
2003-10-01  611.7
2003-11-01  613.7
2003-12-01  615.2
2004-01-01  615.6
2004-02-01  615.2
