Title:               All Employees: Private Service Providing in Charlotte-Concord-Gastonia, NC-SC (MSA)
2004-03-01  616.4
2004-04-01  615.2
2004-05-01  618.0
2004-06-01  619.2
2004-07-01  622.1
2004-08-01  624.7
2004-09-01  625.1
2004-10-01  626.4
2004-11-01  627.9
2004-12-01  628.9
2005-01-01  629.6
2005-02-01  630.9
2005-03-01  631.6
2005-04-01  634.3
2005-05-01  635.3
2005-06-01  634.5
2005-07-01  640.2
2005-08-01  641.2
2005-09-01  644.2
2005-10-01  648.1
2005-11-01  649.4
2005-12-01  650.1
2006-01-01  659.3
2006-02-01  660.3
2006-03-01  662.1
2006-04-01  667.5
2006-05-01  670.2
2006-06-01  671.7
2006-07-01  676.0
2006-08-01  678.2
2006-09-01  680.7
2006-10-01  683.8
2006-11-01  689.0
2006-12-01  689.2
2007-01-01  692.1
2007-02-01  694.4
2007-03-01  698.9
2007-04-01  700.0
2007-05-01  703.7
2007-06-01  706.0
2007-07-01  705.8
2007-08-01  706.7
2007-09-01  708.2
2007-10-01  710.9
2007-11-01  712.8
2007-12-01  714.9
2008-01-01  710.9
2008-02-01  713.5
2008-03-01  713.5
2008-04-01  709.2
2008-05-01  710.1
2008-06-01  709.7
2008-07-01  707.0
2008-08-01  707.0
2008-09-01  705.2
2008-10-01  701.7
2008-11-01  696.3
2008-12-01  696.1
2009-01-01  688.2
2009-02-01  684.5
2009-03-01  679.0
2009-04-01  672.4
2009-05-01  672.0
2009-06-01  668.8
2009-07-01  668.4
2009-08-01  666.7
2009-09-01  665.7
2009-10-01  663.0
2009-11-01  663.1
2009-12-01  663.3
2010-01-01  664.1
2010-02-01  664.0
2010-03-01  666.8
2010-04-01  669.8
2010-05-01  672.1
2010-06-01  673.5
2010-07-01  675.8
2010-08-01  677.5
2010-09-01  679.9
2010-10-01  682.9
2010-11-01  684.6
2010-12-01  686.0
2011-01-01  687.4
2011-02-01  692.7
2011-03-01  694.3
2011-04-01  695.1
2011-05-01  694.0
2011-06-01  696.1
2011-07-01  697.0
2011-08-01  698.7
2011-09-01  701.9
2011-10-01  700.6
2011-11-01  702.7
2011-12-01  704.1
2012-01-01  707.7
2012-02-01  708.8
2012-03-01  712.4
2012-04-01  711.6
2012-05-01  714.5
2012-06-01  716.0
2012-07-01  717.1
2012-08-01  718.1
2012-09-01  720.2
2012-10-01  722.0
2012-11-01  723.5
2012-12-01  724.4
2013-01-01  723.6
2013-02-01  726.5
2013-03-01  727.7
2013-04-01  730.2
2013-05-01  731.8
2013-06-01  734.5
2013-07-01  736.4
2013-08-01  739.7
2013-09-01  741.3
2013-10-01  743.2
2013-11-01  747.0
2013-12-01  749.9
2014-01-01  754.8
2014-02-01  751.5
2014-03-01  758.2
2014-04-01  762.0
2014-05-01  763.9
2014-06-01  766.1
2014-07-01  768.2
2014-08-01  770.8
2014-09-01  774.0
2014-10-01  776.8
2014-11-01  778.9
2014-12-01  782.0
2015-01-01  784.9
2015-02-01  788.9
2015-03-01  789.0
2015-04-01  791.7
2015-05-01  796.3
2015-06-01  799.2
2015-07-01  802.2
2015-08-01  802.5
2015-09-01  805.3
2015-10-01  809.9
2015-11-01  813.1
2015-12-01  816.4
2016-01-01  819.7
2016-02-01  821.2
2016-03-01  823.9
2016-04-01  830.5
2016-05-01  829.1
2016-06-01  829.7
2016-07-01  834.7
2016-08-01  836.6
2016-09-01  840.7
2016-10-01  841.6
2016-11-01  844.3
2016-12-01  843.4
2017-01-01  849.3
2017-02-01  851.6
2017-03-01  853.4
2017-04-01  854.5
2017-05-01  856.5
2017-06-01  859.0
2017-07-01  860.0
2017-08-01  863.9
2017-09-01  863.4
2017-10-01  865.9
2017-11-01  866.5
2017-12-01  870.6
2018-01-01  870.4
2018-02-01  873.0
2018-03-01  876.3
2018-04-01  876.9
2018-05-01  880.0
2018-06-01  883.2
2018-07-01  886.6
2018-08-01  888.7
2018-09-01  885.9
2018-10-01  892.1
