Title:               Average Weekly Earnings of All Employees: Total Private in Charlotte-Concord-Gastonia, NC-SC (MSA)
Series ID:           SMU37167400500000011SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE         VALUE
2007-01-01   783.9
2007-02-01   777.4
2007-03-01   775.8
2007-04-01   770.1
2007-05-01   755.7
2007-06-01   756.6
2007-07-01   784.8
2007-08-01   733.9
2007-09-01   809.1
2007-10-01   769.4
2007-11-01   764.5
2007-12-01   791.8
2008-01-01   767.5
2008-02-01   724.7
2008-03-01   768.5
2008-04-01   792.7
2008-05-01   793.0
2008-06-01   819.9
2008-07-01   800.0
2008-08-01   795.2
2008-09-01   796.7
2008-10-01   808.8
2008-11-01   825.5
2008-12-01   807.4
2009-01-01   796.5
2009-02-01   799.4
2009-03-01   808.7
2009-04-01   771.6
2009-05-01   789.6
2009-06-01   807.6
2009-07-01   799.0
2009-08-01   817.7
2009-09-01   811.2
2009-10-01   808.0
2009-11-01   824.5
2009-12-01   810.7
2010-01-01   810.1
2010-02-01   811.4
2010-03-01   800.8
2010-04-01   803.9
2010-05-01   819.4
2010-06-01   799.9
2010-07-01   810.2
2010-08-01   813.6
2010-09-01   797.3
2010-10-01   807.9
2010-11-01   796.9
2010-12-01   810.4
2011-01-01   836.4
2011-02-01   841.3
2011-03-01   843.8
2011-04-01   844.9
2011-05-01   859.6
2011-06-01   827.7
2011-07-01   840.4
2011-08-01   842.1
2011-09-01   859.4
2011-10-01   887.2
2011-11-01   855.6
2011-12-01   865.2
2012-01-01   879.0
2012-02-01   867.9
2012-03-01   864.3
2012-04-01   882.9
2012-05-01   868.8
2012-06-01   870.1
2012-07-01   886.6
2012-08-01   868.8
2012-09-01   895.2
2012-10-01   878.4
2012-11-01   875.1
2012-12-01   886.7
2013-01-01   850.5
2013-02-01   852.6
2013-03-01   858.4
2013-04-01   845.3
2013-05-01   835.3
2013-06-01   857.8
2013-07-01   844.3
2013-08-01   848.9
2013-09-01   852.9
2013-10-01   845.7
2013-11-01   844.9
2013-12-01   853.3
2014-01-01   848.4
2014-02-01   833.4
2014-03-01   874.8
2014-04-01   846.2
2014-05-01   849.2
2014-06-01   870.5
2014-07-01   848.6
2014-08-01   852.0
2014-09-01   842.9
2014-10-01   842.9
2014-11-01   879.1
2014-12-01   859.5
2015-01-01   859.3
2015-02-01   875.8
2015-03-01   872.2
2015-04-01   873.1
2015-05-01   887.2
2015-06-01   884.5
2015-07-01   888.7
2015-08-01   910.7
2015-09-01   878.2
2015-10-01   884.2
2015-11-01   899.6
2015-12-01   896.6
2016-01-01   917.1
2016-02-01   912.9
2016-03-01   912.0
2016-04-01   908.8
2016-05-01   932.2
2016-06-01   929.5
2016-07-01   924.4
2016-08-01   939.8
2016-09-01   957.9
2016-10-01   973.5
2016-11-01   973.0
2016-12-01   953.2
2017-01-01   961.3
2017-02-01   964.6
2017-03-01   976.8
2017-04-01   981.8
2017-05-01   975.7
2017-06-01   970.4
2017-07-01   991.2
2017-08-01   989.3
2017-09-01   981.3
2017-10-01   991.0
2017-11-01   971.3
2017-12-01   995.2
2018-01-01   988.8
2018-02-01  1007.0
2018-03-01  1004.9
2018-04-01  1025.0
2018-05-01  1014.9
2018-06-01  1011.6
2018-07-01  1029.0
2018-08-01  1030.2
2018-09-01  1039.8
2018-10-01  1045.9
