Title:               All Employees: Goods Producing in Charlotte-Concord-Gastonia, NC-SC (MSA)
Series ID:           SMU37167400600000001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               

DATE        VALUE
1990-01-01  208.4
1990-02-01  209.3
1990-03-01  210.1
1990-04-01  210.1
1990-05-01  210.7
1990-06-01  211.7
1990-07-01  209.9
1990-08-01  208.9
1990-09-01  207.8
1990-10-01  206.7
1990-11-01  205.6
1990-12-01  203.2
1991-01-01  198.3
1991-02-01  197.7
1991-03-01  196.7
1991-04-01  196.9
1991-05-01  197.0
1991-06-01  197.6
1991-07-01  196.0
1991-08-01  196.9
1991-09-01  196.2
1991-10-01  195.0
1991-11-01  193.8
1991-12-01  192.8
1992-01-01  190.4
1992-02-01  189.8
1992-03-01  190.7
1992-04-01  191.9
1992-05-01  193.3
1992-06-01  194.4
1992-07-01  194.6
1992-08-01  195.5
1992-09-01  195.5
1992-10-01  195.9
1992-11-01  195.6
1992-12-01  196.5
1993-01-01  194.0
1993-02-01  195.3
1993-03-01  195.5
1993-04-01  197.1
1993-05-01  198.8
1993-06-01  200.7
1993-07-01  200.1
1993-08-01  200.4
1993-09-01  200.7
1993-10-01  200.9
1993-11-01  201.4
1993-12-01  201.2
1994-01-01  198.3
1994-02-01  199.8
1994-03-01  201.8
1994-04-01  202.8
1994-05-01  203.8
1994-06-01  205.9
1994-07-01  205.8
1994-08-01  206.6
1994-09-01  207.7
1994-10-01  207.1
1994-11-01  208.1
1994-12-01  208.0
1995-01-01  207.0
1995-02-01  207.7
1995-03-01  209.4
1995-04-01  209.8
1995-05-01  212.1
1995-06-01  213.5
1995-07-01  209.9
1995-08-01  211.0
1995-09-01  210.9
1995-10-01  210.2
1995-11-01  209.7
1995-12-01  209.1
1996-01-01  204.8
1996-02-01  207.6
1996-03-01  208.9
1996-04-01  209.4
1996-05-01  211.1
1996-06-01  211.9
1996-07-01  209.6
1996-08-01  211.1
1996-09-01  210.6
1996-10-01  211.0
1996-11-01  211.0
1996-12-01  210.9
1997-01-01  206.4
1997-02-01  207.6
1997-03-01  209.2
1997-04-01  209.6
1997-05-01  210.4
1997-06-01  211.3
1997-07-01  210.8
1997-08-01  211.9
1997-09-01  213.1
1997-10-01  211.7
1997-11-01  211.7
1997-12-01  212.2
1998-01-01  211.1
1998-02-01  211.4
1998-03-01  212.3
1998-04-01  213.4
1998-05-01  214.4
1998-06-01  215.4
1998-07-01  214.5
1998-08-01  216.1
1998-09-01  215.2
1998-10-01  215.1
1998-11-01  215.1
1998-12-01  215.1
1999-01-01  213.4
1999-02-01  214.4
1999-03-01  214.6
1999-04-01  215.0
1999-05-01  215.1
1999-06-01  216.8
1999-07-01  216.7
1999-08-01  217.0
1999-09-01  216.9
1999-10-01  216.9
1999-11-01  215.9
1999-12-01  216.5
2000-01-01  214.3
2000-02-01  214.2
2000-03-01  215.9
2000-04-01  217.7
2000-05-01  218.7
2000-06-01  220.5
2000-07-01  217.9
2000-08-01  214.9
2000-09-01  217.7
2000-10-01  213.5
2000-11-01  213.9
2000-12-01  213.3
2001-01-01  208.9
2001-02-01  208.8
2001-03-01  207.6
2001-04-01  208.7
2001-05-01  208.4
2001-06-01  208.5
2001-07-01  206.0
2001-08-01  205.8
2001-09-01  205.4
2001-10-01  202.9
2001-11-01  200.8
2001-12-01  200.1
2002-01-01  197.7
2002-02-01  199.1
2002-03-01  199.7
2002-04-01  199.2
2002-05-01  199.4
2002-06-01  200.5
2002-07-01  199.2
2002-08-01  199.9
2002-09-01  198.7
2002-10-01  197.2
2002-11-01  195.8
2002-12-01  193.7
2003-01-01  192.1
2003-02-01  191.3
2003-03-01  192.1
2003-04-01  190.3
2003-05-01  190.6
2003-06-01  189.9
2003-07-01  185.4
2003-08-01  184.6
2003-09-01  184.2
2003-10-01  183.4
2003-11-01  183.0
2003-12-01  182.3
2004-01-01  179.3
2004-02-01  179.4
2004-03-01  181.1
2004-04-01  182.0
2004-05-01  183.9
2004-06-01  185.5
2004-07-01  185.7
2004-08-01  186.4
2004-09-01  185.4
2004-10-01  185.8
2004-11-01  185.0
2004-12-01  184.4
2005-01-01  182.7
2005-02-01  183.7
2005-03-01  184.5
2005-04-01  184.5
2005-05-01  185.7
2005-06-01  187.1
2005-07-01  187.5
2005-08-01  187.3
2005-09-01  187.4
2005-10-01  186.5
2005-11-01  186.6
2005-12-01  186.4
2006-01-01  185.0
2006-02-01  185.3
2006-03-01  187.2
2006-04-01  189.0
2006-05-01  189.6
2006-06-01  190.3
2006-07-01  190.7
2006-08-01  191.4
2006-09-01  190.7
2006-10-01  190.7
2006-11-01  190.3
2006-12-01  190.9
2007-01-01  188.5
2007-02-01  188.8
2007-03-01  189.4
2007-04-01  186.5
2007-05-01  186.4
2007-06-01  189.4
2007-07-01  187.8
2007-08-01  188.5
2007-09-01  188.0
2007-10-01  186.9
2007-11-01  186.9
2007-12-01  186.3
2008-01-01  181.1
2008-02-01  181.5
2008-03-01  181.3
2008-04-01  179.4
2008-05-01  179.3
2008-06-01  178.9
2008-07-01  177.2
2008-08-01  176.3
2008-09-01  175.2
2008-10-01  172.0
2008-11-01  168.7
2008-12-01  165.4
2009-01-01  155.0
2009-02-01  154.2
2009-03-01  151.9
2009-04-01  148.0
2009-05-01  147.0
2009-06-01  145.9
2009-07-01  144.9
2009-08-01  143.6
2009-09-01  142.8
2009-10-01  141.3
2009-11-01  140.7
2009-12-01  140.4
2010-01-01  136.1
2010-02-01  135.8
2010-03-01  136.4
2010-04-01  137.3
2010-05-01  137.5
2010-06-01  138.1
2010-07-01  138.2
2010-08-01  137.8
2010-09-01  137.2
2010-10-01  137.0
2010-11-01  137.2
2010-12-01  136.7
2011-01-01  132.5
2011-02-01  134.5
2011-03-01  135.3
2011-04-01  136.6
2011-05-01  137.4
2011-06-01  138.5
2011-07-01  139.9
2011-08-01  140.3
2011-09-01  140.7
2011-10-01  140.4
2011-11-01  140.7
2011-12-01  140.6
2012-01-01  140.4
2012-02-01  141.3
2012-03-01  142.8
2012-04-01  143.3
2012-05-01  144.5
2012-06-01  145.6
2012-07-01  145.6
2012-08-01  145.6
2012-09-01  145.3
2012-10-01  144.1
2012-11-01  145.6
2012-12-01  146.1
2013-01-01  144.6
2013-02-01  145.8
2013-03-01  147.3
2013-04-01  146.9
2013-05-01  147.1
2013-06-01  148.4
2013-07-01  148.6
2013-08-01  148.7
2013-09-01  148.4
2013-10-01  148.3
2013-11-01  148.7
2013-12-01  148.9
2014-01-01  147.3
2014-02-01  147.4
2014-03-01  149.4
2014-04-01  150.1
2014-05-01  151.7
2014-06-01  152.9
2014-07-01  153.4
2014-08-01  154.0
2014-09-01  154.2
2014-10-01  155.0
2014-11-01  155.8
2014-12-01  156.6
2015-01-01  155.4
2015-02-01  156.3
2015-03-01  157.0
2015-04-01  158.3
2015-05-01  159.8
2015-06-01  161.4
2015-07-01  162.2
2015-08-01  162.7
2015-09-01  163.1
2015-10-01  163.2
2015-11-01  163.6
2015-12-01  164.1
2016-01-01  163.6
2016-02-01  164.6
2016-03-01  165.3
2016-04-01  166.3
2016-05-01  165.4
2016-06-01  165.6
2016-07-01  166.5
2016-08-01  166.0
2016-09-01  165.8
2016-10-01  165.5
2016-11-01  165.6
2016-12-01  166.1
2017-01-01  163.6
2017-02-01  164.6
2017-03-01  165.1
2017-04-01  166.7
2017-05-01  167.7
2017-06-01  169.5
2017-07-01  170.0
2017-08-01  170.0
2017-09-01  169.5
2017-10-01  170.5
2017-11-01  169.8
2017-12-01  168.8
2018-01-01  166.9
2018-02-01  166.8
2018-03-01  167.5
2018-04-01  168.6
2018-05-01  168.8
2018-06-01  169.6
2018-07-01  169.0
2018-08-01  169.3
2018-09-01  171.3
2018-10-01  170.0
