Title:               All Employees: Total Private in Charlotte-Concord-Gastonia, NC-SC (MSA)
Series ID:           SMU37167400500000001SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE         VALUE
1990-01-01   606.9
1990-02-01   611.8
1990-03-01   612.5
1990-04-01   610.1
1990-05-01   609.4
1990-06-01   610.0
1990-07-01   604.8
1990-08-01   603.9
1990-09-01   604.3
1990-10-01   599.9
1990-11-01   599.9
1990-12-01   597.9
1991-01-01   596.7
1991-02-01   594.9
1991-03-01   593.4
1991-04-01   593.0
1991-05-01   593.4
1991-06-01   592.2
1991-07-01   593.3
1991-08-01   596.3
1991-09-01   595.7
1991-10-01   594.6
1991-11-01   594.0
1991-12-01   593.4
1992-01-01   596.4
1992-02-01   596.1
1992-03-01   597.7
1992-04-01   599.0
1992-05-01   599.7
1992-06-01   600.6
1992-07-01   604.6
1992-08-01   605.0
1992-09-01   606.5
1992-10-01   611.0
1992-11-01   612.4
1992-12-01   615.3
1993-01-01   616.6
1993-02-01   618.5
1993-03-01   618.9
1993-04-01   623.6
1993-05-01   625.3
1993-06-01   628.8
1993-07-01   630.3
1993-08-01   632.6
1993-09-01   633.9
1993-10-01   641.2
1993-11-01   644.2
1993-12-01   647.6
1994-01-01   647.9
1994-02-01   650.5
1994-03-01   653.6
1994-04-01   655.9
1994-05-01   654.4
1994-06-01   658.7
1994-07-01   662.1
1994-08-01   665.3
1994-09-01   668.5
1994-10-01   667.3
1994-11-01   669.7
1994-12-01   671.9
1995-01-01   677.8
1995-02-01   678.7
1995-03-01   679.8
1995-04-01   681.1
1995-05-01   686.0
1995-06-01   688.7
1995-07-01   682.7
1995-08-01   685.7
1995-09-01   686.8
1995-10-01   689.1
1995-11-01   691.1
1995-12-01   692.2
1996-01-01   692.9
1996-02-01   697.4
1996-03-01   699.8
1996-04-01   699.8
1996-05-01   702.1
1996-06-01   705.2
1996-07-01   705.7
1996-08-01   708.8
1996-09-01   709.6
1996-10-01   715.3
1996-11-01   719.3
1996-12-01   722.3
1997-01-01   720.7
1997-02-01   722.5
1997-03-01   725.8
1997-04-01   726.4
1997-05-01   728.8
1997-06-01   729.5
1997-07-01   728.4
1997-08-01   731.4
1997-09-01   736.4
1997-10-01   734.4
1997-11-01   738.3
1997-12-01   741.4
1998-01-01   748.3
1998-02-01   749.9
1998-03-01   750.4
1998-04-01   758.6
1998-05-01   762.3
1998-06-01   766.2
1998-07-01   772.4
1998-08-01   775.0
1998-09-01   775.8
1998-10-01   772.6
1998-11-01   775.2
1998-12-01   776.5
1999-01-01   783.9
1999-02-01   789.8
1999-03-01   788.8
