Title:               All Employees: Private Service Providing in Charlotte-Concord-Gastonia, NC-SC (MSA)
Series ID:           SMU37167400800000001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE        VALUE
1990-01-01  387.8
1990-02-01  391.7
1990-03-01  396.4
1990-04-01  396.9
1990-05-01  399.4
1990-06-01  401.6
1990-07-01  397.5
1990-08-01  399.6
1990-09-01  401.2
1990-10-01  398.4
1990-11-01  398.4
1990-12-01  399.6
1991-01-01  387.8
1991-02-01  386.7
1991-03-01  391.0
1991-04-01  393.2
1991-05-01  397.2
1991-06-01  397.9
1991-07-01  399.8
1991-08-01  403.9
1991-09-01  404.1
1991-10-01  404.5
1991-11-01  404.1
1991-12-01  405.4
1992-01-01  395.3
1992-02-01  396.1
1992-03-01  401.4
1992-04-01  404.5
1992-05-01  407.5
1992-06-01  409.8
1992-07-01  412.6
1992-08-01  413.7
1992-09-01  415.5
1992-10-01  419.6
1992-11-01  420.5
1992-12-01  423.6
1993-01-01  411.3
1993-02-01  413.0
1993-03-01  418.0
1993-04-01  424.1
1993-05-01  428.0
1993-06-01  432.2
1993-07-01  432.9
1993-08-01  436.2
1993-09-01  437.5
1993-10-01  444.2
1993-11-01  446.2
1993-12-01  451.4
1994-01-01  437.5
1994-02-01  440.6
1994-03-01  446.7
1994-04-01  450.9
1994-05-01  452.9
1994-06-01  457.8
1994-07-01  459.0
1994-08-01  462.6
1994-09-01  465.0
1994-10-01  463.1
1994-11-01  464.6
1994-12-01  468.9
1995-01-01  457.9
1995-02-01  461.1
1995-03-01  465.9
1995-04-01  469.4
1995-05-01  476.8
1995-06-01  481.0
1995-07-01  475.4
1995-08-01  478.6
1995-09-01  480.0
1995-10-01  480.7
1995-11-01  483.8
1995-12-01  487.8
1996-01-01  475.2
1996-02-01  480.2
1996-03-01  486.9
1996-04-01  488.7
1996-05-01  494.4
1996-06-01  499.5
1996-07-01  498.8
1996-08-01  501.7
1996-09-01  503.0
1996-10-01  505.3
1996-11-01  510.1
1996-12-01  515.6
1997-01-01  501.5
1997-02-01  505.3
1997-03-01  512.8
1997-04-01  515.5
1997-05-01  521.9
1997-06-01  524.7
1997-07-01  520.5
1997-08-01  523.8
1997-09-01  527.1
1997-10-01  523.3
1997-11-01  527.9
1997-12-01  533.0
1998-01-01  524.6
1998-02-01  528.8
1998-03-01  534.4
1998-04-01  544.3
1998-05-01  551.4
1998-06-01  557.5
1998-07-01  560.9
1998-08-01  563.6
1998-09-01  564.3
1998-10-01  558.4
1998-11-01  561.2
1998-12-01  564.8
1999-01-01  557.9
1999-02-01  565.3
1999-03-01  570.2
1999-04-01  573.0
1999-05-01  577.0
1999-06-01  580.3
1999-07-01  582.8
1999-08-01  585.9
1999-09-01  587.8
1999-10-01  591.6
1999-11-01  593.4
1999-12-01  598.5
2000-01-01  587.1
2000-02-01  589.3
2000-03-01  596.3
2000-04-01  601.7
2000-05-01  605.8
2000-06-01  611.6
2000-07-01  607.6
2000-08-01  609.4
2000-09-01  607.7
2000-10-01  612.2
2000-11-01  612.2
2000-12-01  613.3
2001-01-01  600.7
2001-02-01  602.7
2001-03-01  606.8
2001-04-01  608.8
2001-05-01  609.4
2001-06-01  612.0
2001-07-01  606.7
2001-08-01  609.2
2001-09-01  605.1
2001-10-01  606.6
2001-11-01  605.4
2001-12-01  604.5
2002-01-01  590.3
2002-02-01  593.5
2002-03-01  599.3
2002-04-01  602.2
2002-05-01  605.0
2002-06-01  609.3
2002-07-01  607.0
2002-08-01  610.7
2002-09-01  609.7
2002-10-01  608.7
2002-11-01  609.8
2002-12-01  611.4
2003-01-01  596.8
2003-02-01  597.9
2003-03-01  603.5
2003-04-01  608.1
2003-05-01  614.1
2003-06-01  615.6
2003-07-01  609.9
2003-08-01  613.9
2003-09-01  613.6
2003-10-01  615.2
2003-11-01  617.8
2003-12-01  619.9
2004-01-01  605.0
2004-02-01  606.0
2004-03-01  612.2
2004-04-01  614.2
2004-05-01  620.1
2004-06-01  623.2
2004-07-01  624.1
2004-08-01  628.4
2004-09-01  625.7
2004-10-01  630.3
2004-11-01  632.5
2004-12-01  634.0
2005-01-01  618.7
2005-02-01  621.4
2005-03-01  627.2
2005-04-01  633.1
2005-05-01  637.5
2005-06-01  638.3
2005-07-01  642.2
2005-08-01  644.8
2005-09-01  644.8
2005-10-01  652.5
2005-11-01  654.4
2005-12-01  655.5
2006-01-01  647.8
2006-02-01  650.4
2006-03-01  657.4
2006-04-01  666.1
2006-05-01  672.5
2006-06-01  675.5
2006-07-01  678.1
2006-08-01  681.7
2006-09-01  681.5
2006-10-01  688.7
2006-11-01  694.4
2006-12-01  694.8
2007-01-01  680.0
2007-02-01  684.1
2007-03-01  694.0
2007-04-01  698.5
2007-05-01  706.1
2007-06-01  709.8
2007-07-01  707.8
2007-08-01  710.3
2007-09-01  709.2
2007-10-01  716.0
2007-11-01  718.4
2007-12-01  720.5
2008-01-01  698.6
2008-02-01  703.1
2008-03-01  708.7
2008-04-01  707.6
2008-05-01  712.5
2008-06-01  713.6
2008-07-01  708.9
2008-08-01  710.4
2008-09-01  706.4
2008-10-01  706.5
2008-11-01  701.7
2008-12-01  701.3
2009-01-01  676.5
2009-02-01  674.7
2009-03-01  674.6
2009-04-01  670.9
2009-05-01  674.3
2009-06-01  672.6
2009-07-01  670.1
2009-08-01  669.9
2009-09-01  666.9
2009-10-01  667.2
2009-11-01  668.1
2009-12-01  668.1
2010-01-01  653.0
2010-02-01  654.7
2010-03-01  662.5
2010-04-01  668.4
2010-05-01  674.4
2010-06-01  677.5
2010-07-01  677.6
2010-08-01  680.6
2010-09-01  681.0
2010-10-01  686.8
2010-11-01  689.7
2010-12-01  690.9
2011-01-01  676.2
2011-02-01  683.2
2011-03-01  689.8
2011-04-01  693.7
2011-05-01  696.6
2011-06-01  700.5
2011-07-01  699.0
2011-08-01  701.6
2011-09-01  702.6
2011-10-01  704.2
2011-11-01  708.0
2011-12-01  709.3
2012-01-01  696.4
2012-02-01  699.4
2012-03-01  707.6
2012-04-01  710.0
2012-05-01  717.3
2012-06-01  720.8
2012-07-01  719.4
2012-08-01  720.9
2012-09-01  720.3
2012-10-01  725.5
2012-11-01  728.9
2012-12-01  730.2
2013-01-01  712.4
2013-02-01  717.0
2013-03-01  722.6
2013-04-01  728.2
2013-05-01  734.8
2013-06-01  739.7
2013-07-01  739.0
2013-08-01  742.3
2013-09-01  740.8
2013-10-01  746.7
2013-11-01  752.6
2013-12-01  756.4
2014-01-01  743.4
2014-02-01  741.7
2014-03-01  752.6
2014-04-01  759.4
2014-05-01  767.0
2014-06-01  771.7
2014-07-01  771.3
2014-08-01  773.7
2014-09-01  773.1
2014-10-01  780.4
2014-11-01  784.5
2014-12-01  789.3
2015-01-01  773.3
2015-02-01  778.5
2015-03-01  783.0
2015-04-01  788.4
2015-05-01  799.4
2015-06-01  805.1
2015-07-01  805.9
2015-08-01  805.9
2015-09-01  804.1
2015-10-01  813.8
2015-11-01  818.7
2015-12-01  824.3
2016-01-01  807.6
2016-02-01  810.3
2016-03-01  817.7
2016-04-01  826.5
2016-05-01  832.0
2016-06-01  835.9
2016-07-01  839.1
2016-08-01  840.7
2016-09-01  839.2
2016-10-01  845.7
2016-11-01  849.9
2016-12-01  851.7
2017-01-01  836.7
2017-02-01  840.1
2017-03-01  847.1
2017-04-01  850.0
2017-05-01  859.2
2017-06-01  865.4
2017-07-01  864.8
2017-08-01  868.6
2017-09-01  861.8
2017-10-01  870.2
2017-11-01  872.0
2017-12-01  879.2
2018-01-01  857.4
2018-02-01  861.1
2018-03-01  869.9
2018-04-01  872.1
2018-05-01  882.6
2018-06-01  889.8
2018-07-01  891.7
2018-08-01  894.0
2018-09-01  884.3
2018-10-01  896.6
