Title:               All Employees: Total Private in Charlotte-Concord-Gastonia, NC-SC (MSA)
Series ID:           SMU37167400500000001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               

DATE         VALUE
1990-01-01   596.2
1990-02-01   601.0
1990-03-01   606.5
1990-04-01   607.0
1990-05-01   610.1
1990-06-01   613.3
1990-07-01   607.4
1990-08-01   608.5
1990-09-01   609.0
1990-10-01   605.1
1990-11-01   604.0
1990-12-01   602.8
1991-01-01   586.1
1991-02-01   584.4
1991-03-01   587.7
1991-04-01   590.1
1991-05-01   594.2
1991-06-01   595.5
1991-07-01   595.8
1991-08-01   600.8
1991-09-01   600.3
1991-10-01   599.5
1991-11-01   597.9
1991-12-01   598.2
1992-01-01   585.7
1992-02-01   585.9
1992-03-01   592.1
1992-04-01   596.4
1992-05-01   600.8
1992-06-01   604.2
1992-07-01   607.2
1992-08-01   609.2
1992-09-01   611.0
1992-10-01   615.5
1992-11-01   616.1
1992-12-01   620.1
1993-01-01   605.3
1993-02-01   608.3
1993-03-01   613.5
1993-04-01   621.2
1993-05-01   626.8
1993-06-01   632.9
1993-07-01   633.0
1993-08-01   636.6
1993-09-01   638.2
1993-10-01   645.1
1993-11-01   647.6
1993-12-01   652.6
1994-01-01   635.8
1994-02-01   640.4
1994-03-01   648.5
1994-04-01   653.7
1994-05-01   656.7
1994-06-01   663.7
1994-07-01   664.8
1994-08-01   669.2
1994-09-01   672.7
1994-10-01   670.2
1994-11-01   672.7
1994-12-01   676.9
1995-01-01   664.9
1995-02-01   668.8
1995-03-01   675.3
1995-04-01   679.2
1995-05-01   688.9
1995-06-01   694.5
1995-07-01   685.3
1995-08-01   689.6
1995-09-01   690.9
1995-10-01   690.9
1995-11-01   693.5
1995-12-01   696.9
1996-01-01   680.0
1996-02-01   687.8
1996-03-01   695.8
1996-04-01   698.1
1996-05-01   705.5
1996-06-01   711.4
1996-07-01   708.4
1996-08-01   712.8
1996-09-01   713.6
1996-10-01   716.3
1996-11-01   721.1
1996-12-01   726.5
1997-01-01   707.9
1997-02-01   712.9
1997-03-01   722.0
1997-04-01   725.1
1997-05-01   732.3
1997-06-01   736.0
1997-07-01   731.3
1997-08-01   735.7
1997-09-01   740.2
1997-10-01   735.0
1997-11-01   739.6
1997-12-01   745.2
1998-01-01   735.7
1998-02-01   740.2
1998-03-01   746.7
1998-04-01   757.7
1998-05-01   765.8
1998-06-01   772.9
1998-07-01   775.4
1998-08-01   779.7
1998-09-01   779.5
1998-10-01   773.5
1998-11-01   776.3
1998-12-01   779.9
1999-01-01   771.3
1999-02-01   779.7
1999-03-01   784.8
1999-04-01   788.0
1999-05-01   792.1
1999-06-01   797.1
1999-07-01   799.5
1999-08-01   802.9
1999-09-01   804.7
1999-10-01   808.5
1999-11-01   809.3
1999-12-01   815.0
2000-01-01   801.4
2000-02-01   803.5
2000-03-01   812.2
2000-04-01   819.4
2000-05-01   824.5
2000-06-01   832.1
2000-07-01   825.5
2000-08-01   824.3
2000-09-01   825.4
2000-10-01   825.7
2000-11-01   826.1
2000-12-01   826.6
2001-01-01   809.6
2001-02-01   811.5
2001-03-01   814.4
2001-04-01   817.5
2001-05-01   817.8
2001-06-01   820.5
2001-07-01   812.7
2001-08-01   815.0
2001-09-01   810.5
2001-10-01   809.5
2001-11-01   806.2
2001-12-01   804.6
2002-01-01   788.0
2002-02-01   792.6
2002-03-01   799.0
2002-04-01   801.4
2002-05-01   804.4
2002-06-01   809.8
2002-07-01   806.2
2002-08-01   810.6
2002-09-01   808.4
2002-10-01   805.9
2002-11-01   805.6
2002-12-01   805.1
2003-01-01   788.9
2003-02-01   789.2
2003-03-01   795.6
2003-04-01   798.4
2003-05-01   804.7
2003-06-01   805.5
2003-07-01   795.3
2003-08-01   798.5
2003-09-01   797.8
2003-10-01   798.6
2003-11-01   800.8
2003-12-01   802.2
2004-01-01   784.3
2004-02-01   785.4
2004-03-01   793.3
2004-04-01   796.2
2004-05-01   804.0
2004-06-01   808.7
