Title:               All Employees: Service-Providing in Charlotte-Concord-Gastonia, NC-SC (MSA)
Series ID:           SMU37167400700000001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE         VALUE
1990-01-01   465.9
1990-02-01   470.9
1990-03-01   476.4
1990-04-01   477.7
1990-05-01   480.7
1990-06-01   482.9
1990-07-01   469.3
1990-08-01   473.2
1990-09-01   480.7
1990-10-01   480.8
1990-11-01   481.4
1990-12-01   482.7
1991-01-01   469.6
1991-02-01   469.1
1991-03-01   474.0
1991-04-01   475.9
1991-05-01   479.7
1991-06-01   479.9
1991-07-01   474.0
1991-08-01   478.9
1991-09-01   485.2
1991-10-01   488.4
1991-11-01   488.3
1991-12-01   489.9
1992-01-01   478.6
1992-02-01   480.7
1992-03-01   486.6
1992-04-01   489.8
1992-05-01   493.2
1992-06-01   494.1
1992-07-01   489.0
1992-08-01   492.8
1992-09-01   498.0
1992-10-01   505.9
1992-11-01   508.2
1992-12-01   511.1
1993-01-01   497.0
1993-02-01   499.2
1993-03-01   505.2
1993-04-01   511.0
1993-05-01   515.3
1993-06-01   519.1
1993-07-01   511.8
1993-08-01   515.7
1993-09-01   523.2
1993-10-01   532.2
1993-11-01   536.0
1993-12-01   541.5
1994-01-01   525.9
1994-02-01   529.8
1994-03-01   536.2
1994-04-01   540.1
1994-05-01   542.2
1994-06-01   547.5
1994-07-01   539.9
1994-08-01   544.9
1994-09-01   552.9
1994-10-01   553.6
1994-11-01   556.0
1994-12-01   561.9
1995-01-01   548.4
1995-02-01   551.9
1995-03-01   558.1
1995-04-01   562.1
1995-05-01   569.2
1995-06-01   572.4
1995-07-01   557.8
1995-08-01   562.4
1995-09-01   572.9
1995-10-01   574.8
1995-11-01   580.1
1995-12-01   585.2
1996-01-01   570.1
1996-02-01   576.5
1996-03-01   583.9
1996-04-01   585.7
1996-05-01   591.5
1996-06-01   595.6
1996-07-01   581.6
1996-08-01   588.2
1996-09-01   599.5
1996-10-01   602.9
1996-11-01   609.5
1996-12-01   615.5
1997-01-01   600.7
1997-02-01   605.3
1997-03-01   613.4
1997-04-01   615.4
1997-05-01   622.1
1997-06-01   624.1
1997-07-01   609.3
1997-08-01   618.3
1997-09-01   627.2
1997-10-01   625.4
1997-11-01   630.5
1997-12-01   636.4
1998-01-01   626.7
1998-02-01   632.2
1998-03-01   637.8
1998-04-01   647.9
1998-05-01   654.9
1998-06-01   659.6
1998-07-01   653.6
1998-08-01   661.5
1998-09-01   668.5
1998-10-01   665.4
1998-11-01   667.9
1998-12-01   672.1
1999-01-01   663.9
1999-02-01   672.7
1999-03-01   677.6
1999-04-01   680.1
1999-05-01   683.7
1999-06-01   683.8
1999-07-01   679.4
1999-08-01   689.6
1999-09-01   696.9
1999-10-01   700.9
1999-11-01   703.3
1999-12-01   709.0
2000-01-01   696.6
2000-02-01   699.3
2000-03-01   707.9
2000-04-01   713.2
2000-05-01   717.5
2000-06-01   721.2
2000-07-01   705.6
2000-08-01   714.4
2000-09-01   717.8
2000-10-01   726.4
2000-11-01   725.9
2000-12-01   727.0
2001-01-01   712.6
2001-02-01   716.3
2001-03-01   720.7
2001-04-01   723.3
2001-05-01   724.0
2001-06-01   722.4
2001-07-01   706.8
2001-08-01   717.1
2001-09-01   719.0
2001-10-01   724.4
2001-11-01   725.1
2001-12-01   722.8
2002-01-01   706.5
2002-02-01   711.4
2002-03-01   718.2
2002-04-01   720.1
2002-05-01   722.9
2002-06-01   723.6
2002-07-01   709.7
2002-08-01   720.7
2002-09-01   726.4
2002-10-01   729.8
2002-11-01   731.1
2002-12-01   731.1
2003-01-01   714.6
2003-02-01   716.8
2003-03-01   723.3
2003-04-01   728.0
2003-05-01   734.5
2003-06-01   731.0
2003-07-01   706.7
2003-08-01   721.6
2003-09-01   732.4
2003-10-01   739.9
2003-11-01   742.0
2003-12-01   742.8
2004-01-01   725.5
2004-02-01   727.5
2004-03-01   734.1
2004-04-01   736.4
2004-05-01   742.5
2004-06-01   740.5
2004-07-01   721.8
2004-08-01   738.0
2004-09-01   748.3
2004-10-01   756.0
2004-11-01   758.9
2004-12-01   759.3
2005-01-01   741.8
2005-02-01   745.6
2005-03-01   752.0
2005-04-01   758.7
2005-05-01   763.0
2005-06-01   758.5
2005-07-01   741.8
2005-08-01   760.5
2005-09-01   770.7
2005-10-01   781.2
2005-11-01   783.3
2005-12-01   784.0
2006-01-01   775.1
2006-02-01   778.4
2006-03-01   786.1
2006-04-01   795.0
2006-05-01   801.6
2006-06-01   795.2
2006-07-01   778.7
2006-08-01   800.3
2006-09-01   811.1
2006-10-01   820.1
2006-11-01   827.8
2006-12-01   828.4
2007-01-01   812.0
2007-02-01   817.7
2007-03-01   828.1
2007-04-01   831.5
2007-05-01   840.1
2007-06-01   833.6
2007-07-01   812.7
2007-08-01   836.5
2007-09-01   843.4
2007-10-01   852.7
2007-11-01   856.7
2007-12-01   859.1
2008-01-01   836.3
2008-02-01   842.3
2008-03-01   848.6
2008-04-01   847.5
2008-05-01   853.0
2008-06-01   846.1
2008-07-01   821.2
2008-08-01   843.9
2008-09-01   849.5
2008-10-01   849.4
2008-11-01   846.1
2008-12-01   846.3
2009-01-01   819.4
2009-02-01   818.3
2009-03-01   818.9
2009-04-01   815.6
2009-05-01   818.5
2009-06-01   810.7
2009-07-01   786.1
2009-08-01   807.5
2009-09-01   809.4
2009-10-01   810.3
2009-11-01   812.1
2009-12-01   812.1
2010-01-01   797.7
2010-02-01   800.7
2010-03-01   809.7
2010-04-01   816.0
2010-05-01   825.9
2010-06-01   817.1
2010-07-01   794.5
2010-08-01   816.8
2010-09-01   820.8
2010-10-01   832.5
2010-11-01   836.1
2010-12-01   837.5
2011-01-01   819.6
2011-02-01   827.8
2011-03-01   835.3
2011-04-01   839.8
2011-05-01   842.7
2011-06-01   837.3
2011-07-01   815.1
2011-08-01   839.3
2011-09-01   843.0
2011-10-01   848.8
2011-11-01   855.5
2011-12-01   856.4
2012-01-01   841.3
2012-02-01   845.6
2012-03-01   855.2
2012-04-01   858.2
2012-05-01   866.4
2012-06-01   854.5
2012-07-01   837.2
2012-08-01   858.5
2012-09-01   864.0
2012-10-01   875.5
2012-11-01   880.3
2012-12-01   881.2
2013-01-01   861.2
2013-02-01   866.8
2013-03-01   873.7
2013-04-01   879.4
2013-05-01   886.5
2013-06-01   876.1
2013-07-01   859.4
2013-08-01   879.7
2013-09-01   884.2
2013-10-01   898.4
2013-11-01   905.4
2013-12-01   908.8
2014-01-01   892.8
2014-02-01   891.6
2014-03-01   903.5
2014-04-01   911.6
2014-05-01   919.8
2014-06-01   912.4
2014-07-01   894.1
2014-08-01   912.4
2014-09-01   917.5
2014-10-01   932.9
2014-11-01   938.2
2014-12-01   942.5
2015-01-01   923.5
2015-02-01   929.9
2015-03-01   935.2
2015-04-01   941.1
2015-05-01   952.4
2015-06-01   950.2
2015-07-01   931.2
2015-08-01   946.4
2015-09-01   950.0
2015-10-01   967.0
2015-11-01   973.1
2015-12-01   979.1
2016-01-01   957.0
2016-02-01   961.1
2016-03-01   969.7
2016-04-01   978.5
2016-05-01   984.6
2016-06-01   982.4
2016-07-01   968.5
2016-08-01   982.5
2016-09-01   991.9
2016-10-01  1000.1
2016-11-01  1005.6
2016-12-01  1006.9
2017-01-01   989.7
2017-02-01   994.5
2017-03-01  1002.5
2017-04-01  1006.1
2017-05-01  1015.2
2017-06-01  1015.4
2017-07-01   997.0
2017-08-01  1013.2
2017-09-01  1017.0
2017-10-01  1033.1
2017-11-01  1036.0
2017-12-01  1042.5
2018-01-01  1018.7
2018-02-01  1023.8
2018-03-01  1033.5
2018-04-01  1036.5
2018-05-01  1046.9
2018-06-01  1047.6
2018-07-01  1030.7
2018-08-01  1046.4
2018-09-01  1047.7
2018-10-01  1062.4
