Title:               All Employees: Service-Providing in Charlotte-Concord-Gastonia, NC-SC (MSA)
Series ID:           SMU37167400700000001SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE         VALUE
1990-01-01   473.4
1990-02-01   477.7
1990-03-01   478.6
1990-04-01   478.7
1990-05-01   478.9
1990-06-01   478.5
1990-07-01   475.3
1990-08-01   476.0
1990-09-01   478.2
1990-10-01   475.2
1990-11-01   475.8
1990-12-01   476.2
1991-01-01   477.0
1991-02-01   476.0
1991-03-01   476.4
1991-04-01   476.7
1991-05-01   477.9
1991-06-01   475.7
1991-07-01   479.9
1991-08-01   482.0
1991-09-01   482.8
1991-10-01   482.8
1991-11-01   482.7
1991-12-01   483.1
1992-01-01   486.1
1992-02-01   487.6
1992-03-01   489.1
1992-04-01   490.2
1992-05-01   491.2
1992-06-01   490.0
1992-07-01   494.9
1992-08-01   496.2
1992-09-01   495.7
1992-10-01   500.6
1992-11-01   502.6
1992-12-01   503.7
1993-01-01   504.8
1993-02-01   506.1
1993-03-01   507.7
1993-04-01   511.0
1993-05-01   512.8
1993-06-01   514.9
1993-07-01   518.1
1993-08-01   519.5
1993-09-01   520.8
1993-10-01   527.6
1993-11-01   530.6
1993-12-01   533.6
1994-01-01   534.1
1994-02-01   536.3
1994-03-01   538.2
1994-04-01   539.9
1994-05-01   539.0
1994-06-01   542.8
1994-07-01   547.1
1994-08-01   549.1
1994-09-01   550.4
1994-10-01   550.2
1994-11-01   551.0
1994-12-01   553.8
1995-01-01   556.8
1995-02-01   558.0
1995-03-01   559.4
1995-04-01   561.9
1995-05-01   565.1
1995-06-01   566.8
1995-07-01   566.2
1995-08-01   566.7
1995-09-01   570.2
1995-10-01   572.5
1995-11-01   575.4
1995-12-01   577.3
