Title:               Average Hourly Earnings of All Employees: Total Private in Charlotte-Concord-Gastonia, NC-SC (MSA)
Series ID:           SMU37167400500000003
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Hour
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               

DATE        VALUE
2007-01-01  21.89
2007-02-01  22.23
2007-03-01  21.97
2007-04-01  22.42
2007-05-01  21.50
2007-06-01  21.81
2007-07-01  21.91
2007-08-01  21.19
2007-09-01  22.56
2007-10-01  21.89
2007-11-01  22.25
2007-12-01  22.32
2008-01-01  21.97
2008-02-01  21.55
2008-03-01  22.03
2008-04-01  22.66
2008-05-01  22.70
2008-06-01  23.71
2008-07-01  23.14
2008-08-01  23.30
2008-09-01  22.75
2008-10-01  22.94
2008-11-01  23.80
2008-12-01  23.62
2009-01-01  23.45
2009-02-01  23.44
2009-03-01  23.42
2009-04-01  22.89
2009-05-01  23.15
2009-06-01  23.44
2009-07-01  23.27
2009-08-01  23.73
2009-09-01  23.51
2009-10-01  23.42
2009-11-01  23.83
2009-12-01  23.39
2010-01-01  23.52
2010-02-01  23.67
2010-03-01  23.15
2010-04-01  23.39
2010-05-01  23.24
2010-06-01  23.11
2010-07-01  23.26
2010-08-01  23.18
2010-09-01  22.88
2010-10-01  22.84
2010-11-01  22.83
2010-12-01  23.15
2011-01-01  24.51
2011-02-01  24.11
2011-03-01  24.29
2011-04-01  24.31
2011-05-01  24.27
2011-06-01  23.89
2011-07-01  24.02
2011-08-01  24.11
2011-09-01  24.54
2011-10-01  24.85
2011-11-01  24.52
2011-12-01  24.68
2012-01-01  25.06
2012-02-01  24.87
2012-03-01  24.73
2012-04-01  25.11
2012-05-01  24.74
2012-06-01  24.82
2012-07-01  24.95
2012-08-01  24.82
2012-09-01  25.24
2012-10-01  24.79
2012-11-01  24.72
2012-12-01  24.81
2013-01-01  24.41
2013-02-01  24.43
2013-03-01  24.57
2013-04-01  24.05
2013-05-01  23.80
2013-06-01  24.12
2013-07-01  24.00
2013-08-01  23.94
2013-09-01  23.90
2013-10-01  23.83
2013-11-01  24.00
2013-12-01  24.11
2014-01-01  24.25
2014-02-01  25.03
2014-03-01  24.83
2014-04-01  24.51
2014-05-01  24.49
2014-06-01  24.78
2014-07-01  24.24
2014-08-01  24.33
2014-09-01  24.18
2014-10-01  24.18
2014-11-01  25.17
2014-12-01  24.70
2015-01-01  24.97
2015-02-01  25.40
2015-03-01  25.27
2015-04-01  25.22
2015-05-01  25.41
2015-06-01  25.20
2015-07-01  25.32
2015-08-01  25.76
2015-09-01  25.21
2015-10-01  25.36
2015-11-01  25.85
2015-12-01  25.76
2016-01-01  26.72
2016-02-01  26.65
2016-03-01  26.61
2016-04-01  26.22
2016-05-01  26.82
2016-06-01  26.41
2016-07-01  26.44
2016-08-01  27.00
2016-09-01  27.17
2016-10-01  27.57
2016-11-01  27.84
2016-12-01  27.18
2017-01-01  27.72
2017-02-01  27.84
2017-03-01  28.34
2017-04-01  28.15
2017-05-01  28.17
2017-06-01  27.44
2017-07-01  27.97
2017-08-01  28.33
2017-09-01  27.87
2017-10-01  28.26
2017-11-01  27.69
2017-12-01  27.80
2018-01-01  28.11
2018-02-01  28.39
2018-03-01  28.37
2018-04-01  28.39
2018-05-01  28.46
2018-06-01  27.90
2018-07-01  28.50
2018-08-01  28.68
2018-09-01  29.08
2018-10-01  29.71
