Title:               Civilian Labor Force in Fayetteville, NC (MSA)
Series ID:           FAYE137LF
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Smoothed Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 1:41 PM CST
Notes:               

DATE          VALUE
1990-01-01   113066
1990-02-01   113350
1990-03-01   113384
1990-04-01   113303
1990-05-01   113408
1990-06-01   113480
1990-07-01   113540
1990-08-01   113312
1990-09-01   112905
1990-10-01   112899
1990-11-01   113082
1990-12-01   113477
1991-01-01   114001
1991-02-01   114205
1991-03-01   114562
1991-04-01   115244
1991-05-01   115720
1991-06-01   116097
1991-07-01   119241
1991-08-01   119186
1991-09-01   118864
1991-10-01   118267
1991-11-01   118180
1991-12-01   118296
1992-01-01   118059
1992-02-01   117954
1992-03-01   118341
1992-04-01   118729
1992-05-01   119145
1992-06-01   119602
1992-07-01   119580
1992-08-01   119674
1992-09-01   120331
1992-10-01   121030
1992-11-01   121475
1992-12-01   121622
1993-01-01   121680
1993-02-01   121810
1993-03-01   121786
1993-04-01   121663
1993-05-01   121711
1993-06-01   121956
1993-07-01   122170
1993-08-01   122049
1993-09-01   121886
1993-10-01   122031
1993-11-01   122212
1993-12-01   122023
1994-01-01   121735
1994-02-01   121657
1994-03-01   121565
1994-04-01   121557
1994-05-01   121652
1994-06-01   121785
1994-07-01   122202
1994-08-01   122851
1994-09-01   123320
1994-10-01   123358
1994-11-01   123227
1994-12-01   123124
1995-01-01   123057
1995-02-01   123164
1995-03-01   123467
1995-04-01   123682
1995-05-01   123478
1995-06-01   123421
1995-07-01   123888
1995-08-01   124300
1995-09-01   124600
1995-10-01   124892
1995-11-01   124984
1995-12-01   125218
1996-01-01   125861
1996-02-01   126606
1996-03-01   127188
1996-04-01   127771
1996-05-01   128439
1996-06-01   128772
1996-07-01   128619
1996-08-01   128419
1996-09-01   128743
1996-10-01   129447
1996-11-01   129819
1996-12-01   130047
1997-01-01   130417
1997-02-01   130638
1997-03-01   130699
1997-04-01   130634
1997-05-01   130632
1997-06-01   130611
1997-07-01   130410
1997-08-01   130404
1997-09-01   130536
1997-10-01   130585
1997-11-01   130813
1997-12-01   131222
1998-01-01   131594
1998-02-01   131929
1998-03-01   132187
1998-04-01   132242
1998-05-01   132190
1998-06-01   132166
1998-07-01   132034
1998-08-01   132092
1998-09-01   132499
1998-10-01   132676
1998-11-01   132752
1998-12-01   133065
1999-01-01   133344
1999-02-01   133454
1999-03-01   133601
1999-04-01   133985
1999-05-01   134456
1999-06-01   134967
1999-07-01   135773
1999-08-01   136483
1999-09-01   136666
1999-10-01   136921
1999-11-01   137470
1999-12-01   137898
2000-01-01   133471
2000-02-01   133430
2000-03-01   133421
2000-04-01   133684
2000-05-01   134196
2000-06-01   134539
2000-07-01   134541
2000-08-01   134392
2000-09-01   134249
2000-10-01   134259
2000-11-01   134504
2000-12-01   134988
2001-01-01   135592
2001-02-01   135935
2001-03-01   135597
2001-04-01   134797
2001-05-01   134084
2001-06-01   133498
2001-07-01   133066
2001-08-01   133133
2001-09-01   133601
2001-10-01   134152
2001-11-01   134719
2001-12-01   134904
2002-01-01   134704
2002-02-01   134799
2002-03-01   135176
2002-04-01   135441
2002-05-01   135450
2002-06-01   135380
2002-07-01   135487
2002-08-01   135574
2002-09-01   135708
2002-10-01   136041
2002-11-01   136333
2002-12-01   136894
2003-01-01   137881
2003-02-01   138661
2003-03-01   138985
2003-04-01   139030
2003-05-01   139038
2003-06-01   138882
2003-07-01   138258
2003-08-01   137966
2003-09-01   138640
2003-10-01   139533
2003-11-01   139755
2003-12-01   139299
2004-01-01   138631
2004-02-01   138177
2004-03-01   138237
2004-04-01   138566
2004-05-01   138913
2004-06-01   139416
2004-07-01   139882
2004-08-01   140151
2004-09-01   140497
2004-10-01   141068
2004-11-01   141810
2004-12-01   142620
2005-01-01   143388
2005-02-01   143918
2005-03-01   144259
2005-04-01   144675
2005-05-01   145069
2005-06-01   145482
2005-07-01   146188
2005-08-01   147027
2005-09-01   147310
2005-10-01   146758
2005-11-01   146126
2005-12-01   145898
2006-01-01   146007
2006-02-01   146392
2006-03-01   146910
2006-04-01   147491
2006-05-01   148127
2006-06-01   148853
2006-07-01   149662
2006-08-01   150107
2006-09-01   149955
2006-10-01   149603
2006-11-01   149411
2006-12-01   149153
2007-01-01   148662
2007-02-01   148389
2007-03-01   148223
2007-04-01   148028
2007-05-01   148158
2007-06-01   148484
2007-07-01   148482
2007-08-01   148243
2007-09-01   148364
2007-10-01   148918
2007-11-01   149540
2007-12-01   150022
2008-01-01   150208
2008-02-01   150082
2008-03-01   150334
2008-04-01   151113
2008-05-01   151712
2008-06-01   152283
2008-07-01   153202
2008-08-01   153874
2008-09-01   154107
2008-10-01   154291
2008-11-01   156597
2008-12-01   156942
2009-01-01   157179
2009-02-01   157176
2009-03-01   157150
2009-04-01   157270
2009-05-01   157525
2009-06-01   157989
2009-07-01   158441
2009-08-01   158468
2009-09-01   158321
2009-10-01   158336
2009-11-01   158294
2009-12-01   158194
2010-01-01   147883
2010-02-01   148362
2010-03-01   149246
2010-04-01   150048
2010-05-01   150049
2010-06-01   149693
2010-07-01   149771
2010-08-01   150030
2010-09-01   150012
2010-10-01   150071
2010-11-01   150332
2010-12-01   150529
2011-01-01   150694
2011-02-01   150931
2011-03-01   151280
2011-04-01   151521
2011-05-01   151568
2011-06-01   151759
2011-07-01   152263
2011-08-01   152802
2011-09-01   152973
2011-10-01   152802
2011-11-01   152590
2011-12-01   152265
2012-01-01   151970
2012-02-01   152065
2012-03-01   152091
2012-04-01   152003
2012-05-01   152172
2012-06-01   152186
2012-07-01   151913
2012-08-01   151899
2012-09-01   152325
2012-10-01   152536
2012-11-01   152365
2012-12-01   152522
2013-01-01   152739
2013-02-01   152372
2013-03-01   151760
2013-04-01   151330
2013-05-01   151307
2013-06-01   151381
2013-07-01   150918
2013-08-01   150259
2013-09-01   149634
2013-10-01   148950
2013-11-01   148481
