Title:               New Patent Assignments in Wake County, NC
1991-12-01     5
1992-01-01    12
1992-02-01     5
1992-03-01     5
1992-04-01     3
1992-05-01     5
1992-06-01     3
1992-07-01     4
1992-08-01     5
1992-09-01     6
1992-10-01     4
1992-11-01     5
1992-12-01     6
1993-01-01     6
1993-02-01     2
1993-03-01    11
1993-04-01     3
1993-05-01     .
1993-06-01     1
1993-07-01     2
1993-08-01     4
1993-09-01     4
1993-10-01     2
1993-11-01     7
1993-12-01     7
1994-01-01     5
1994-02-01     1
1994-03-01     2
1994-04-01     4
1994-05-01     4
1994-06-01     3
1994-07-01     3
1994-08-01     4
1994-09-01     2
1994-10-01     3
1994-11-01     .
1994-12-01     6
1995-01-01     2
1995-02-01     1
1995-03-01     2
1995-04-01     4
1995-05-01     1
1995-06-01     2
1995-07-01     1
1995-08-01     1
1995-09-01     4
1995-10-01     5
1995-11-01     4
1995-12-01     4
1996-01-01     4
1996-02-01     3
1996-03-01     7
1996-04-01     8
1996-05-01     6
1996-06-01     5
1996-07-01     7
1996-08-01    10
1996-09-01     6
1996-10-01     6
1996-11-01     4
1996-12-01     7
1997-01-01     8
1997-02-01     5
1997-03-01     5
1997-04-01     8
1997-05-01     9
1997-06-01    11
1997-07-01    20
1997-08-01    35
1997-09-01    57
1997-10-01    44
1997-11-01    35
1997-12-01    42
1998-01-01    47
1998-02-01    72
1998-03-01    74
1998-04-01    69
1998-05-01    62
1998-06-01    51
1998-07-01    47
1998-08-01    47
1998-09-01    34
1998-10-01    58
1998-11-01    55
1998-12-01    72
1999-01-01    35
1999-02-01    58
1999-03-01    77
1999-04-01    51
1999-05-01    56
1999-06-01    43
1999-07-01    69
1999-08-01    92
1999-09-01    59
1999-10-01    64
1999-11-01    56
1999-12-01    41
2000-01-01    40
2000-02-01   115
2000-03-01    97
2000-04-01    41
2000-05-01    47
2000-06-01    58
2000-07-01    50
2000-08-01    84
2000-09-01    49
2000-10-01    93
2000-11-01    54
2000-12-01    74
2001-01-01    63
2001-02-01    44
2001-03-01    77
2001-04-01    70
2001-05-01    84
2001-06-01    57
2001-07-01    65
2001-08-01    72
2001-09-01    74
2001-10-01    79
2001-11-01    43
2001-12-01    46
2002-01-01   111
2002-02-01    79
2002-03-01   111
2002-04-01    70
2002-05-01    91
2002-06-01    93
2002-07-01   105
2002-08-01    78
2002-09-01   102
2002-10-01   107
2002-11-01    78
2002-12-01   119
2003-01-01    58
2003-02-01    73
2003-03-01    81
2003-04-01   108
2003-05-01    93
2003-06-01    92
2003-07-01   130
2003-08-01   137
2003-09-01    83
2003-10-01    93
2003-11-01   126
2003-12-01    96
2004-01-01    63
2004-02-01    89
2004-03-01   113
2004-04-01   122
2004-05-01    99
2004-06-01   126
2004-07-01   106
2004-08-01   112
2004-09-01   116
2004-10-01   106
2004-11-01   145
2004-12-01   133
2005-01-01   146
2005-02-01   171
2005-03-01   159
2005-04-01   144
2005-05-01   142
2005-06-01   151
2005-07-01   154
2005-08-01   219
2005-09-01   207
2005-10-01   188
2005-11-01   161
2005-12-01   221
2006-01-01   187
2006-02-01   187
2006-03-01   247
2006-04-01   195
2006-05-01   279
2006-06-01   180
2006-07-01   176
2006-08-01   229
2006-09-01   169
2006-10-01   197
2006-11-01   206
2006-12-01   193
2007-01-01   197
2007-02-01   169
2007-03-01   162
2007-04-01   175
2007-05-01   181
2007-06-01   231
2007-07-01   200
2007-08-01   211
2007-09-01   193
2007-10-01   163
2007-11-01   177
2007-12-01   183
2008-01-01   234
2008-02-01   237
2008-03-01   233
2008-04-01   193
2008-05-01   195
2008-06-01   220
2008-07-01   188
2008-08-01   191
2008-09-01   206
2008-10-01   183
2008-11-01   231
2008-12-01   202
2009-01-01   118
2009-02-01   173
2009-03-01   179
2009-04-01   128
2009-05-01   142
2009-06-01   134
2009-07-01   174
2009-08-01   169
2009-09-01   127
2009-10-01   188
2009-11-01   147
2009-12-01   158
2010-01-01   163
2010-02-01   175
2010-03-01   218
2010-04-01   165
2010-05-01   271
2010-06-01   247
2010-07-01   199
2010-08-01   181
2010-09-01   183
2010-10-01   196
2010-11-01   187
2010-12-01   239
2011-01-01   187
2011-02-01   193
2011-03-01   216
2011-04-01   194
2011-05-01   223
2011-06-01   168
2011-07-01   164
2011-08-01   295
2011-09-01   293
2011-10-01   292
2011-11-01   261
2011-12-01   204
2012-01-01   297
2012-02-01   267
2012-03-01   230
2012-04-01   226
2012-05-01   237
2012-06-01   214
2012-07-01   279
2012-08-01   247
2012-09-01   329
2012-10-01   229
2012-11-01   243
2012-12-01   237
2013-01-01   244
2013-02-01   241
2013-03-01   376
2013-04-01   355
2013-05-01   427
2013-06-01   236
2013-07-01   325
2013-08-01   235
2013-09-01   249
2013-10-01   326
2013-11-01   228
2013-12-01   200
2014-01-01   492
2014-02-01   352
2014-03-01   375
2014-04-01   373
2014-05-01   418
2014-06-01   343
2014-07-01   340
2014-08-01   274
2014-09-01   287
2014-10-01   363
2014-11-01   310
2014-12-01   328
2015-01-01   341
2015-02-01   271
2015-03-01   363
2015-04-01   296
2015-05-01   338
2015-06-01   362
2015-07-01   321
2015-08-01   372
2015-09-01   352
2015-10-01   355
2015-11-01   305
2015-12-01   364
2016-01-01   296
2016-02-01   344
2016-03-01   357
2016-04-01   352
2016-05-01   393
2016-06-01   436
2016-07-01   306
2016-08-01   385
2016-09-01   373
2016-10-01   290
2016-11-01   287
2016-12-01   291
2017-01-01   344
2017-02-01   320
2017-03-01   444
2017-04-01   311
2017-05-01   292
2017-06-01   338
2017-07-01   320
2017-08-01   348
2017-09-01   261
2017-10-01   157
2017-11-01    75
2017-12-01    69
2018-01-01    16
