Title:               New Patent Assignments in Orange County, NC
Series ID:           USPTOISSUED037135
Source:              U.S. Patent and Trademark Office
Release:             New Patent Assignments (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Patents
Date Range:          1982-10-01 to 2017-11-01
Last Updated:        2018-05-29 9:51 AM CDT
Notes:               

DATE       VALUE
1982-10-01     2
1982-11-01     .
1982-12-01     .
1983-01-01     .
1983-02-01     .
1983-03-01     .
1983-04-01     .
1983-05-01     .
1983-06-01     2
1983-07-01     .
1983-08-01     1
1983-09-01     .
1983-10-01     .
1983-11-01     .
1983-12-01     .
1984-01-01     .
1984-02-01     .
1984-03-01     .
1984-04-01     .
1984-05-01     .
1984-06-01     .
1984-07-01     .
1984-08-01     .
1984-09-01     .
1984-10-01     .
1984-11-01     .
1984-12-01     .
1985-01-01     1
1985-02-01     .
1985-03-01     .
1985-04-01     .
1985-05-01     .
1985-06-01     .
1985-07-01     .
1985-08-01     .
1985-09-01     .
1985-10-01     .
1985-11-01     .
1985-12-01     .
1986-01-01     .
1986-02-01     .
1986-03-01     .
1986-04-01     1
1986-05-01     .
1986-06-01     1
1986-07-01     .
1986-08-01     1
1986-09-01     1
1986-10-01     1
1986-11-01     2
1986-12-01     1
1987-01-01     .
1987-02-01     1
1987-03-01     1
1987-04-01     1
1987-05-01     2
1987-06-01     4
1987-07-01     1
1987-08-01     3
1987-09-01     .
1987-10-01     2
1987-11-01     .
1987-12-01     3
1988-01-01     3
1988-02-01     .
1988-03-01     1
1988-04-01     2
1988-05-01    10
1988-06-01     1
1988-07-01     .
1988-08-01     1
1988-09-01     1
1988-10-01     1
1988-11-01     1
1988-12-01     3
1989-01-01     .
1989-02-01    11
1989-03-01     2
1989-04-01     1
1989-05-01     1
1989-06-01     2
1989-07-01     1
1989-08-01     1
1989-09-01     1
1989-10-01     3
1989-11-01     3
1989-12-01     .
1990-01-01     2
1990-02-01     1
1990-03-01     2
1990-04-01     1
1990-05-01     2
1990-06-01     3
1990-07-01     2
1990-08-01     .
1990-09-01     2
1990-10-01     1
1990-11-01     2
1990-12-01     1
1991-01-01     3
1991-02-01     1
1991-03-01     2
1991-04-01     2
1991-05-01     .
1991-06-01     3
1991-07-01     3
1991-08-01     3
1991-09-01     1
1991-10-01     1
1991-11-01     2
1991-12-01     2
1992-01-01     1
1992-02-01     2
1992-03-01     3
1992-04-01     2
1992-05-01     1
1992-06-01     2
1992-07-01     2
1992-08-01     4
1992-09-01     2
1992-10-01     1
1992-11-01     3
1992-12-01     3
1993-01-01     3
1993-02-01     1
1993-03-01     .
1993-04-01     3
1993-05-01     1
1993-06-01     3
1993-07-01     3
1993-08-01     1
1993-09-01     5
1993-10-01     2
1993-11-01     1
1993-12-01     2
1994-01-01     6
1994-02-01     1
1994-03-01     3
1994-04-01     3
1994-05-01     4
1994-06-01     2
1994-07-01     4
1994-08-01     6
1994-09-01     1
1994-10-01     .
1994-11-01     2
1994-12-01     3
1995-01-01     4
1995-02-01     7
1995-03-01     2
1995-04-01     4
1995-05-01     4
1995-06-01     4
1995-07-01     6
1995-08-01     4
1995-09-01     6
1995-10-01     3
1995-11-01     .
1995-12-01     4
1996-01-01     2
1996-02-01     5
1996-03-01     4
1996-04-01     2
1996-05-01     6
1996-06-01     2
1996-07-01     4
1996-08-01     4
1996-09-01     6
1996-10-01     3
1996-11-01     4
1996-12-01    10
1997-01-01     3
1997-02-01    10
1997-03-01     8
1997-04-01     8
1997-05-01     6
1997-06-01    14
1997-07-01     5
1997-08-01     3
1997-09-01     7
1997-10-01     7
1997-11-01     4
1997-12-01     3
1998-01-01     7
1998-02-01     7
1998-03-01     6
1998-04-01    12
1998-05-01    10
1998-06-01    22
1998-07-01    23
1998-08-01    12
1998-09-01     9
1998-10-01    51
1998-11-01    24
1998-12-01    21
1999-01-01    10
1999-02-01     7
1999-03-01    10
1999-04-01     6
1999-05-01    13
1999-06-01    13
1999-07-01    18
1999-08-01    10
1999-09-01     7
1999-10-01     9
1999-11-01    18
1999-12-01    14
