Title:               New Patent Assignments in Orange County, NC
2000-01-01     7
2000-02-01    10
2000-03-01    15
2000-04-01    12
2000-05-01    16
2000-06-01    16
2000-07-01    17
2000-08-01    18
2000-09-01    27
2000-10-01    19
2000-11-01    12
2000-12-01    12
2001-01-01    39
2001-02-01    14
2001-03-01    16
2001-04-01    18
2001-05-01    25
2001-06-01    12
2001-07-01    20
2001-08-01    19
2001-09-01    15
2001-10-01     9
2001-11-01     5
2001-12-01     6
2002-01-01    29
2002-02-01    27
2002-03-01    28
2002-04-01    33
2002-05-01    22
2002-06-01    29
2002-07-01    45
2002-08-01    32
2002-09-01    28
2002-10-01    32
2002-11-01    26
2002-12-01    66
2003-01-01    46
2003-02-01    18
2003-03-01    24
2003-04-01    32
2003-05-01    24
2003-06-01    21
2003-07-01    34
2003-08-01    46
2003-09-01    38
2003-10-01    42
2003-11-01    12
2003-12-01    25
2004-01-01    17
2004-02-01    20
2004-03-01    33
2004-04-01    32
2004-05-01    26
2004-06-01    54
2004-07-01    36
2004-08-01    32
2004-09-01    23
2004-10-01    38
2004-11-01    16
2004-12-01    21
2005-01-01     7
2005-02-01    16
2005-03-01    18
2005-04-01    29
2005-05-01    10
2005-06-01    14
2005-07-01    23
2005-08-01    15
2005-09-01    20
2005-10-01    18
2005-11-01     8
2005-12-01    15
2006-01-01    24
2006-02-01    13
2006-03-01    30
2006-04-01    16
2006-05-01    20
2006-06-01    18
2006-07-01    20
2006-08-01    21
2006-09-01    18
2006-10-01    13
2006-11-01    27
2006-12-01    15
2007-01-01    18
2007-02-01     9
2007-03-01    18
2007-04-01    14
2007-05-01    25
2007-06-01    20
2007-07-01     9
2007-08-01    24
2007-09-01    26
2007-10-01    21
2007-11-01    21
2007-12-01    21
2008-01-01    23
2008-02-01    19
2008-03-01    22
2008-04-01    22
2008-05-01    18
2008-06-01    16
2008-07-01    19
2008-08-01    13
2008-09-01    20
2008-10-01    14
2008-11-01    15
2008-12-01    15
2009-01-01    13
2009-02-01    24
2009-03-01    17
2009-04-01    13
2009-05-01    20
2009-06-01    19
2009-07-01    25
2009-08-01    15
2009-09-01    17
2009-10-01    38
2009-11-01    31
2009-12-01    25
2010-01-01    31
2010-02-01    43
2010-03-01    21
2010-04-01    26
2010-05-01    25
2010-06-01    30
2010-07-01    35
2010-08-01    15
2010-09-01    15
2010-10-01    31
2010-11-01    17
2010-12-01    23
2011-01-01    22
2011-02-01    37
2011-03-01    31
2011-04-01    44
2011-05-01    24
2011-06-01    17
2011-07-01    35
2011-08-01    61
2011-09-01    45
2011-10-01    43
2011-11-01    20
2011-12-01    15
2012-01-01    28
2012-02-01    30
2012-03-01    42
2012-04-01    34
2012-05-01    36
2012-06-01    34
2012-07-01    28
2012-08-01    65
2012-09-01    32
2012-10-01    39
2012-11-01    33
2012-12-01    35
2013-01-01    34
2013-02-01    27
2013-03-01    44
2013-04-01    47
2013-05-01    52
2013-06-01    39
2013-07-01    32
2013-08-01    31
2013-09-01    29
2013-10-01    32
2013-11-01    36
2013-12-01    16
2014-01-01    31
2014-02-01    45
2014-03-01    27
2014-04-01    30
2014-05-01    33
2014-06-01    27
2014-07-01    29
2014-08-01    39
2014-09-01    29
2014-10-01    29
2014-11-01    30
2014-12-01    33
2015-01-01    39
2015-02-01    32
2015-03-01    28
2015-04-01    44
2015-05-01    28
2015-06-01    29
2015-07-01    46
2015-08-01    28
2015-09-01    46
2015-10-01    33
2015-11-01    40
2015-12-01    39
2016-01-01    20
2016-02-01    28
2016-03-01    55
2016-04-01    35
2016-05-01    32
2016-06-01    33
2016-07-01    25
2016-08-01    26
2016-09-01    39
2016-10-01    42
2016-11-01    26
2016-12-01     9
2017-01-01     6
2017-02-01     4
2017-03-01     6
2017-04-01     7
2017-05-01     3
2017-06-01     7
2017-07-01     1
2017-08-01     5
2017-09-01     8
2017-10-01     2
2017-11-01     2
