Title:               All Employees: Service-Providing in Raleigh, NC (MSA)
Series ID:           SMU37395800700000001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE        VALUE
1990-01-01  232.5
1990-02-01  235.4
1990-03-01  236.4
1990-04-01  237.4
1990-05-01  239.0
1990-06-01  241.4
1990-07-01  238.2
1990-08-01  238.6
1990-09-01  241.8
1990-10-01  242.9
1990-11-01  243.9
1990-12-01  244.2
1991-01-01  238.6
1991-02-01  239.1
1991-03-01  240.3
1991-04-01  240.9
1991-05-01  243.3
1991-06-01  246.2
1991-07-01  240.9
1991-08-01  242.2
1991-09-01  245.7
1991-10-01  245.8
1991-11-01  247.3
1991-12-01  248.9
1992-01-01  245.2
1992-02-01  245.8
1992-03-01  248.1
1992-04-01  250.0
1992-05-01  252.4
1992-06-01  255.4
1992-07-01  250.1
1992-08-01  251.6
1992-09-01  255.7
1992-10-01  259.0
1992-11-01  260.8
1992-12-01  261.6
1993-01-01  256.9
1993-02-01  258.8
1993-03-01  260.5
1993-04-01  261.6
1993-05-01  264.7
1993-06-01  267.3
1993-07-01  263.5
1993-08-01  265.6
1993-09-01  269.4
1993-10-01  270.7
1993-11-01  274.6
1993-12-01  276.4
1994-01-01  270.8
1994-02-01  271.9
1994-03-01  275.1
1994-04-01  278.0
1994-05-01  279.5
1994-06-01  282.9
1994-07-01  277.5
1994-08-01  280.1
1994-09-01  284.4
1994-10-01  287.1
1994-11-01  291.2
1994-12-01  292.6
1995-01-01  284.5
1995-02-01  286.7
1995-03-01  289.0
1995-04-01  289.8
1995-05-01  292.1
1995-06-01  296.4
1995-07-01  290.3
1995-08-01  292.5
1995-09-01  297.8
1995-10-01  301.7
1995-11-01  305.1
1995-12-01  307.0
1996-01-01  299.7
1996-02-01  304.3
1996-03-01  307.7
1996-04-01  308.8
1996-05-01  312.0
1996-06-01  314.4
1996-07-01  310.5
1996-08-01  313.5
1996-09-01  315.2
1996-10-01  319.7
1996-11-01  323.2
1996-12-01  325.5
1997-01-01  318.5
1997-02-01  320.9
1997-03-01  323.5
1997-04-01  326.3
1997-05-01  330.0
1997-06-01  332.3
1997-07-01  327.9
1997-08-01  331.1
1997-09-01  335.9
1997-10-01  335.6
1997-11-01  340.1
1997-12-01  340.7
1998-01-01  331.5
1998-02-01  334.4
1998-03-01  336.2
1998-04-01  339.6
1998-05-01  342.1
1998-06-01  344.9
1998-07-01  339.4
1998-08-01  343.0
1998-09-01  348.2
1998-10-01  349.2
1998-11-01  351.8
1998-12-01  354.2
1999-01-01  343.0
1999-02-01  345.7
1999-03-01  349.5
1999-04-01  355.0
1999-05-01  356.3
