Title:               All Employees: Service-Providing in Raleigh, NC (MSA)
Series ID:           SMU37395800700000001SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
1990-01-01  235.2
1990-02-01  237.6
1990-03-01  237.7
1990-04-01  238.1
1990-05-01  238.2
1990-06-01  238.6
1990-07-01  240.9
1990-08-01  240.5
1990-09-01  241.0
1990-10-01  241.4
1990-11-01  241.2
1990-12-01  241.3
1991-01-01  241.3
1991-02-01  241.3
1991-03-01  241.5
1991-04-01  241.6
1991-05-01  242.5
1991-06-01  243.4
1991-07-01  243.7
1991-08-01  244.1
1991-09-01  245.0
1991-10-01  244.3
1991-11-01  244.5
1991-12-01  245.8
1992-01-01  248.0
1992-02-01  248.0
1992-03-01  249.3
1992-04-01  250.8
1992-05-01  251.6
1992-06-01  252.7
1992-07-01  253.0
1992-08-01  253.7
1992-09-01  255.0
1992-10-01  257.4
1992-11-01  257.7
1992-12-01  258.2
1993-01-01  259.9
1993-02-01  261.1
1993-03-01  261.6
1993-04-01  262.4
1993-05-01  263.9
1993-06-01  264.7
1993-07-01  266.7
1993-08-01  267.8
1993-09-01  268.8
1993-10-01  269.0
1993-11-01  271.1
1993-12-01  272.6
1994-01-01  274.0
1994-02-01  274.3
1994-03-01  276.2
1994-04-01  278.9
1994-05-01  278.8
1994-06-01  280.4
1994-07-01  280.9
1994-08-01  282.4
1994-09-01  283.7
1994-10-01  285.2
1994-11-01  287.3
1994-12-01  288.4
1995-01-01  288.1
1995-02-01  289.2
1995-03-01  290.2
1995-04-01  290.7
1995-05-01  291.3
1995-06-01  294.1
1995-07-01  293.9
1995-08-01  294.7
1995-09-01  296.9
1995-10-01  299.6
1995-11-01  300.9
1995-12-01  302.5
1996-01-01  303.9
1996-02-01  307.1
1996-03-01  309.1
1996-04-01  309.6
1996-05-01  311.1
1996-06-01  312.0
1996-07-01  314.3
1996-08-01  315.7
1996-09-01  314.1
1996-10-01  317.5
1996-11-01  318.9
1996-12-01  320.7
1997-01-01  323.3
1997-02-01  324.0
1997-03-01  325.1
1997-04-01  326.9
1997-05-01  328.9
1997-06-01  329.7
1997-07-01  331.9
1997-08-01  333.2
1997-09-01  334.5
1997-10-01  333.3
1997-11-01  335.9
1997-12-01  335.6
1998-01-01  336.6
1998-02-01  337.8
1998-03-01  338.0
1998-04-01  340.0
1998-05-01  340.7
1998-06-01  342.1
1998-07-01  343.6
1998-08-01  345.2
1998-09-01  346.7
1998-10-01  346.9
1998-11-01  347.7
1998-12-01  348.9
1999-01-01  348.3
1999-02-01  349.4
1999-03-01  351.6
1999-04-01  355.1
1999-05-01  354.7
1999-06-01  356.1
1999-07-01  356.4
1999-08-01  356.9
1999-09-01  357.4
1999-10-01  359.0
1999-11-01  360.0
1999-12-01  361.7
2000-01-01  362.3
2000-02-01  362.8
2000-03-01  364.7
2000-04-01  364.6
2000-05-01  364.6
2000-06-01  366.3
2000-07-01  365.3
2000-08-01  365.4
2000-09-01  367.5
2000-10-01  367.3
2000-11-01  368.3
2000-12-01  367.6
2001-01-01  371.0
2001-02-01  371.7
2001-03-01  371.6
2001-04-01  370.4
2001-05-01  369.6
2001-06-01  369.9
2001-07-01  366.9
2001-08-01  365.8
2001-09-01  365.1
2001-10-01  365.8
2001-11-01  364.9
2001-12-01  364.5
2002-01-01  363.0
2002-02-01  363.3
2002-03-01  362.7
2002-04-01  364.0
2002-05-01  365.1
2002-06-01  365.3
2002-07-01  366.5
2002-08-01  367.1
2002-09-01  369.4
2002-10-01  369.7
2002-11-01  370.4
2002-12-01  370.1
2003-01-01  369.9
2003-02-01  370.1
2003-03-01  370.4
2003-04-01  372.0
2003-05-01  372.7
2003-06-01  373.2
2003-07-01  372.2
2003-08-01  372.4
2003-09-01  371.9
2003-10-01  374.5
2003-11-01  374.1
2003-12-01  374.2
2004-01-01  377.7
2004-02-01  378.3
2004-03-01  379.7
2004-04-01  377.8
2004-05-01  379.8
2004-06-01  381.0
2004-07-01  385.0
2004-08-01  385.0
2004-09-01  386.5
2004-10-01  386.7
2004-11-01  387.4
2004-12-01  389.5
2005-01-01  390.4
2005-02-01  391.5
2005-03-01  393.1
2005-04-01  394.1
2005-05-01  395.2
2005-06-01  395.8
2005-07-01  400.1
2005-08-01  401.9
2005-09-01  403.2
2005-10-01  401.2
2005-11-01  404.1
2005-12-01  404.6
2006-01-01  407.1
2006-02-01  408.3
2006-03-01  409.6
2006-04-01  414.1
2006-05-01  415.3
2006-06-01  417.9
2006-07-01  419.2
2006-08-01  421.2
2006-09-01  422.5
2006-10-01  424.5
2006-11-01  428.1
2006-12-01  429.7
2007-01-01  432.4
2007-02-01  434.8
2007-03-01  437.3
2007-04-01  436.0
2007-05-01  439.4
2007-06-01  442.8
2007-07-01  441.1
2007-08-01  442.9
2007-09-01  443.1
2007-10-01  446.0
2007-11-01  447.5
2007-12-01  448.9
2008-01-01  450.3
2008-02-01  451.4
2008-03-01  451.2
2008-04-01  449.5
2008-05-01  450.7
2008-06-01  450.1
2008-07-01  450.7
2008-08-01  451.5
2008-09-01  451.8
2008-10-01  451.9
2008-11-01  449.4
2008-12-01  448.8
2009-01-01  445.4
2009-02-01  443.1
2009-03-01  441.6
2009-04-01  440.6
2009-05-01  440.9
2009-06-01  439.3
2009-07-01  438.9
2009-08-01  437.1
2009-09-01  437.3
2009-10-01  436.0
2009-11-01  436.5
2009-12-01  436.8
2010-01-01  436.6
2010-02-01  435.4
2010-03-01  437.8
2010-04-01  440.4
2010-05-01  442.1
2010-06-01  443.2
2010-07-01  444.2
2010-08-01  443.4
2010-09-01  443.5
2010-10-01  445.0
2010-11-01  445.6
2010-12-01  446.0
2011-01-01  447.5
2011-02-01  448.5
2011-03-01  449.6
2011-04-01  449.6
2011-05-01  448.8
2011-06-01  449.2
2011-07-01  450.6
2011-08-01  451.1
2011-09-01  452.7
2011-10-01  453.5
2011-11-01  454.0
2011-12-01  454.1
2012-01-01  459.5
2012-02-01  459.4
2012-03-01  461.4
2012-04-01  462.8
2012-05-01  463.8
2012-06-01  464.6
2012-07-01  466.6
2012-08-01  467.6
2012-09-01  467.5
2012-10-01  468.1
2012-11-01  469.4
2012-12-01  469.8
2013-01-01  471.9
2013-02-01  474.2
2013-03-01  475.9
2013-04-01  474.8
2013-05-01  475.5
2013-06-01  475.2
2013-07-01  478.3
2013-08-01  482.2
2013-09-01  485.6
2013-10-01  484.5
2013-11-01  485.9
2013-12-01  487.0
2014-01-01  488.6
2014-02-01  486.3
2014-03-01  490.0
2014-04-01  492.3
2014-05-01  494.4
2014-06-01  496.6
2014-07-01  495.9
2014-08-01  497.3
2014-09-01  498.9
2014-10-01  502.7
2014-11-01  503.5
2014-12-01  505.3
2015-01-01  505.1
2015-02-01  506.1
2015-03-01  507.5
2015-04-01  509.4
2015-05-01  510.6
2015-06-01  512.5
2015-07-01  513.5
2015-08-01  515.1
2015-09-01  517.3
2015-10-01  518.9
2015-11-01  519.9
2015-12-01  522.3
2016-01-01  524.6
2016-02-01  525.5
2016-03-01  526.8
2016-04-01  528.7
2016-05-01  528.8
2016-06-01  529.5
2016-07-01  531.4
2016-08-01  531.4
2016-09-01  533.5
2016-10-01  533.8
2016-11-01  535.5
2016-12-01  536.0
2017-01-01  536.2
2017-02-01  539.0
2017-03-01  540.0
2017-04-01  539.5
2017-05-01  542.2
2017-06-01  543.1
2017-07-01  544.6
2017-08-01  547.6
2017-09-01  545.8
2017-10-01  547.5
2017-11-01  548.2
2017-12-01  548.6
2018-01-01  550.5
2018-02-01  552.1
2018-03-01  553.4
2018-04-01  554.2
2018-05-01  556.9
2018-06-01  559.3
2018-07-01  563.1
2018-08-01  562.4
