Title:               Average Weekly Earnings of All Employees: Total Private in New Bern, NC (MSA)
Series ID:           SMU37351000500000011
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2011-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE         VALUE
2011-01-01  538.65
2011-02-01  536.95
2011-03-01  568.72
2011-04-01  567.67
2011-05-01  571.81
2011-06-01  569.32
2011-07-01  576.98
2011-08-01  579.89
2011-09-01  576.02
2011-10-01  611.75
2011-11-01  574.78
2011-12-01  613.89
2012-01-01  606.72
2012-02-01  604.01
2012-03-01  603.00
2012-04-01  624.29
2012-05-01  606.02
2012-06-01  604.34
2012-07-01  625.79
2012-08-01  608.03
2012-09-01  636.27
2012-10-01  627.35
2012-11-01  628.32
2012-12-01  631.45
2013-01-01  614.27
2013-02-01  591.74
2013-03-01  586.17
2013-04-01  576.17
2013-05-01  569.05
2013-06-01  589.86
2013-07-01  581.62
2013-08-01  573.12
2013-09-01  581.33
2013-10-01  554.04
2013-11-01  537.52
2013-12-01  562.92
2014-01-01  554.05
2014-02-01  539.37
2014-03-01  567.19
2014-04-01  586.75
2014-05-01  575.61
2014-06-01  579.70
2014-07-01  562.59
2014-08-01  580.57
2014-09-01  598.18
2014-10-01  606.30
2014-11-01  628.94
2014-12-01  655.56
2015-01-01  660.86
2015-02-01  679.64
2015-03-01  677.25
2015-04-01  674.23
2015-05-01  677.41
2015-06-01  668.80
2015-07-01  675.92
2015-08-01  688.65
2015-09-01  662.40
2015-10-01  685.79
2015-11-01  692.87
2015-12-01  693.46
2016-01-01  698.34
2016-02-01  705.41
2016-03-01  703.09
2016-04-01  718.98
2016-05-01  722.11
2016-06-01  712.77
2016-07-01  713.78
2016-08-01  703.11
2016-09-01  704.63
2016-10-01  737.36
2016-11-01  732.45
2016-12-01  723.44
2017-01-01  744.58
2017-02-01  751.37
2017-03-01  714.68
2017-04-01  748.99
2017-05-01  707.20
2017-06-01  702.33
2017-07-01  709.97
2017-08-01  693.86
2017-09-01  699.06
2017-10-01  731.90
2017-11-01  696.48
2017-12-01  728.80
2018-01-01  698.08
2018-02-01  708.17
2018-03-01  694.23
2018-04-01  688.17
2018-05-01  685.44
2018-06-01  653.86
2018-07-01  655.68
2018-08-01  657.34
2018-09-01  652.36
2018-10-01  695.97
