Title:               Average Hourly Earnings of All Employees: Total Private in New Bern, NC (MSA)
Series ID:           SMU37351000500000003
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Hour
Date Range:          2011-01-01 to 2018-10-01
Last Updated:        2018-11-16 3:59 PM CST
Notes:               

DATE        VALUE
2011-01-01  17.10
2011-02-01  17.21
2011-03-01  17.13
2011-04-01  17.15
2011-05-01  17.12
2011-06-01  17.20
2011-07-01  17.02
2011-08-01  17.31
2011-09-01  17.35
2011-10-01  17.94
2011-11-01  17.74
2011-12-01  18.38
2012-01-01  18.33
2012-02-01  17.87
2012-03-01  18.00
2012-04-01  18.58
2012-05-01  18.09
2012-06-01  18.04
2012-07-01  18.46
2012-08-01  18.15
2012-09-01  18.55
2012-10-01  18.29
2012-11-01  18.48
2012-12-01  18.25
2013-01-01  18.12
2013-02-01  17.77
2013-03-01  17.55
2013-04-01  17.62
2013-05-01  17.14
2013-06-01  17.40
2013-07-01  17.31
2013-08-01  17.42
2013-09-01  17.25
2013-10-01  17.10
2013-11-01  17.01
2013-12-01  17.11
2014-01-01  17.26
2014-02-01  17.86
2014-03-01  17.56
2014-04-01  17.62
2014-05-01  17.39
2014-06-01  17.05
2014-07-01  17.10
2014-08-01  17.54
2014-09-01  17.75
2014-10-01  17.78
2014-11-01  18.39
2014-12-01  18.21
2015-01-01  19.10
2015-02-01  19.53
2015-03-01  19.35
2015-04-01  19.10
2015-05-01  19.19
2015-06-01  19.00
2015-07-01  19.04
2015-08-01  19.29
2015-09-01  19.20
2015-10-01  19.65
2015-11-01  19.74
2015-12-01  19.87
2016-01-01  20.60
2016-02-01  20.87
2016-03-01  20.74
2016-04-01  20.72
2016-05-01  20.81
2016-06-01  20.72
2016-07-01  20.81
2016-08-01  20.38
2016-09-01  21.16
2016-10-01  21.88
2016-11-01  21.67
2016-12-01  21.66
2017-01-01  22.84
2017-02-01  22.70
2017-03-01  21.99
2017-04-01  22.56
2017-05-01  21.76
2017-06-01  21.61
2017-07-01  21.13
2017-08-01  21.09
2017-09-01  21.71
2017-10-01  21.59
2017-11-01  21.43
2017-12-01  21.31
2018-01-01  21.09
2018-02-01  20.89
2018-03-01  20.24
2018-04-01  20.36
2018-05-01  20.16
2018-06-01  19.46
2018-07-01  19.69
2018-08-01  19.74
2018-09-01  21.53
2018-10-01  20.53
