Title:               All Employees: Private Service Providing in Raleigh, NC (MSA)
Series ID:           SMU37395800800000001SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
1990-01-01  185.5
1990-02-01  187.2
1990-03-01  186.8
1990-04-01  186.6
1990-05-01  186.6
1990-06-01  186.8
1990-07-01  188.4
1990-08-01  188.3
1990-09-01  189.0
1990-10-01  189.3
1990-11-01  189.5
1990-12-01  189.8
1991-01-01  189.4
1991-02-01  188.8
1991-03-01  188.9
1991-04-01  189.4
1991-05-01  189.7
1991-06-01  189.8
1991-07-01  190.3
1991-08-01  190.9
1991-09-01  191.2
1991-10-01  190.8
1991-11-01  190.6
1991-12-01  191.4
1992-01-01  193.8
1992-02-01  193.1
1992-03-01  194.3
1992-04-01  195.5
1992-05-01  196.4
1992-06-01  197.4
1992-07-01  197.9
1992-08-01  198.3
1992-09-01  199.0
1992-10-01  200.7
1992-11-01  201.1
1992-12-01  201.4
1993-01-01  202.8
1993-02-01  203.9
1993-03-01  204.1
1993-04-01  204.2
1993-05-01  205.2
1993-06-01  205.9
1993-07-01  207.3
1993-08-01  208.1
1993-09-01  208.9
1993-10-01  208.7
1993-11-01  210.6
1993-12-01  212.2
1994-01-01  213.8
1994-02-01  214.0
1994-03-01  215.5
1994-04-01  217.8
1994-05-01  217.8
1994-06-01  219.3
1994-07-01  219.8
1994-08-01  221.3
1994-09-01  222.1
1994-10-01  223.2
1994-11-01  224.8
1994-12-01  226.1
1995-01-01  225.8
1995-02-01  226.7
1995-03-01  227.7
1995-04-01  227.6
1995-05-01  228.3
1995-06-01  230.1
1995-07-01  230.3
1995-08-01  231.5
1995-09-01  233.6
1995-10-01  235.5
1995-11-01  237.0
1995-12-01  238.3
1996-01-01  239.4
1996-02-01  242.4
1996-03-01  245.1
1996-04-01  244.7
1996-05-01  246.0
1996-06-01  246.6
1996-07-01  248.8
1996-08-01  250.6
1996-09-01  249.1
1996-10-01  251.7
1996-11-01  253.0
1996-12-01  254.6
1997-01-01  257.1
1997-02-01  257.8
1997-03-01  258.8
1997-04-01  260.0
1997-05-01  261.6
1997-06-01  262.3
1997-07-01  264.1
1997-08-01  265.3
1997-09-01  266.9
1997-10-01  264.7
1997-11-01  267.8
1997-12-01  267.4
1998-01-01  268.0
1998-02-01  268.8
1998-03-01  269.4
1998-04-01  270.7
1998-05-01  271.5
1998-06-01  272.3
1998-07-01  273.7
1998-08-01  274.6
1998-09-01  276.1
1998-10-01  276.2
1998-11-01  276.9
1998-12-01  277.9
1999-01-01  277.4
1999-02-01  278.0
1999-03-01  279.4
1999-04-01  282.7
1999-05-01  282.6
1999-06-01  283.8
1999-07-01  283.9
1999-08-01  284.2
1999-09-01  284.6
1999-10-01  286.4
1999-11-01  287.1
1999-12-01  288.3
2000-01-01  289.0
2000-02-01  289.5
2000-03-01  291.4
2000-04-01  290.8
2000-05-01  290.5
2000-06-01  291.9
2000-07-01  290.9
2000-08-01  290.6
2000-09-01  292.2
2000-10-01  292.6
2000-11-01  293.1
2000-12-01  292.2
2001-01-01  295.0
2001-02-01  295.4
2001-03-01  295.3
2001-04-01  294.1
2001-05-01  293.2
2001-06-01  293.2
2001-07-01  291.0
2001-08-01  290.3
2001-09-01  289.3
2001-10-01  289.2
2001-11-01  288.5
2001-12-01  288.2
2002-01-01  286.9
2002-02-01  286.8
2002-03-01  287.1
2002-04-01  288.1
2002-05-01  289.1
2002-06-01  289.2
2002-07-01  291.2
2002-08-01  292.1
2002-09-01  293.1
2002-10-01  293.1
2002-11-01  293.6
2002-12-01  293.1
2003-01-01  292.7
2003-02-01  292.9
2003-03-01  292.8
2003-04-01  294.0
2003-05-01  294.5
2003-06-01  295.0
2003-07-01  292.2
2003-08-01  293.8
2003-09-01  293.8
2003-10-01  294.5
2003-11-01  294.6
2003-12-01  294.1
2004-01-01  297.8
2004-02-01  298.4
2004-03-01  299.3
2004-04-01  297.4
2004-05-01  299.1
2004-06-01  300.2
2004-07-01  302.7
2004-08-01  303.5
2004-09-01  303.4
2004-10-01  303.9
2004-11-01  304.7
2004-12-01  306.1
2005-01-01  307.5
2005-02-01  308.2
2005-03-01  309.6
2005-04-01  310.8
2005-05-01  311.8
2005-06-01  312.8
2005-07-01  315.1
2005-08-01  315.8
2005-09-01  318.1
2005-10-01  318.8
2005-11-01  319.8
2005-12-01  321.4
2006-01-01  322.2
2006-02-01  322.9
2006-03-01  324.0
2006-04-01  327.6
2006-05-01  328.2
2006-06-01  330.4
2006-07-01  330.8
2006-08-01  332.0
2006-09-01  334.0
2006-10-01  336.1
2006-11-01  338.8
2006-12-01  339.7
2007-01-01  342.1
2007-02-01  344.1
2007-03-01  346.5
2007-04-01  345.5
2007-05-01  348.3
2007-06-01  351.6
2007-07-01  349.2
2007-08-01  351.1
2007-09-01  350.9
2007-10-01  354.6
2007-11-01  355.4
2007-12-01  356.0
2008-01-01  357.1
2008-02-01  358.0
2008-03-01  357.8
2008-04-01  356.5
2008-05-01  357.7
2008-06-01  356.8
2008-07-01  355.8
2008-08-01  357.3
2008-09-01  356.6
2008-10-01  355.8
2008-11-01  353.9
2008-12-01  353.0
2009-01-01  351.2
2009-02-01  349.6
2009-03-01  347.8
2009-04-01  345.8
2009-05-01  346.4
2009-06-01  344.9
2009-07-01  344.7
2009-08-01  344.4
2009-09-01  344.2
2009-10-01  343.2
2009-11-01  343.5
2009-12-01  343.8
2010-01-01  343.8
2010-02-01  342.8
2010-03-01  345.0
2010-04-01  346.7
2010-05-01  346.7
2010-06-01  348.0
2010-07-01  349.3
2010-08-01  349.4
2010-09-01  349.6
2010-10-01  351.9
2010-11-01  353.0
2010-12-01  352.9
2011-01-01  354.2
2011-02-01  355.7
2011-03-01  356.7
2011-04-01  357.5
2011-05-01  356.9
2011-06-01  358.3
2011-07-01  359.4
2011-08-01  359.8
2011-09-01  361.3
2011-10-01  362.0
2011-11-01  362.8
2011-12-01  364.0
2012-01-01  367.8
2012-02-01  368.0
2012-03-01  370.0
2012-04-01  372.0
2012-05-01  373.3
2012-06-01  373.7
2012-07-01  375.2
2012-08-01  375.7
2012-09-01  376.0
2012-10-01  376.7
2012-11-01  378.2
2012-12-01  379.2
2013-01-01  380.2
2013-02-01  382.6
2013-03-01  383.9
2013-04-01  383.5
2013-05-01  384.6
2013-06-01  385.9
2013-07-01  386.8
2013-08-01  389.7
2013-09-01  392.6
2013-10-01  391.2
2013-11-01  392.8
2013-12-01  394.2
2014-01-01  395.4
2014-02-01  394.1
2014-03-01  397.3
2014-04-01  398.9
2014-05-01  400.7
2014-06-01  402.6
2014-07-01  402.1
2014-08-01  403.6
2014-09-01  404.8
2014-10-01  407.5
2014-11-01  408.6
2014-12-01  410.6
2015-01-01  410.3
2015-02-01  411.7
2015-03-01  413.1
2015-04-01  414.9
2015-05-01  416.5
2015-06-01  418.1
2015-07-01  419.0
2015-08-01  420.7
2015-09-01  422.5
2015-10-01  424.2
2015-11-01  425.5
2015-12-01  427.4
2016-01-01  429.8
2016-02-01  430.4
2016-03-01  431.6
2016-04-01  433.5
2016-05-01  433.9
2016-06-01  434.0
2016-07-01  436.2
2016-08-01  436.6
2016-09-01  438.5
2016-10-01  438.6
2016-11-01  440.0
2016-12-01  440.4
2017-01-01  440.7
2017-02-01  443.1
2017-03-01  443.9
2017-04-01  443.3
2017-05-01  445.2
2017-06-01  446.7
2017-07-01  448.1
2017-08-01  448.5
2017-09-01  448.6
2017-10-01  450.1
2017-11-01  450.6
2017-12-01  450.7
2018-01-01  453.4
2018-02-01  454.8
2018-03-01  456.2
2018-04-01  457.0
2018-05-01  460.1
2018-06-01  462.1
2018-07-01  465.5
2018-08-01  465.2
2018-09-01  465.4
2018-10-01  466.7
