Title:               Average Hourly Earnings of All Employees: Total Private in New Bern, NC (MSA)
Series ID:           SMU37351000500000003SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Hour
Date Range:          2011-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE       VALUE
2011-01-01  16.9
2011-02-01  16.9
2011-03-01  17.1
2011-04-01  17.0
2011-05-01  17.3
2011-06-01  17.4
2011-07-01  17.2
2011-08-01  17.4
2011-09-01  17.4
2011-10-01  18.1
2011-11-01  17.7
2011-12-01  18.4
2012-01-01  18.1
2012-02-01  17.5
2012-03-01  18.0
2012-04-01  18.4
2012-05-01  18.3
2012-06-01  18.2
2012-07-01  18.7
2012-08-01  18.3
2012-09-01  18.6
2012-10-01  18.4
2012-11-01  18.4
2012-12-01  18.3
2013-01-01  17.9
2013-02-01  17.4
2013-03-01  17.5
2013-04-01  17.5
2013-05-01  17.3
2013-06-01  17.6
2013-07-01  17.5
2013-08-01  17.5
2013-09-01  17.3
2013-10-01  17.2
2013-11-01  17.0
2013-12-01  17.2
2014-01-01  17.0
2014-02-01  17.4
2014-03-01  17.4
2014-04-01  17.5
2014-05-01  17.5
2014-06-01  17.3
2014-07-01  17.4
2014-08-01  17.7
2014-09-01  17.8
2014-10-01  17.8
2014-11-01  18.4
2014-12-01  18.3
2015-01-01  18.8
2015-02-01  19.0
2015-03-01  19.2
2015-04-01  18.9
2015-05-01  19.3
2015-06-01  19.3
2015-07-01  19.4
2015-08-01  19.6
2015-09-01  19.3
2015-10-01  19.7
2015-11-01  19.7
2015-12-01  19.9
2016-01-01  20.2
2016-02-01  20.3
2016-03-01  20.6
2016-04-01  20.6
2016-05-01  20.9
2016-06-01  21.1
2016-07-01  21.3
2016-08-01  20.7
2016-09-01  21.2
2016-10-01  21.8
2016-11-01  21.6
2016-12-01  21.6
2017-01-01  22.4
2017-02-01  22.1
2017-03-01  21.9
2017-04-01  22.4
2017-05-01  21.9
2017-06-01  22.0
2017-07-01  21.6
2017-08-01  21.5
2017-09-01  21.7
2017-10-01  21.5
2017-11-01  21.3
2017-12-01  21.2
2018-01-01  20.7
2018-02-01  20.4
2018-03-01  20.2
2018-04-01  20.2
2018-05-01  20.3
2018-06-01  19.8
2018-07-01  20.2
2018-08-01  20.2
2018-09-01  21.4
2018-10-01  20.4
