Title:               Civilian Labor Force in Wilmington, NC (MSA)
Series ID:           WILM937LF
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Smoothed Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 1:41 PM CST
Notes:               

DATE          VALUE
1990-01-01    78538
1990-02-01    78558
1990-03-01    78563
1990-04-01    78684
1990-05-01    78783
1990-06-01    78749
1990-07-01    78807
1990-08-01    79114
1990-09-01    79563
1990-10-01    79947
1990-11-01    80588
1990-12-01    81503
1991-01-01    81974
1991-02-01    81702
1991-03-01    81694
1991-04-01    82450
1991-05-01    83005
1991-06-01    82994
1991-07-01    82811
1991-08-01    83107
1991-09-01    83749
1991-10-01    83997
1991-11-01    83802
1991-12-01    83548
1992-01-01    83505
1992-02-01    83744
1992-03-01    84212
1992-04-01    84618
1992-05-01    85138
1992-06-01    85881
1992-07-01    86453
1992-08-01    86841
1992-09-01    86990
1992-10-01    86834
1992-11-01    86653
1992-12-01    86121
1993-01-01    85307
1993-02-01    85034
1993-03-01    85042
1993-04-01    85113
1993-05-01    85565
1993-06-01    86106
1993-07-01    86216
1993-08-01    85798
1993-09-01    85335
1993-10-01    85219
1993-11-01    85345
1993-12-01    85666
1994-01-01    86286
1994-02-01    86786
1994-03-01    86768
1994-04-01    86649
1994-05-01    86731
1994-06-01    86903
1994-07-01    87319
1994-08-01    87823
1994-09-01    88160
1994-10-01    88536
1994-11-01    88753
1994-12-01    88533
1995-01-01    88346
1995-02-01    88487
1995-03-01    88911
1995-04-01    89335
1995-05-01    89473
1995-06-01    89524
1995-07-01    89569
1995-08-01    89935
1995-09-01    90727
1995-10-01    91417
1995-11-01    91937
1995-12-01    92355
1996-01-01    92782
1996-02-01    93546
1996-03-01    94138
1996-04-01    94362
1996-05-01    94626
1996-06-01    94823
1996-07-01    94975
1996-08-01    94881
1996-09-01    96700
1996-10-01    96255
1996-11-01    96179
1996-12-01    96376
1997-01-01    96732
1997-02-01    97148
1997-03-01    97715
1997-04-01    98060
1997-05-01    98301
1997-06-01    98620
1997-07-01    98735
1997-08-01    98630
1997-09-01    98224
1997-10-01    97544
1997-11-01    97178
1997-12-01    97416
1998-01-01    98077
1998-02-01    98672
1998-03-01    98830
1998-04-01    98667
1998-05-01    98439
1998-06-01    98275
1998-07-01    98220
1998-08-01    98428
1998-09-01    99151
1998-10-01   100022
1998-11-01   100410
1998-12-01   100593
1999-01-01   100704
1999-02-01   100487
1999-03-01   100255
1999-04-01   100188
1999-05-01   100089
1999-06-01   100323
1999-07-01   101153
1999-08-01   101770
1999-09-01   101861
1999-10-01   102162
1999-11-01   102759
1999-12-01   103298
2000-01-01   106797
2000-02-01   107105
2000-03-01   107290
2000-04-01   107338
2000-05-01   107564
2000-06-01   107734
2000-07-01   107415
2000-08-01   107094
2000-09-01   107146
2000-10-01   107448
2000-11-01   107986
2000-12-01   108851
2001-01-01   109638
2001-02-01   109947
2001-03-01   110039
2001-04-01   109835
2001-05-01   109641
2001-06-01   109681
2001-07-01   109383
2001-08-01   109115
2001-09-01   109256
2001-10-01   109444
2001-11-01   109709
2001-12-01   109770
2002-01-01   109563
2002-02-01   109646
2002-03-01   109852
2002-04-01   109851
2002-05-01   109707
2002-06-01   109725
2002-07-01   110012
2002-08-01   110345
2002-09-01   110422
2002-10-01   110117
2002-11-01   109968
2002-12-01   110548
2003-01-01   111638
2003-02-01   112395
2003-03-01   112449
2003-04-01   112222
2003-05-01   112421
2003-06-01   112886
2003-07-01   112915
2003-08-01   112833
2003-09-01   112897
2003-10-01   113144
2003-11-01   113493
2003-12-01   113603
2004-01-01   113512
2004-02-01   113388
2004-03-01   113544
2004-04-01   113806
2004-05-01   113801
2004-06-01   114055
2004-07-01   114981
2004-08-01   115717
2004-09-01   115933
2004-10-01   116332
2004-11-01   116847
2004-12-01   117121
2005-01-01   117194
2005-02-01   117258
2005-03-01   117728
2005-04-01   118568
2005-05-01   119046
2005-06-01   119343
2005-07-01   120016
2005-08-01   120611
2005-09-01   121147
2005-10-01   121821
2005-11-01   122279
2005-12-01   122314
2006-01-01   122132
2006-02-01   122242
2006-03-01   122629
2006-04-01   123201
2006-05-01   123854
2006-06-01   124550
2006-07-01   125476
2006-08-01   126305
2006-09-01   126946
2006-10-01   127676
2006-11-01   128184
2006-12-01   128025
2007-01-01   127579
2007-02-01   127688
2007-03-01   128003
2007-04-01   127769
2007-05-01   127540
2007-06-01   127694
2007-07-01   127843
2007-08-01   128098
2007-09-01   128346
2007-10-01   128207
2007-11-01   128094
2007-12-01   128447
2008-01-01   129053
2008-02-01   129390
2008-03-01   129435
2008-04-01   129719
2008-05-01   130088
2008-06-01   129944
2008-07-01   129652
2008-08-01   129446
2008-09-01   129450
2008-10-01   129524
2008-11-01   130868
2008-12-01   130718
2009-01-01   130435
2009-02-01   129993
2009-03-01   129634
2009-04-01   129876
2009-05-01   130090
2009-06-01   129650
2009-07-01   129193
2009-08-01   129124
2009-09-01   129008
2009-10-01   128782
2009-11-01   129126
2009-12-01   130220
2010-01-01   131345
2010-02-01   131878
2010-03-01   132435
2010-04-01   133151
2010-05-01   132815
2010-06-01   131868
2010-07-01   131590
2010-08-01   131712
2010-09-01   131660
2010-10-01   131719
2010-11-01   131905
2010-12-01   131886
2011-01-01   131720
2011-02-01   131755
2011-03-01   132116
2011-04-01   132215
2011-05-01   132028
2011-06-01   131801
2011-07-01   131685
2011-08-01   131929
2011-09-01   132284
2011-10-01   132534
2011-11-01   132632
2011-12-01   132659
2012-01-01   132509
2012-02-01   132424
2012-03-01   132515
2012-04-01   132784
2012-05-01   133374
2012-06-01   133718
2012-07-01   133757
2012-08-01   134000
2012-09-01   134540
2012-10-01   134907
2012-11-01   135068
2012-12-01   135144
2013-01-01   134810
2013-02-01   134299
2013-03-01   133914
2013-04-01   133850
2013-05-01   134222
2013-06-01   134579
2013-07-01   134600
2013-08-01   134572
2013-09-01   134720
2013-10-01   134957
2013-11-01   135134
2013-12-01   135055
2014-01-01   134886
2014-02-01   134961
2014-03-01   134874
2014-04-01   134561
2014-05-01   134874
2014-06-01   135810
2014-07-01   136533
2014-08-01   136568
2014-09-01   136605
2014-10-01   136985
2014-11-01   137061
2014-12-01   137127
2015-01-01   137531
2015-02-01   137772
2015-03-01   137979
2015-04-01   138832
2015-05-01   139756
2015-06-01   140032
2015-07-01   140134
2015-08-01   140161
2015-09-01   139979
2015-10-01   139885
2015-11-01   140102
2015-12-01   140649
2016-01-01   141452
2016-02-01   142171
2016-03-01   142416
2016-04-01   142243
2016-05-01   142090
2016-06-01   142449
2016-07-01   143099
2016-08-01   143535
2016-09-01   143524
2016-10-01   143306
2016-11-01   143290
2016-12-01   143623
2017-01-01   144354
2017-02-01   145024
2017-03-01   145305
2017-04-01   145198
2017-05-01   145203
2017-06-01   145847
2017-07-01   146360
2017-08-01   146524
2017-09-01   146540
2017-10-01   146424
2017-11-01   146595
2017-12-01   146790
2018-01-01   146529
2018-02-01   146974
2018-03-01   147391
2018-04-01   147131
2018-05-01   146697
2018-06-01   147478
2018-07-01   147437
2018-08-01   146122
2018-09-01   142602
2018-10-01   144260
2018-11-01   146442
