Title:               Civilian Labor Force in Wilmington, NC (MSA)
Series ID:           WILM937LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:12 AM CST
Notes:               

DATE         VALUE
1990-01-01   75933
1990-02-01   76604
1990-03-01   77068
1990-04-01   78330
1990-05-01   80357
1990-06-01   81340
1990-07-01   81390
1990-08-01   80222
1990-09-01   80435
1990-10-01   79597
1990-11-01   79779
1990-12-01   80237
1991-01-01   79534
1991-02-01   79862
1991-03-01   79488
1991-04-01   82752
1991-05-01   84171
1991-06-01   86203
1991-07-01   84896
1991-08-01   84472
1991-09-01   84498
1991-10-01   84010
1991-11-01   83128
1991-12-01   81984
1992-01-01   80764
1992-02-01   81602
1992-03-01   82853
1992-04-01   84361
1992-05-01   86235
1992-06-01   88959
1992-07-01   88890
1992-08-01   88404
1992-09-01   87672
1992-10-01   86691
1992-11-01   85925
1992-12-01   85137
1993-01-01   81947
1993-02-01   83269
1993-03-01   83561
1993-04-01   84698
1993-05-01   86865
1993-06-01   89050
1993-07-01   88946
1993-08-01   87221
1993-09-01   85717
1993-10-01   84985
1993-11-01   84682
1993-12-01   84014
1994-01-01   83596
1994-02-01   85116
1994-03-01   85463
1994-04-01   86205
1994-05-01   88247
1994-06-01   89488
1994-07-01   89808
1994-08-01   89345
1994-09-01   88542
1994-10-01   88309
1994-11-01   88333
1994-12-01   86941
1995-01-01   86431
1995-02-01   86639
1995-03-01   87492
1995-04-01   89465
1995-05-01   90633
1995-06-01   92475
1995-07-01   91861
1995-08-01   91138
1995-09-01   91195
1995-10-01   91266
1995-11-01   91091
1995-12-01   91042
1996-01-01   89816
1996-02-01   91847
1996-03-01   93271
1996-04-01   93872
1996-05-01   96353
1996-06-01   97336
1996-07-01   97615
1996-08-01   96381
1996-09-01   96729
1996-10-01   96003
1996-11-01   95394
1996-12-01   94622
1997-01-01   94462
1997-02-01   94913
1997-03-01   97080
1997-04-01   97677
1997-05-01   99880
1997-06-01  101230
1997-07-01  101472
1997-08-01   99810
1997-09-01   98972
1997-10-01   96774
1997-11-01   96470
1997-12-01   95499
1998-01-01   95730
1998-02-01   96935
1998-03-01   97916
1998-04-01   98449
1998-05-01   99898
1998-06-01  100879
1998-07-01  100625
1998-08-01   99695
1998-09-01   99173
1998-10-01  100100
1998-11-01   99498
1998-12-01   99124
1999-01-01   98326
1999-02-01   98809
1999-03-01   98940
1999-04-01  100243
1999-05-01  101321
1999-06-01  102741
1999-07-01  103577
1999-08-01  103660
1999-09-01  101690
1999-10-01  101892
1999-11-01  101882
1999-12-01  101941
2000-01-01  104074
2000-02-01  105274
2000-03-01  106141
2000-04-01  107571
2000-05-01  108469
2000-06-01  109836
2000-07-01  109531
2000-08-01  108790
2000-09-01  107727
2000-10-01  107376
2000-11-01  107509
2000-12-01  107196
2001-01-01  107290
2001-02-01  107806
2001-03-01  109091
2001-04-01  110032
2001-05-01  110524
2001-06-01  111688
2001-07-01  111694
2001-08-01  110598
2001-09-01  110053
2001-10-01  109376
2001-11-01  109208
2001-12-01  108577
2002-01-01  106546
2002-02-01  107942
2002-03-01  108667
2002-04-01  110126
2002-05-01  110794
2002-06-01  111195
2002-07-01  112396
2002-08-01  112098
2002-09-01  111323
2002-10-01  109992
2002-11-01  109366
2002-12-01  108735
2003-01-01  109091
2003-02-01  110700
2003-03-01  111283
2003-04-01  112397
2003-05-01  113236
2003-06-01  115047
2003-07-01  115058
2003-08-01  114802
2003-09-01  113471
2003-10-01  113021
2003-11-01  113237
2003-12-01  111913
2004-01-01  110848
2004-02-01  111199
2004-03-01  112266
2004-04-01  114164
2004-05-01  115058
2004-06-01  115333
2004-07-01  117611
2004-08-01  118004
2004-09-01  116385
2004-10-01  116410
2004-11-01  116367
2004-12-01  115538
2005-01-01  114231
2005-02-01  115090
2005-03-01  116184
2005-04-01  119058
2005-05-01  120461
2005-06-01  120812
2005-07-01  122741
2005-08-01  122777
2005-09-01  121622
2005-10-01  122186
2005-11-01  121571
2005-12-01  120932
2006-01-01  118642
2006-02-01  120160
2006-03-01  121102
2006-04-01  123494
2006-05-01  125215
2006-06-01  126311
2006-07-01  128183
2006-08-01  128636
2006-09-01  127590
2006-10-01  127889
2006-11-01  127747
2006-12-01  126392
2007-01-01  124021
2007-02-01  125174
2007-03-01  127079
2007-04-01  127820
2007-05-01  128848
2007-06-01  129614
2007-07-01  130690
2007-08-01  129990
2007-09-01  129711
2007-10-01  127926
2007-11-01  127689
2007-12-01  126164
2008-01-01  126158
2008-02-01  126934
2008-03-01  128163
2008-04-01  129600
2008-05-01  132074
2008-06-01  131597
2008-07-01  132526
2008-08-01  131565
2008-09-01  130047
2008-10-01  130096
2008-11-01  130356
2008-12-01  128781
2009-01-01  127287
2009-02-01  127819
2009-03-01  127911
2009-04-01  130136
2009-05-01  131771
2009-06-01  131370
2009-07-01  131682
2009-08-01  131217
2009-09-01  129971
2009-10-01  128538
2009-11-01  128355
2009-12-01  126033
2010-01-01  129618
2010-02-01  130739
2010-03-01  131397
2010-04-01  133964
2010-05-01  134755
2010-06-01  132545
2010-07-01  133064
2010-08-01  132722
2010-09-01  132258
2010-10-01  131431
2010-11-01  132026
2010-12-01  129822
2011-01-01  129801
2011-02-01  130135
2011-03-01  131767
2011-04-01  132317
2011-05-01  133686
2011-06-01  133070
2011-07-01  132892
2011-08-01  133126
2011-09-01  132716
2011-10-01  132773
2011-11-01  132211
2011-12-01  130970
2012-01-01  130325
2012-02-01  131010
2012-03-01  132050
2012-04-01  132297
2012-05-01  135586
2012-06-01  134684
2012-07-01  135560
2012-08-01  134681
2012-09-01  135466
2012-10-01  134915
2012-11-01  134740
2012-12-01  133453
2013-01-01  132604
2013-02-01  132993
2013-03-01  133169
2013-04-01  133581
2013-05-01  136141
2013-06-01  135730
2013-07-01  136451
2013-08-01  135384
2013-09-01  135631
2013-10-01  134742
2013-11-01  135215
2013-12-01  132895
2014-01-01  132607
2014-02-01  133458
2014-03-01  134621
2014-04-01  133973
2014-05-01  136795
2014-06-01  136739
2014-07-01  138818
2014-08-01  137559
2014-09-01  137141
2014-10-01  137300
2014-11-01  136843
2014-12-01  134791
2015-01-01  135234
2015-02-01  136465
2015-03-01  136870
2015-04-01  138769
2015-05-01  142166
2015-06-01  140929
2015-07-01  142079
2015-08-01  141368
2015-09-01  140826
2015-10-01  139822
2015-11-01  139874
2015-12-01  138447
2016-01-01  138854
