Title:               Civilian Labor Force in Winston-Salem, NC (MSA)
Series ID:           WINS137LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:12 AM CST
Notes:               

DATE         VALUE
1990-01-01  266670
1990-02-01  268228
1990-03-01  268284
1990-04-01  268638
1990-05-01  270811
1990-06-01  273876
1990-07-01  278351
1990-08-01  275946
1990-09-01  270235
1990-10-01  272458
1990-11-01  272010
1990-12-01  270796
1991-01-01  267950
1991-02-01  268682
1991-03-01  268032
1991-04-01  268158
1991-05-01  268288
1991-06-01  272369
1991-07-01  276003
1991-08-01  274012
1991-09-01  270813
1991-10-01  272927
1991-11-01  273484
1991-12-01  270844
1992-01-01  269481
1992-02-01  269233
1992-03-01  270596
1992-04-01  270768
1992-05-01  274024
1992-06-01  278059
1992-07-01  281534
1992-08-01  279817
1992-09-01  274969
1992-10-01  275549
1992-11-01  276838
1992-12-01  275204
1993-01-01  271928
1993-02-01  272826
1993-03-01  273284
1993-04-01  273645
1993-05-01  275555
1993-06-01  278485
1993-07-01  281305
1993-08-01  278913
1993-09-01  273630
1993-10-01  277940
1993-11-01  278134
1993-12-01  277336
1994-01-01  274775
1994-02-01  274949
1994-03-01  273753
1994-04-01  276318
1994-05-01  280351
1994-06-01  282279
1994-07-01  283854
1994-08-01  282960
1994-09-01  281114
1994-10-01  284420
1994-11-01  286236
1994-12-01  284487
1995-01-01  280825
1995-02-01  281760
1995-03-01  282076
1995-04-01  282152
1995-05-01  283164
1995-06-01  284538
1995-07-01  287447
1995-08-01  284616
1995-09-01  283649
1995-10-01  286821
1995-11-01  287787
1995-12-01  287069
1996-01-01  287352
1996-02-01  287632
1996-03-01  290083
1996-04-01  292939
1996-05-01  293425
1996-06-01  296560
1996-07-01  298389
1996-08-01  295666
1996-09-01  294943
1996-10-01  297498
1996-11-01  297734
1996-12-01  297353
1997-01-01  296651
1997-02-01  296184
1997-03-01  299682
1997-04-01  298588
1997-05-01  300230
1997-06-01  300914
1997-07-01  302021
1997-08-01  298839
1997-09-01  296755
1997-10-01  295988
1997-11-01  298368
1997-12-01  299150
1998-01-01  293596
1998-02-01  295585
1998-03-01  296244
1998-04-01  295952
1998-05-01  296415
1998-06-01  297582
1998-07-01  300559
1998-08-01  301856
1998-09-01  296453
1998-10-01  299022
1998-11-01  300147
1998-12-01  299933
1999-01-01  296036
1999-02-01  298155
1999-03-01  299084
1999-04-01  297463
1999-05-01  298885
1999-06-01  300464
1999-07-01  300946
1999-08-01  299022
1999-09-01  296858
1999-10-01  301782
1999-11-01  303618
1999-12-01  304397
2000-01-01  300788
2000-02-01  303017
2000-03-01  302719
2000-04-01  302350
2000-05-01  302119
2000-06-01  303198
2000-07-01  306669
2000-08-01  306095
2000-09-01  302739
2000-10-01  304098
2000-11-01  304929
2000-12-01  306000
2001-01-01  307181
2001-02-01  307493
2001-03-01  309718
2001-04-01  306574
2001-05-01  305710
2001-06-01  305629
2001-07-01  311953
2001-08-01  307308
2001-09-01  307346
2001-10-01  307471
2001-11-01  306429
2001-12-01  306076
2002-01-01  305464
2002-02-01  307621
2002-03-01  307951
2002-04-01  307072
2002-05-01  306889
2002-06-01  304903
2002-07-01  309906
2002-08-01  307154
2002-09-01  306118
2002-10-01  306397
2002-11-01  305013
2002-12-01  304866
2003-01-01  307101
2003-02-01  309848
2003-03-01  310619
2003-04-01  312036
2003-05-01  311313
2003-06-01  310744
2003-07-01  308312
2003-08-01  307169
2003-09-01  305483
2003-10-01  306843
2003-11-01  307562
2003-12-01  305671
2004-01-01  306973
2004-02-01  306850
2004-03-01  307064
2004-04-01  306649
2004-05-01  306461
2004-06-01  306637
2004-07-01  306478
2004-08-01  305254
2004-09-01  302899
2004-10-01  306441
2004-11-01  307379
2004-12-01  306272
2005-01-01  306310
2005-02-01  307650
2005-03-01  307386
2005-04-01  308854
2005-05-01  310384
2005-06-01  308843
2005-07-01  309869
2005-08-01  308286
2005-09-01  307928
2005-10-01  313292
2005-11-01  312770
2005-12-01  310405
2006-01-01  310898
2006-02-01  312281
2006-03-01  313512
2006-04-01  314296
2006-05-01  317190
2006-06-01  318289
2006-07-01  319034
2006-08-01  318449
2006-09-01  318666
2006-10-01  320853
2006-11-01  321539
2006-12-01  319400
2007-01-01  317202
2007-02-01  317041
2007-03-01  317490
2007-04-01  315520
2007-05-01  316042
2007-06-01  317591
2007-07-01  317420
2007-08-01  313653
2007-09-01  315734
2007-10-01  315801
2007-11-01  316801
2007-12-01  314915
2008-01-01  317176
2008-02-01  316287
2008-03-01  316942
2008-04-01  317688
2008-05-01  318398
2008-06-01  319644
2008-07-01  320858
2008-08-01  318133
2008-09-01  318546
2008-10-01  320400
2008-11-01  322778
2008-12-01  321585
2009-01-01  322224
2009-02-01  322422
2009-03-01  321824
2009-04-01  320454
2009-05-01  319991
2009-06-01  320312
2009-07-01  321105
2009-08-01  318939
2009-09-01  318287
2009-10-01  318320
2009-11-01  318203
2009-12-01  315423
2010-01-01  313781
2010-02-01  314297
2010-03-01  315406
2010-04-01  318737
2010-05-01  317965
2010-06-01  316468
2010-07-01  315519
2010-08-01  313204
2010-09-01  312931
2010-10-01  313993
2010-11-01  314459
2010-12-01  312355
2011-01-01  310946
2011-02-01  311458
2011-03-01  312428
2011-04-01  312619
2011-05-01  313934
2011-06-01  314032
2011-07-01  314095
2011-08-01  312744
2011-09-01  315177
2011-10-01  315738
2011-11-01  314698
2011-12-01  313974
2012-01-01  314007
2012-02-01  316111
2012-03-01  316491
2012-04-01  313970
2012-05-01  316427
2012-06-01  316476
2012-07-01  316258
2012-08-01  313827
2012-09-01  317498
2012-10-01  320049
2012-11-01  317886
2012-12-01  317460
2013-01-01  318681
2013-02-01  318837
2013-03-01  318008
2013-04-01  316415
2013-05-01  317599
2013-06-01  318899
2013-07-01  317922
2013-08-01  314546
2013-09-01  317360
2013-10-01  316058
2013-11-01  314981
2013-12-01  311932
2014-01-01  312044
2014-02-01  314001
2014-03-01  316119
2014-04-01  312853
2014-05-01  315444
2014-06-01  315532
2014-07-01  316529
2014-08-01  313407
2014-09-01  315626
2014-10-01  316784
2014-11-01  314949
2014-12-01  313490
2015-01-01  315406
2015-02-01  316453
2015-03-01  316447
2015-04-01  317018
2015-05-01  320565
2015-06-01  318443
2015-07-01  319270
2015-08-01  315924
2015-09-01  317824
2015-10-01  318787
2015-11-01  317680
2015-12-01  317424
2016-01-01  318671
2016-02-01  320824
2016-03-01  322825
2016-04-01  320250
2016-05-01  321055
2016-06-01  321166
2016-07-01  321413
2016-08-01  319113
2016-09-01  323009
2016-10-01  324535
2016-11-01  323499
2016-12-01  321389
2017-01-01  321280
2017-02-01  323911
2017-03-01  325168
2017-04-01  323649
2017-05-01  324179
2017-06-01  324322
2017-07-01  326041
2017-08-01  322693
2017-09-01  327583
2017-10-01  326159
2017-11-01  325736
2017-12-01  323295
2018-01-01  324910
2018-02-01  327600
2018-03-01  328193
2018-04-01  327641
2018-05-01  329349
2018-06-01  330276
2018-07-01  329096
2018-08-01  322367
2018-09-01  325145
2018-10-01  329799
2018-11-01  329222
