Title:               All Employees: Government in North Carolina
Series ID:           NCGOVTN
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:32 PM CST
Notes:               

DATE        VALUE
1990-01-01  494.7
1990-02-01  502.4
1990-03-01  508.6
1990-04-01  509.0
1990-05-01  514.5
1990-06-01  510.0
1990-07-01  458.9
1990-08-01  462.0
1990-09-01  495.5
1990-10-01  510.3
1990-11-01  519.2
1990-12-01  513.1
1991-01-01  508.3
1991-02-01  515.3
1991-03-01  519.2
1991-04-01  519.7
1991-05-01  516.8
1991-06-01  512.6
1991-07-01  465.5
1991-08-01  473.0
1991-09-01  507.2
1991-10-01  523.6
1991-11-01  528.8
1991-12-01  525.4
1992-01-01  520.3
1992-02-01  526.7
1992-03-01  530.1
1992-04-01  530.5
1992-05-01  532.0
1992-06-01  530.0
1992-07-01  468.8
1992-08-01  481.5
1992-09-01  516.4
1992-10-01  535.1
1992-11-01  548.3
1992-12-01  540.5
1993-01-01  534.4
1993-02-01  538.5
1993-03-01  542.1
1993-04-01  541.4
1993-05-01  540.2
1993-06-01  538.8
1993-07-01  490.2
1993-08-01  499.0
1993-09-01  534.3
1993-10-01  548.1
1993-11-01  559.1
1993-12-01  553.5
1994-01-01  545.4
1994-02-01  549.9
1994-03-01  554.4
1994-04-01  554.9
1994-05-01  554.7
1994-06-01  553.1
1994-07-01  492.1
1994-08-01  505.0
1994-09-01  548.0
1994-10-01  562.3
1994-11-01  572.3
1994-12-01  566.0
1995-01-01  559.8
1995-02-01  565.7
1995-03-01  570.2
1995-04-01  568.4
1995-05-01  564.8
1995-06-01  563.6
1995-07-01  506.4
1995-08-01  512.9
1995-09-01  559.0
1995-10-01  573.9
1995-11-01  579.6
1995-12-01  577.4
1996-01-01  567.3
1996-02-01  574.6
1996-03-01  578.7
1996-04-01  579.5
1996-05-01  579.3
1996-06-01  578.3
1996-07-01  509.7
1996-08-01  525.5
1996-09-01  572.7
1996-10-01  584.9
1996-11-01  591.9
1996-12-01  588.7
1997-01-01  583.0
1997-02-01  588.6
1997-03-01  592.2
1997-04-01  595.0
1997-05-01  591.8
1997-06-01  589.9
1997-07-01  523.4
1997-08-01  545.6
1997-09-01  588.1
1997-10-01  601.7
1997-11-01  606.7
1997-12-01  604.6
1998-01-01  597.4
1998-02-01  605.7
1998-03-01  608.8
1998-04-01  610.0
1998-05-01  607.2
1998-06-01  596.0
1998-07-01  539.6
1998-08-01  570.9
1998-09-01  612.0
1998-10-01  623.8
1998-11-01  624.4
1998-12-01  622.5
1999-01-01  615.1
1999-02-01  625.2
1999-03-01  628.0
1999-04-01  619.9
1999-05-01  616.6
1999-06-01  597.9
1999-07-01  548.1
1999-08-01  591.1
1999-09-01  619.2
1999-10-01  627.1
1999-11-01  629.9
1999-12-01  628.0
2000-01-01  618.9
2000-02-01  626.1
2000-03-01  635.4
2000-04-01  637.9
2000-05-01  644.0
2000-06-01  629.6
2000-07-01  570.0
2000-08-01  616.0
2000-09-01  639.3
2000-10-01  647.0
2000-11-01  649.9
2000-12-01  647.2
2001-01-01  642.5
2001-02-01  649.3
2001-03-01  652.6
2001-04-01  648.5
2001-05-01  651.1
2001-06-01  625.3
2001-07-01  583.0
2001-08-01  623.1
2001-09-01  651.2
2001-10-01  666.3
2001-11-01  668.8
2001-12-01  664.3
2002-01-01  653.5
2002-02-01  660.6
2002-03-01  664.9
2002-04-01  662.7
2002-05-01  664.2
2002-06-01  631.2
2002-07-01  585.6
2002-08-01  624.1
2002-09-01  651.5
2002-10-01  668.2
2002-11-01  665.4
2002-12-01  660.9
2003-01-01  649.9
2003-02-01  655.3
2003-03-01  659.7
2003-04-01  658.0
2003-05-01  661.2
2003-06-01  630.7
2003-07-01  577.6
2003-08-01  622.2
2003-09-01  657.3
2003-10-01  679.0
2003-11-01  671.4
2003-12-01  669.1
2004-01-01  658.4
2004-02-01  663.4
2004-03-01  668.1
2004-04-01  667.2
2004-05-01  669.9
2004-06-01  638.1
2004-07-01  586.1
2004-08-01  637.4
2004-09-01  677.7
2004-10-01  681.9
2004-11-01  684.1
2004-12-01  683.2
2005-01-01  674.0
2005-02-01  680.4
2005-03-01  684.5
2005-04-01  684.0
2005-05-01  686.2
2005-06-01  649.5
2005-07-01  587.0
2005-08-01  645.6
2005-09-01  685.0
2005-10-01  689.3
2005-11-01  692.4
2005-12-01  690.4
2006-01-01  685.2
2006-02-01  691.5
2006-03-01  696.8
2006-04-01  699.2
2006-05-01  702.9
2006-06-01  673.5
2006-07-01  601.9
2006-08-01  661.6
2006-09-01  697.5
2006-10-01  706.1
2006-11-01  716.5
2006-12-01  714.7
2007-01-01  701.8
2007-02-01  708.4
2007-03-01  713.6
2007-04-01  713.5
2007-05-01  717.6
2007-06-01  689.5
2007-07-01  616.1
2007-08-01  680.9
2007-09-01  719.2
2007-10-01  719.9
2007-11-01  727.3
2007-12-01  726.0
2008-01-01  717.1
2008-02-01  724.8
2008-03-01  730.0
2008-04-01  731.7
2008-05-01  736.3
2008-06-01  708.5
2008-07-01  629.7
2008-08-01  695.5
2008-09-01  740.6
2008-10-01  742.3
2008-11-01  747.2
2008-12-01  745.2
2009-01-01  732.5
2009-02-01  736.3
2009-03-01  741.6
2009-04-01  745.3
2009-05-01  744.8
2009-06-01  713.7
2009-07-01  634.6
2009-08-01  697.2
2009-09-01  737.2
2009-10-01  732.7
2009-11-01  735.9
2009-12-01  733.4
2010-01-01  723.2
2010-02-01  728.9
2010-03-01  735.2
2010-04-01  740.8
2010-05-01  759.0
2010-06-01  717.8
2010-07-01  629.7
2010-08-01  689.5
2010-09-01  720.6
2010-10-01  733.0
2010-11-01  737.9
2010-12-01  734.3
2011-01-01  723.1
2011-02-01  729.6
2011-03-01  734.0
2011-04-01  735.4
2011-05-01  735.2
2011-06-01  699.8
2011-07-01  620.3
2011-08-01  682.4
2011-09-01  712.8
2011-10-01  726.2
2011-11-01  732.4
2011-12-01  726.7
2012-01-01  719.1
2012-02-01  727.1
2012-03-01  730.4
2012-04-01  731.4
2012-05-01  734.5
2012-06-01  689.0
2012-07-01  610.9
2012-08-01  684.0
2012-09-01  718.1
2012-10-01  734.3
2012-11-01  740.4
2012-12-01  734.3
2013-01-01  724.8
2013-02-01  733.8
2013-03-01  737.2
2013-04-01  736.9
2013-05-01  736.7
2013-06-01  691.4
2013-07-01  615.7
2013-08-01  683.5
2013-09-01  720.2
2013-10-01  736.8
2013-11-01  739.1
2013-12-01  735.6
2014-01-01  722.8
2014-02-01  727.9
2014-03-01  731.1
2014-04-01  736.2
2014-05-01  737.8
2014-06-01  699.6
2014-07-01  618.9
2014-08-01  682.6
2014-09-01  716.8
2014-10-01  733.7
2014-11-01  739.8
2014-12-01  732.9
2015-01-01  728.2
2015-02-01  733.9
2015-03-01  736.2
2015-04-01  737.7
2015-05-01  738.3
2015-06-01  705.3
2015-07-01  625.2
2015-08-01  686.5
2015-09-01  722.3
2015-10-01  738.5
2015-11-01  743.0
2015-12-01  741.5
2016-01-01  726.2
2016-02-01  736.5
2016-03-01  743.8
2016-04-01  740.3
2016-05-01  743.8
2016-06-01  720.3
