Title:               Civilian Labor Force in Gates County, NC
Series ID:           NCGATE3LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:18 AM CST
Notes:               

DATE       VALUE
2015-01-01  5086
2015-02-01  5088
2015-03-01  5119
2015-04-01  5109
2015-05-01  5147
2015-06-01  5203
2015-07-01  5312
2015-08-01  5164
2015-09-01  5119
2015-10-01  5150
2015-11-01  5142
2015-12-01  5084
2016-01-01  5077
2016-02-01  5129
2016-03-01  5180
2016-04-01  5164
2016-05-01  5166
2016-06-01  5222
2016-07-01  5344
2016-08-01  5206
2016-09-01  5200
2016-10-01  5207
2016-11-01  5190
2016-12-01  5134
2017-01-01  5137
2017-02-01  5223
2017-03-01  5270
2017-04-01  5245
2017-05-01  5236
2017-06-01  5270
2017-07-01  5401
2017-08-01  5257
2017-09-01  5279
2017-10-01  5220
2017-11-01  5180
2017-12-01  5148
2018-01-01  5132
2018-02-01  5239
2018-03-01  5235
2018-04-01  5232
2018-05-01  5271
2018-06-01  5350
2018-07-01  5451
2018-08-01  5255
2018-09-01  5214
2018-10-01  5247
2018-11-01  5220
