Title:               All Employees: Government in North Carolina
Series ID:           NCGOVT
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:31 PM CST
Notes:               

DATE        VALUE
2012-12-01  716.7
2013-01-01  718.2
2013-02-01  718.7
2013-03-01  719.5
2013-04-01  717.7
2013-05-01  716.7
2013-06-01  705.2
2013-07-01  708.4
2013-08-01  711.4
2013-09-01  715.8
2013-10-01  718.9
2013-11-01  716.3
2013-12-01  717.8
2014-01-01  716.2
2014-02-01  714.3
2014-03-01  713.7
2014-04-01  717.4
2014-05-01  718.0
2014-06-01  713.3
2014-07-01  711.1
2014-08-01  710.3
2014-09-01  712.3
2014-10-01  714.2
2014-11-01  716.4
2014-12-01  714.9
2015-01-01  722.0
2015-02-01  720.5
2015-03-01  719.3
2015-04-01  720.5
2015-05-01  720.5
2015-06-01  718.7
2015-07-01  719.8
2015-08-01  719.2
2015-09-01  717.5
2015-10-01  719.1
2015-11-01  719.7
2015-12-01  723.3
2016-01-01  720.3
2016-02-01  723.5
2016-03-01  727.3
2016-04-01  723.6
2016-05-01  726.2
2016-06-01  732.5
2016-07-01  733.9
2016-08-01  729.7
2016-09-01  730.4
2016-10-01  728.2
2016-11-01  729.1
2016-12-01  729.0
2017-01-01  728.5
2017-02-01  729.0
2017-03-01  730.2
2017-04-01  730.3
2017-05-01  731.5
2017-06-01  733.1
2017-07-01  738.0
2017-08-01  737.4
2017-09-01  737.3
2017-10-01  734.4
2017-11-01  734.5
2017-12-01  734.5
2018-01-01  735.7
2018-02-01  735.7
2018-03-01  736.1
2018-04-01  736.5
2018-05-01  736.4
2018-06-01  739.2
2018-07-01  743.5
2018-08-01  742.7
2018-09-01  740.5
2018-10-01  738.0
2018-11-01  738.3
