Title:               Civilian Labor Force in Granville County, NC
Series ID:           NCGRAN7LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
2012-12-01  28265
2013-01-01  28305
2013-02-01  28587
2013-03-01  28508
2013-04-01  28474
2013-05-01  28598
2013-06-01  28597
2013-07-01  28563
2013-08-01  28101
2013-09-01  28377
2013-10-01  28106
2013-11-01  27988
2013-12-01  27813
2014-01-01  27908
2014-02-01  28049
2014-03-01  28091
2014-04-01  27931
2014-05-01  28087
2014-06-01  28230
2014-07-01  28454
2014-08-01  28111
2014-09-01  28192
2014-10-01  28341
2014-11-01  28241
2014-12-01  28015
2015-01-01  28321
2015-02-01  28507
2015-03-01  28538
2015-04-01  28404
2015-05-01  28634
2015-06-01  28624
2015-07-01  28800
2015-08-01  28418
2015-09-01  28367
2015-10-01  28681
2015-11-01  28579
2015-12-01  28505
2016-01-01  28782
2016-02-01  29010
2016-03-01  29195
2016-04-01  29089
2016-05-01  29239
2016-06-01  29445
2016-07-01  29639
2016-08-01  29172
2016-09-01  29248
2016-10-01  29460
2016-11-01  29446
2016-12-01  29285
2017-01-01  29483
2017-02-01  29923
2017-03-01  30235
2017-04-01  29920
2017-05-01  30020
2017-06-01  29991
2017-07-01  30482
2017-08-01  30079
2017-09-01  30363
2017-10-01  30154
2017-11-01  29991
2017-12-01  29832
2018-01-01  30119
2018-02-01  30574
2018-03-01  30634
2018-04-01  30474
2018-05-01  30713
2018-06-01  30772
2018-07-01  31058
2018-08-01  29687
2018-09-01  29591
2018-10-01  29845
2018-11-01  29695
