Title:               Resident Population in Greene County, NC
Series ID:           NCGREE9POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  14.967
1971-01-01  15.400
1972-01-01  15.100
1973-01-01  14.900
1974-01-01  15.000
1975-01-01  14.900
1976-01-01  15.000
1977-01-01  15.000
1978-01-01  16.000
1979-01-01  15.600
1980-01-01  16.117
1981-01-01  15.954
1982-01-01  15.855
1983-01-01  16.116
1984-01-01  16.026
1985-01-01  15.944
1986-01-01  15.849
1987-01-01  15.672
1988-01-01  15.493
1989-01-01  15.375
1990-01-01  15.440
1991-01-01  15.679
1992-01-01  15.782
1993-01-01  16.149
1994-01-01  16.637
1995-01-01  17.260
1996-01-01  17.742
1997-01-01  18.166
1998-01-01  18.598
1999-01-01  18.687
2000-01-01  18.981
2001-01-01  19.133
2002-01-01  19.328
2003-01-01  19.585
2004-01-01  19.785
2005-01-01  19.719
2006-01-01  20.227
2007-01-01  20.593
2008-01-01  20.580
2009-01-01  20.544
2010-01-01  21.271
2011-01-01  21.539
2012-01-01  21.224
2013-01-01  21.062
2014-01-01  21.072
2015-01-01  21.002
2016-01-01  21.144
2017-01-01  21.015
