Title:               Civilian Labor Force in Graham County, NC
Series ID:           NCGRAH5LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:18 AM CST
Notes:               

DATE       VALUE
2015-01-01  3116
2015-02-01  3110
2015-03-01  3099
2015-04-01  3146
2015-05-01  3269
2015-06-01  3296
2015-07-01  3310
2015-08-01  3193
2015-09-01  3204
2015-10-01  3212
2015-11-01  3190
2015-12-01  3092
2016-01-01  3047
2016-02-01  3086
2016-03-01  3163
2016-04-01  3050
2016-05-01  3063
2016-06-01  3130
2016-07-01  3213
2016-08-01  3109
2016-09-01  3123
2016-10-01  3125
2016-11-01  3077
2016-12-01  2996
2017-01-01  2934
2017-02-01  3042
2017-03-01  3058
2017-04-01  3199
2017-05-01  3246
2017-06-01  3288
2017-07-01  3296
2017-08-01  3223
2017-09-01  3217
2017-10-01  3253
2017-11-01  3189
2017-12-01  3121
2018-01-01  3053
2018-02-01  3024
2018-03-01  3040
2018-04-01  3087
2018-05-01  3081
2018-06-01  3142
2018-07-01  3155
2018-08-01  3235
2018-09-01  3212
2018-10-01  3197
2018-11-01  3109
