Title:               Civilian Labor Force in Greene County, NC
Series ID:           NCGREE9LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE       VALUE
2003-04-01  8925
2003-05-01  8990
2003-06-01  9099
2003-07-01  8898
2003-08-01  8783
2003-09-01  8891
2003-10-01  8933
2003-11-01  8982
2003-12-01  8905
2004-01-01  8903
2004-02-01  8917
2004-03-01  8960
2004-04-01  8931
2004-05-01  8981
2004-06-01  9003
2004-07-01  8983
2004-08-01  8856
2004-09-01  8926
2004-10-01  8873
2004-11-01  8921
2004-12-01  8952
2005-01-01  8786
2005-02-01  8834
2005-03-01  8942
2005-04-01  8937
2005-05-01  9022
2005-06-01  8984
2005-07-01  8924
2005-08-01  8895
2005-09-01  8937
2005-10-01  9008
2005-11-01  9003
2005-12-01  8927
2006-01-01  8821
2006-02-01  8857
2006-03-01  8969
2006-04-01  9072
2006-05-01  9124
2006-06-01  9144
2006-07-01  9140
2006-08-01  9099
2006-09-01  9138
2006-10-01  9250
2006-11-01  9359
2006-12-01  9349
2007-01-01  9110
2007-02-01  9067
2007-03-01  9082
2007-04-01  9062
2007-05-01  9151
2007-06-01  9183
2007-07-01  9220
2007-08-01  9089
2007-09-01  9264
2007-10-01  9222
2007-11-01  9341
2007-12-01  9297
2008-01-01  9169
2008-02-01  9161
2008-03-01  9244
2008-04-01  9269
2008-05-01  9299
2008-06-01  9290
2008-07-01  9329
2008-08-01  9230
2008-09-01  9244
2008-10-01  9205
2008-11-01  9387
2008-12-01  9315
2009-01-01  9201
2009-02-01  9224
2009-03-01  9182
2009-04-01  9247
2009-05-01  9285
2009-06-01  9305
2009-07-01  9381
2009-08-01  9277
2009-09-01  9275
2009-10-01  9255
2009-11-01  9287
2009-12-01  9170
2010-01-01  9390
2010-02-01  9369
2010-03-01  9378
2010-04-01  9498
2010-05-01  9522
2010-06-01  9522
2010-07-01  9358
2010-08-01  9475
2010-09-01  9505
2010-10-01  9490
2010-11-01  9421
2010-12-01  9213
2011-01-01  9295
2011-02-01  9277
2011-03-01  9412
2011-04-01  9474
2011-05-01  9590
2011-06-01  9639
2011-07-01  9497
2011-08-01  9792
2011-09-01  9722
2011-10-01  9760
2011-11-01  9677
2011-12-01  9561
2012-01-01  9401
2012-02-01  9562
2012-03-01  9542
2012-04-01  9551
2012-05-01  9824
2012-06-01  9705
2012-07-01  9679
2012-08-01  9646
2012-09-01  9727
2012-10-01  9852
2012-11-01  9740
2012-12-01  9594
2013-01-01  9298
2013-02-01  9333
2013-03-01  9166
2013-04-01  9338
2013-05-01  9514
2013-06-01  9427
2013-07-01  9457
2013-08-01  9403
2013-09-01  9415
2013-10-01  9602
2013-11-01  9483
2013-12-01  9490
2014-01-01  9410
2014-02-01  9274
2014-03-01  9250
2014-04-01  9351
2014-05-01  9537
2014-06-01  9539
2014-07-01  9487
2014-08-01  9307
2014-09-01  9316
2014-10-01  9576
2014-11-01  9591
2014-12-01  9349
2015-01-01  9509
2015-02-01  9469
2015-03-01  9634
2015-04-01  9524
2015-05-01  9553
2015-06-01  9567
2015-07-01  9446
2015-08-01  9271
2015-09-01  9388
2015-10-01  9498
2015-11-01  9530
2015-12-01  9365
2016-01-01  9415
2016-02-01  9429
2016-03-01  9728
2016-04-01  9576
2016-05-01  9577
2016-06-01  9512
2016-07-01  9581
2016-08-01  9355
2016-09-01  9510
2016-10-01  9671
2016-11-01  9395
2016-12-01  9418
2017-01-01  9361
2017-02-01  9591
2017-03-01  9795
2017-04-01  9747
2017-05-01  9647
2017-06-01  9462
2017-07-01  9618
2017-08-01  9427
2017-09-01  9643
2017-10-01  9631
2017-11-01  9459
2017-12-01  9548
2018-01-01  9519
2018-02-01  9725
2018-03-01  9665
2018-04-01  9702
2018-05-01  9743
2018-06-01  9659
2018-07-01  9738
2018-08-01  9461
2018-09-01  9509
2018-10-01  9530
2018-11-01  9457
